EID,LSCOUNT,LAWAMOUNT
48805,2,4141400
48821,2,1990800
48835,3,456300
48897,11,3168600
48940,1,0
48985,4,138000
49048,83,200
49177,1,671200
49387,1,40000
49426,1,1552500
49472,1,500
49489,1,3300800
49578,3,286200
49579,2,971900
49608,2,35200
49642,3,5100
49675,5,225800
49702,1,247000
49971,1,4900
49998,1,71800
50059,2,195800
50077,2,6000
50094,2,7000
50133,4,855900
50140,5,42600
50159,1,418500
50170,1,162400
50487,1,10000
50491,2,779400
50497,1,38100
50537,3,229400
50754,1,41600
50849,1,16356000
50904,1,2600
51024,1,12600
51068,1,53300
51181,1,7300
51228,1,0
51261,1,260000
51342,1,11400
51349,8,169100
51470,2,150000
51524,1,0
51576,1,146000
51684,3,339624400
51750,1,378700
52043,1,25000
52044,4,254300
52079,11,43170600
52192,1,1099000
52235,6,98500
52493,3,4687500
52521,1,50000
52677,1,55000
52811,2,2032200
52976,1,12000
52982,2,200
53092,2,83400
53098,3,390000
53205,2,291100
53458,2,60000
53610,1,1000000
53629,1,1236300
53693,55,1472700
53700,30,2054400
53722,3,683400
53832,5,61200
54015,2,142400
54056,1,23500000
54112,1,10342100
54126,2,12600
54153,1,546800
54193,1,76700
54376,4,296300
54404,7,164200
54675,5,218800
54693,1,41400
54829,24,148611700
54879,1,9800
55162,2,27400
55188,2,136000
55207,1,8752600
55283,7,120100
55345,2,147400
55383,2,16500
55480,2,90300
55493,4,464000
55621,3,33000
55641,6,419300
55821,3,75600
55822,52,135504600
55829,2,2056400
55943,1,12000
56010,1,10621100
56078,3,15180000
56117,3,456900
56210,5,104300
56227,4,50900
56355,3,639400
56415,2,59000
56473,2,0
56976,1,13500
57688,3,1249600
57705,4,2060300
57737,17,213700800
57782,2,85800
57873,17,592126400
57891,2,13600
57904,1,27752800
57915,4,605900
57949,1,2298300
58055,1,90000
58090,6,3600000
58140,4,7049200
58175,1,273100
58207,2,70600
58313,3,166000
58338,1,13500
58352,2,41800
58366,5,85700
58367,3,2486300
58508,4,95700
58540,1,44700
58619,1,744300
58737,1,22100
58742,1,10000
58978,4,9929500
59051,2,11000
59223,1,14200
59249,1,2371800
59297,2,168600
59382,1,31800
59486,2,41000
59519,8,19600
59536,1,762000
59654,3,44200
59686,1,1028200
59720,1,43700
59783,1,800
59930,3,40248000
59996,1,9000
60010,2,830000
60046,2,83400
60047,2,113400
60109,5,1159200
60205,3,126000
60247,1,3000
60263,1,3400
60502,2,3961800
60599,1,1350300
60605,3,104437100
60660,1,59800
60662,3,1192600
60827,3,338300
60831,2,34800
61174,9,0
61245,1,1777700
61420,1,55000
61614,7,1591700
61800,3,10392700
61820,1,4600
61828,1,2322400
61845,1,19400
61990,18,113600100
62175,1,12000
62199,3,148900
62222,2,9600
62305,3,2700
62475,2,12519200
62561,2,180000
62572,7,1361100
62678,1,28200
62699,2,30600
62781,2,131500
62834,1,112100
62836,1,4600
62864,3,96000
63019,2,377400
63096,7,387874400
63145,1,290000
63169,1,27800
63179,2,19400
63231,3,21600
63518,3,50300
63562,4,288200
63579,1,274400
63670,2,978600
63680,19,11812600
64055,1,251900
64065,1,2006400
64127,1,967500
64132,1,42400
64265,9,101900
64336,2,718200
64375,14,3246500
64419,1,0
64594,4,7965200
64719,2,69300
64757,1,12400
64772,1,216200
65028,19,98900
65035,3,219300
65097,1,11200
65159,3,1095900
65379,4,98907000
65510,2,25600
65593,1,1100
65610,6,22420700
65659,4,465200
65679,29,14171500
65681,2,2200
65705,4,222200
65886,2,30600
65950,3,43800
66085,7,47379000
66091,2,10900
66100,1,2500
66411,1,10000
66454,54,479900
66804,17,3082800
66856,5,377100
67070,4,167400
67432,1,12500
67479,1,33600
67481,3,80900
67658,1,384200
67747,2,39600
67752,3,117192000
67772,2,26205400
67811,4,155900
67929,2,313600
68006,5,3118500
68066,3,35000
68121,1,178500
68635,3,14695700
68677,1,11600
68750,3,8100
68852,2,139600
68937,2,254200
68961,1,275000
69127,2,1541400
69194,1,204900
69322,2,28800
69332,2,44600
69343,1,20200
69353,1,300
69395,1,100100
69522,150,163332800
69576,3,312600
69681,1,8000
69708,1,3500
69810,3,3450000
70147,1,6982800
70205,1,3700
70222,2,75800
70238,1,100000
70284,2,472400
70541,1,3000000
70544,1,48400
70615,1,19600
70730,5,104822200
70924,3,224900
70963,1,91300
70969,2,29600
71050,2,1000000
71057,2,43800
71306,57,37716800
71376,4,6482000
71476,2,0
71510,1,191000
71642,4,492600
71814,1,20300
71897,1,665200
71962,2,200
72084,2,121000
72192,1,3400
72440,3,24500
72499,2,64200
72738,3,50000
72909,2,83000
72966,1,7100
72989,5,35000
73025,1,50000
73069,2,8800
73160,5,5080600
73162,2,104600
73197,2,1827800
73323,2,460000
73329,1,63900
73355,2,2294200
73632,6,71200
73651,2,0
73722,1,3600
73762,1,531300
73791,2,420500
73808,2,35200
73931,1,3100
73932,1,3100
74210,10,1234000
74275,6,2754700
74379,4,74000
74469,10,1820000
74582,1,4500
74632,2,79000
74690,3,114000
74717,1,0
74910,1,330000
74982,2,23950000
75007,2,13461500
75090,2,5530200
75139,3,33364100
75192,1,30000
75419,2,74000
75459,2,52400
75589,2,10100
75603,7,143800
75765,1,118700
75836,79,13410500
75845,1,12900
75901,1,14800
75937,1,103300
75994,1,257400
76139,12,324700
76227,2,12200
76241,1,81200
76315,1,50200
76413,1,7000
76570,1,29900
76633,1,66000
76651,1,30481800
76672,1,24200
76720,1,1697800
76814,3,43100
76819,6,1419800
76840,1,22300
76899,4,913800
76905,1,7600
76955,1,118600
77103,2,231500
77116,4,29901000
77163,1,6500
77171,2,41000
77205,2,178000
77224,2,19000
77273,2,59600
77338,2,1943000
77461,1,2883100
77600,1,2864300
77678,1,818200
77717,1,5800
77777,2,3430000
77845,1,41500
77921,90,15102100
77987,1,1000000
78004,1,0
78017,1,33800
78069,8,14444200
78216,4,391500
78270,1,18300
78343,2,4585200
78556,1,134500
78595,8,90300
78604,1,612800
78615,20,511800
78712,1,219200
78714,1,56300
78824,10,47400
78906,3,86105800
79088,1,50700
79149,41,34292500
79175,4,10828000
79183,1,100
79195,10,131500
79223,1,44000
79331,4,47749400
79512,1,821900
79612,2,20800
79786,3,209700
79881,2,8200
79928,1,1800
79947,1,12200
80031,1,30700
80096,5,3765700
80117,7,4289100
80124,1,5200
80235,6,643400
80349,2,101000
80527,3,183000
80532,1,0
80573,1,471500
80622,1,2498600
80628,1,20900
80697,1,116800
80721,1,26500
80938,4,880000
81022,1,0
81028,2,5000
81064,1,1034300
81248,1,33000
81492,1,0
81653,8,128600
81685,2,16000
81793,1,2600
81951,2,190000
81975,2,90000
82068,2,424400
82107,3,19453400
82141,1,0
82164,7,85098600
82240,13,691400
82262,1,56800
82332,2,34000
82466,2,8800
82658,1,157400
82759,2,739200
83042,2,105000
83437,2,5284200
83443,1,28200
83535,1,76900
83692,10,142300
83697,2,60600
83868,2,261900
83895,3,84900
84106,4,196800
84193,1,54300
84306,2,44600
84383,2,68800
84551,2,31800
84569,3,49200
84647,4,224300
84702,11,3259600
84843,4,34789700
84973,2,0
85222,3,66241300
85230,1,60000
85285,28,6943400
85394,1,2800
85494,1,8800
85526,4,82800
85565,2,253200
85896,2,0
86052,2,228000
86182,1,16100
86217,1,228700
86269,8,858600
86454,1,0
86457,1,70800
86476,15,9235100
86481,2,18800
86492,2,74000
86627,1,3500
86729,2,781000
86750,4,130300
86998,3,115800
87048,1,657300
87086,3,1127400
87106,1,36600
87202,1,125000
87224,1,161000
87226,2,885800
87339,12,1385100
87353,74,49948800
87524,1,24400
87600,10,4249100
87604,1,0
87780,2,39866200
87801,1,371100
87974,4,545000
87997,2,21200
87999,1,24500
88034,3,123400
88130,1,4603800
88198,1,138000
88221,1,12400
88352,1,74600
88431,2,6000
88607,2,1130800
88654,10,38836600
88740,2,214600
88840,1,6000
88947,2,58200
88965,1,102000
89065,1,4000
89181,3,84700
89262,4,19800
89336,1,5000
89481,1,40900
89683,1,16000000
89690,2,15600
89726,7,3131200
90115,12,0
90453,3,40500
90469,1,0
90518,1,54000
90576,3,54300
90737,6,3931400
90748,4,2152600
90803,1,10100
90869,1,2600
90909,27,3127100
91202,2,6694400
91234,2,16200
91255,1,100
91309,2,13200
91356,35,691100
91361,17,129133900
91398,1,0
91520,2,1666100
91522,15,151038700
91665,6,145100
91804,6,2885700
91810,2,0
91945,5,43500
91982,2,24600
92038,2,696600
92048,1,86000
92148,1,5500
92194,10,31000
92208,3,1359400
92241,2,2800
92357,1,4000
92421,1,55200
92511,5,49500
92527,15,7066400
92547,2,131400
92670,5,40900
92725,2,107400
92932,2,42159400
93138,13,631300
93417,6,422900
93594,2,3121800
93620,1,530800
93668,2,128000000
93763,7,1599900
93786,8,4729800
93794,2,45200
94000,3,22492800
94036,2,37400
94148,5,132600
94297,3,212500
94325,1,24937600
94547,3,6800
94563,2,9000
94577,1,13500
94751,1,562500
94847,1,321100
94918,1,1000000
95044,1,28300
95054,2,0
95075,6,26500
95095,8,584100
95141,1,14500
95178,5,147400
95273,4,87300
95325,17,5418700
95426,2,4055300
95439,3,60000
95479,4,48000000
95530,15,8889500
95590,2,147000
95668,3,96100
95802,2,925000
96223,1,283800
96249,1,44700
96270,2,65400
96439,1,16400
96460,2,139800
96503,4,1227000
96621,1,144800
96658,1,0
96960,1,800
96975,2,32200
97006,1,10200
97032,2,510000
97233,1,76700
97267,1,755400
97281,5,2495500
97296,2,43800
97304,1,2956800
97478,1,88300
97535,3,2169300
97596,1,25800
97829,2,39500
98034,3,3500
98058,2,517400
98417,2,120100
98634,2,1301300
98709,3,2085000
98721,4,23000
98739,1,4000
98741,1,0
98753,1,71700
98864,1,390500
99004,1,58400
99252,2,88600
99260,2,335200
99271,1,65000
99287,4,8152900
99303,3,214100
99475,1,9000
99518,3,779400
99585,6,933800
99664,1,0
99671,1,0
99732,9,35349800
99762,1,591588900
99785,6,3614500
100075,1,3000
100126,1,245100
100154,2,30600
100156,2,109840800
100274,6,145200
100327,1,320200
100743,10,43700
100865,3,77776300
100884,2,126547900
100938,2,96300
101128,2,1002300
101199,2,5000
101325,1,11400000
101347,2,89000
101429,1,6500
101558,9,9444700
101666,1,450876300
101984,3,54411800
102006,1,3000000
102131,2,0
102327,2,307600
102417,3,20000
102558,1,2852600
102575,1,2500
102607,1,8000
102681,1,4992200
102698,1,0
102700,21,158000
102808,3,161100000
102820,2,4698800
102847,1,38000
102854,4,24700
102896,1,749800
102929,2,847000
103076,6,51200
103080,2,60800
103157,2,17400
103305,1,30800
103375,2,13900
103381,2,129766800
103394,1,22500
103590,4,192400
103650,3,1152000
103654,5,571800
103684,3,643500
103731,1,1667100
103941,2,1144400
104048,2,18936000
104109,1,60000
104162,1,17000
104267,3,84000
104472,1,1821000
104554,3,455100
104652,15,639400
105031,2,16000000
105294,2,62396400
105383,7,1128600
105545,2,1500
105587,2,18600
105634,1,1521600
105978,4,191600
105986,1,20000
106006,11,136500
106025,1,8800
106052,5,4880600
106128,2,165600
106218,2,19500
106304,1,27500
106376,2,1040000
106394,1,11600
106408,1,0
106527,1,110000
106571,2,9200
106639,13,44421500
106681,1,748200
106694,1,30000
106928,1,262500
106939,3,1307800
106994,1,60000
107313,4,598500
107514,2,17800
107537,1,24800
107604,1,364700
107773,3,147900
107947,3,50002400
108016,8,40591300
108030,2,2891300
108130,2,6938400
108149,3,36600
108155,1,0
108165,1,1675500
108298,1,15300
108506,1,13679300
108551,4,12000
108623,4,132000
108667,1,12100
108816,1,1000000
108843,2,6000
108942,3,716370000
109031,1,223200
109066,1,1050700
109078,1,122100
109175,5,59100
109266,1,39000
109514,3,32900
109649,1,41700
110069,2,165500
110163,2,3087200
110261,1,21400
110548,1,385600
110634,3,28000
110662,2,11000
110800,5,0
110874,3,1124400
110943,2,400000
111096,2,3974300
111103,2,101400
111120,1,100600
111166,2,409600
111213,3,1700000
111275,1,58600
111279,7,746700
111318,2,24600
111351,3,187900
111360,1,106500
111371,1,0
111413,1,0
111416,2,201800
111484,1,93100
111608,5,0
111655,3,675600
111663,4,155400
111705,1,2700
111782,2,160200
111848,11,29992000
111869,1,1224400
111906,1,9200
112007,2,6500
112180,5,106500
112192,3,2646400
112335,1,18900
112463,4,25600
112551,1,234367900
112669,1,1261100
112695,3,34250600
112791,2,9800
112953,1,20300
112983,5,2317400
113123,8,611000
113213,3,217200
113324,68,201828000
113748,1,22200
113809,7,932000
113888,4,303200
113906,6,3253700
113951,15,885000
114018,3,5400
114051,2,18000
114192,1,13900
114259,2,163600
114271,4,426100
114273,1,0
114410,4,87300
114480,2,0
114585,8,163100
114662,1,170000
114696,1,466600
114751,4,115000
114839,1,0
114862,19,9699200
114933,1,6000
114972,3,897400
114982,2,137400
115044,2,14220400
115163,2,12800
115204,1,136300
115213,5,107200
115258,1,488100
115317,1,13900
115351,1,85500
115527,1,183500
115642,1,28400
115746,3,751100
115776,3,2079300
115857,2,646200
115893,3,4262700
115937,4,38897900
115978,1,127800
116003,1,62000
116111,2,6800
116343,3,780300
116386,1,2000000
116492,2,1800
116582,3,22800
116712,6,505500
116737,1,144000
116824,1,49300
116925,18,221200
116926,1,32100
117052,2,48638800
117285,1,952800
117349,1,120300
117465,5,7711100
117569,15,325900
117688,1,0
117705,64,1019200
117738,2,1874400
118544,14,391900
118611,1,100000
118720,2,14000
118922,3,414000
119119,6,12745300
119283,2,150400
119403,1,829300
119432,1,0
119474,4,1573200
119555,2,24700
119611,1,48800
119646,1,64200
119857,1,1600
119860,3,2343000
120135,4,1603000
120163,1,0
120214,2,443800
120291,3,512000
120366,2,51200
120501,2,2731800
120765,8,72300
120886,2,6694400
120934,1,749200
121074,6,1252500
121103,5,70900
121161,2,11000
121299,5,78800
121372,1,466600
121375,1,20700
121486,2,1300
121544,1,10000
121661,13,2721200
121706,45,1204100
121722,1,2700
121754,14,317000
121797,26,107005200
121878,1,9000
121985,1,523800
121994,2,0
122245,2,80000
122259,1,15800
122376,2,400000
122516,2,31707600
122600,3,0
122824,1,153900
122893,1,5400
122929,3,187800
122953,1,1900
122970,10,18564600
122974,1,1365000
122988,2,4000000
123026,6,689400
123028,1,12600
123063,5,6700100
123075,1,12700
123107,3,7900
123124,1,1400
123356,1,7000
123369,1,1028600
123416,2,10130800
123438,1,1500
123667,1,0
123762,1,7500
123771,18,323600
123788,2,18000
123848,1,69500
123859,1,4300
123929,2,58600
123981,8,611094800
123988,1,22800
124375,2,22700
124521,3,301900
124641,1,249500
124900,2,50000
124952,2,481700
125148,5,252500
125186,1,5910000
125462,1,100300
125483,1,17600
125586,2,38100
125588,1,4903600
125644,1,60000
125733,8,40000000
125864,2,445200
126050,1,17500
126339,2,468282000
126355,1,1500000
126520,1,242200
126528,8,1519600
126707,2,20800
126949,1,80000
127097,11,81553000
127172,4,11127200
127202,1,296500
127231,2,60000
127237,2,26600
127308,19,11271700
127328,2,113200
127398,2,2188000
127440,1,326300
127441,2,2403600
127476,6,13577200
127546,1,4200
127549,1,36200
127702,2,229200
127741,2,75400
127808,76,657075800
127890,3,176600
128016,1,38900
128386,2,56000
128402,6,13957900
128488,1,330400
128591,3,780000
128896,3,82900
128898,1,33200
129115,1,47000
129240,2,1014900
129245,1,26000
129339,2,66000
129447,2,3630000
129641,4,4992000
129666,14,294600
129668,1,0
129674,1,4278600
129778,2,435800
129812,2,139000
129908,6,220700
129976,6,5676900
130091,4,45200
130123,1,25900
130148,1,144600
130213,2,0
130255,7,29766500
130261,1,652000
130286,5,8312400
130342,1,3500
130430,8,662600
130654,1,75600
130747,2,26600
130784,3,36500
130811,7,4080700
130889,3,84000
130905,1,140000
131119,1,30300
131123,1,21500
131353,5,614700
131411,1,18800
131644,2,280000000
131649,2,900
131698,5,325200
131750,2,102800
132093,2,0
132141,3,1389300
132173,2,159400
132185,13,13864600
132194,6,11800
132287,1,181400
132463,12,3112300
132587,3,39600
132697,21,1819000
132871,6,12612500
132943,3,2361000
132986,1,5500
133100,4,784000
133259,1,300300
133278,1,313300
133280,2,6671000
133689,3,684900
133723,3,41800
133782,1,99400
133863,1,35800
133873,8,448700
133875,1,11100
133901,1,1534700
134089,2,764900
134154,8,525200
134238,2,2017600
134252,1,62200
134380,2,10000
134433,2,8052000
134452,1,10900
134608,4,507700
134737,1,0
135125,1,84100
135153,1,28700
135158,2,75600
135209,1,7780600
135747,3,144900
135844,1,431200
135845,4,252000
136019,2,250300
136020,1,348000
136146,5,657400
136153,3,2000000
136300,6,281400
136417,2,46400
136430,2,218400
136492,235,4633100
136668,2,356600
136846,2,10600
136893,8,483493200
136999,1,20600
137096,2,82600
137119,3,42600
137229,1,1071500
137506,7,100400
137546,2,120600
137562,1,20000
137761,2,61200
137969,3,627400
138066,3,41908800
138076,1,10400
138157,1,6535700
138183,1,4500
138327,1,863600
138364,5,880600
138378,1,0
138409,84,25374100
138434,17,991100
138618,7,6460400
138844,1,495400
138896,2,22000
138971,4,1762500
139056,1,3000
139079,10,126600
139250,2,2104300
139252,1,60000
139270,1,24200
139276,1,234600
139346,1,0
139393,3,72765800
139476,2,100400
139927,2,12800
140004,1,250000
140054,4,70300
140078,3,13922900
140091,2,82000
140230,1,2578200
140255,1,5600
140350,1,66000
140430,2,180500
140456,1,40175000
140504,1,998700
140648,2,121400
140772,1,700000
140843,1,686200
140866,3,96000
141009,1,4000
141013,2,2963800
141125,2,797700
141184,3,40300
141216,3,201200
141249,1,24800
141418,1,617500
141519,2,4197900
141522,2,48800
141591,2,39400
141703,10,56400
141709,2,1300
141889,3,65500
141947,4,208800
141966,2,115400
142045,2,33600
142115,1,14800
142224,10,465400
142234,1,7000
142269,3,18300
142352,2,362200
142392,6,119400
142508,3,12547300
142513,2,2280000
142719,1,21600
142830,2,122600
142895,1,10400
143026,2,2764000
143144,1,30800
143380,1,4600
143400,2,2608400
143639,14,1788300
143653,1,12800
143768,1,0
143787,1,20000
143842,1,114000
143878,7,24524300
143901,8,423700
143935,1,674400
144254,6,2621200
144316,5,501800
144321,28,2317500
144402,2,16600
144404,6,39699500
144438,3,326500
144529,1,39500
144767,1,4200
144986,1,998100
145006,2,25957400
145026,1,11300
145138,5,739400
145147,2,3000
145168,1,37300
145196,4,107200
145336,1,211000
145513,1,186700
145534,1,15000
145588,15,83086500
145675,1,30000
145778,6,110900
145853,8,17974600
146038,1,42100
146145,1,219400
146433,3,4919600
146505,1,2856600
146541,1,20400
146734,6,199400
146765,13,234800
146850,3,271200
147078,2,146800
147113,2,6392600
147122,3,298800
147193,1,127200
147204,3,14234700
147302,1,7000
147316,3,3600000
147501,5,7300
147859,1,500000
147878,2,12400
147932,1,20300
148030,1,19000
148077,13,270200
148128,1,1880000
148344,3,12100
148394,1,12900
148529,2,420000
148634,2,22404500
148648,11,165700
148669,1,5000
148799,18,212900
148873,4,714000
148931,2,75200
149051,1,7200
149253,1,5400
149322,1,12000
149375,2,13600
149563,2,27400
149566,1,20000
149761,1,1925100
149943,2,0
150123,1,300
150255,1,1619500
150373,22,106100
150447,2,325400
150544,6,14988000
150695,5,85300
151002,3,3477300
