EID,BF_COUNT,BF_END,BF_IN,IS_EXIST_INBF,IS_INDYEND,BF_END_RATE,BF_IN_RATE
42832,2,0,2,1,1,0.0,1.0
42856,3,0,3,1,1,0.0,1.0
43204,1,0,1,1,1,0.0,1.0
43586,1,0,1,1,1,0.0,1.0
43594,2,0,2,1,1,0.0,1.0
44082,1,0,1,1,1,0.0,1.0
44087,2,0,2,1,1,0.0,1.0
44295,2,0,2,1,1,0.0,1.0
44906,2,0,2,1,1,0.0,1.0
44912,1,0,1,1,1,0.0,1.0
44964,2,0,2,1,1,0.0,1.0
45070,1,1,0,0,0,1.0,0.0
45143,2,0,2,1,1,0.0,1.0
46484,2,0,2,1,1,0.0,1.0
48025,2,0,2,1,1,0.0,1.0
48156,1,0,1,1,1,0.0,1.0
48506,4,0,4,1,1,0.0,1.0
48601,2,0,2,1,1,0.0,1.0
48629,1,0,1,1,1,0.0,1.0
48719,2,0,2,1,1,0.0,1.0
48835,2,0,2,1,1,0.0,1.0
48897,4,0,4,1,1,0.0,1.0
49426,2,0,2,1,1,0.0,1.0
49578,4,0,4,1,1,0.0,1.0
49675,3,0,3,1,1,0.0,1.0
50133,3,0,3,1,1,0.0,1.0
51030,2,0,2,1,1,0.0,1.0
52079,2,0,2,1,1,0.0,1.0
52677,2,0,2,1,1,0.0,1.0
53098,1,0,1,1,1,0.0,1.0
53693,11,0,11,1,1,0.0,1.0
54693,2,0,2,1,1,0.0,1.0
55480,2,0,2,1,1,0.0,1.0
55641,2,0,2,1,1,0.0,1.0
55821,4,0,4,1,1,0.0,1.0
55822,2,0,2,1,1,0.0,1.0
55829,2,0,2,1,1,0.0,1.0
56117,2,0,2,1,1,0.0,1.0
56355,1,0,1,1,1,0.0,1.0
57705,1,0,1,1,1,0.0,1.0
57737,2,0,2,1,1,0.0,1.0
57782,1,0,1,1,1,0.0,1.0
58140,4,0,4,1,1,0.0,1.0
58737,3,0,3,1,1,0.0,1.0
58978,3,0,3,1,1,0.0,1.0
59519,12,0,12,1,1,0.0,1.0
60010,2,0,2,1,1,0.0,1.0
60205,2,0,2,1,1,0.0,1.0
60263,2,0,2,1,1,0.0,1.0
60502,1,0,1,1,1,0.0,1.0
60605,2,0,2,1,1,0.0,1.0
61245,1,0,1,1,1,0.0,1.0
61800,1,0,1,1,1,0.0,1.0
61990,2,0,2,1,1,0.0,1.0
62360,2,0,2,1,1,0.0,1.0
62475,1,0,1,1,1,0.0,1.0
62561,2,0,2,1,1,0.0,1.0
62678,2,0,2,1,1,0.0,1.0
63080,2,0,2,1,1,0.0,1.0
63205,2,0,2,1,1,0.0,1.0
63670,2,0,2,1,1,0.0,1.0
63680,14,0,14,1,1,0.0,1.0
64375,2,0,2,1,1,0.0,1.0
65028,10,0,10,1,1,0.0,1.0
65159,4,0,4,1,1,0.0,1.0
65379,2,0,2,1,1,0.0,1.0
65659,1,0,1,1,1,0.0,1.0
65950,2,0,2,1,1,0.0,1.0
66085,2,0,2,1,1,0.0,1.0
66454,35,0,35,1,1,0.0,1.0
66804,16,0,16,1,1,0.0,1.0
66843,4,0,4,1,1,0.0,1.0
66856,2,0,2,1,1,0.0,1.0
67070,2,0,2,1,1,0.0,1.0
67697,2,0,2,1,1,0.0,1.0
68006,2,0,2,1,1,0.0,1.0
68121,2,0,2,1,1,0.0,1.0
68591,1,0,1,1,1,0.0,1.0
69343,1,0,1,1,1,0.0,1.0
69522,2,0,2,1,1,0.0,1.0
70730,2,0,2,1,1,0.0,1.0
70924,2,0,2,1,1,0.0,1.0
70969,2,0,2,1,1,0.0,1.0
71306,1,0,1,1,1,0.0,1.0
72738,2,0,2,1,1,0.0,1.0
72976,33,0,33,1,1,0.0,1.0
73069,2,0,2,1,1,0.0,1.0
73160,7,0,7,1,1,0.0,1.0
73162,2,0,2,1,1,0.0,1.0
74469,2,0,2,1,1,0.0,1.0
74982,1,0,1,1,1,0.0,1.0
75459,1,0,1,1,1,0.0,1.0
76819,4,0,4,1,1,0.0,1.0
77103,2,0,2,1,1,0.0,1.0
77116,2,0,2,1,1,0.0,1.0
77722,1,0,1,1,1,0.0,1.0
77777,2,0,2,1,1,0.0,1.0
77921,2,0,2,1,1,0.0,1.0
78017,1,0,1,1,1,0.0,1.0
78343,1,0,1,1,1,0.0,1.0
78595,2,0,2,1,1,0.0,1.0
78604,2,0,2,1,1,0.0,1.0
78615,2,0,2,1,1,0.0,1.0
79149,3,0,3,1,1,0.0,1.0
79175,2,0,2,1,1,0.0,1.0
80254,2,0,2,1,1,0.0,1.0
80480,4,0,4,1,1,0.0,1.0
80622,2,0,2,1,1,0.0,1.0
80938,2,0,2,1,1,0.0,1.0
81064,1,0,1,1,1,0.0,1.0
81653,4,0,4,1,1,0.0,1.0
81975,1,0,1,1,1,0.0,1.0
82125,2,0,2,1,1,0.0,1.0
82164,2,0,2,1,1,0.0,1.0
82240,4,0,4,1,1,0.0,1.0
82434,2,0,2,1,1,0.0,1.0
82759,8,0,8,1,1,0.0,1.0
84702,6,0,6,1,1,0.0,1.0
84942,4,0,4,1,1,0.0,1.0
85285,1,0,1,1,1,0.0,1.0
85526,1,0,1,1,1,0.0,1.0
86139,2,0,2,1,1,0.0,1.0
86250,1,1,0,0,0,1.0,0.0
86269,1,1,0,0,0,1.0,0.0
86476,1,0,1,1,1,0.0,1.0
86729,2,0,2,1,1,0.0,1.0
87086,2,0,2,1,1,0.0,1.0
87339,2,0,2,1,1,0.0,1.0
87353,8,0,8,1,1,0.0,1.0
88034,2,0,2,1,1,0.0,1.0
88198,2,0,2,1,1,0.0,1.0
88607,2,0,2,1,1,0.0,1.0
88654,2,0,2,1,1,0.0,1.0
90737,1,0,1,1,1,0.0,1.0
90869,2,0,2,1,1,0.0,1.0
90909,2,0,2,1,1,0.0,1.0
91227,1,0,1,1,1,0.0,1.0
91356,2,0,2,1,1,0.0,1.0
91361,2,0,2,1,1,0.0,1.0
91522,9,0,9,1,1,0.0,1.0
91804,2,0,2,1,1,0.0,1.0
91810,2,0,2,1,1,0.0,1.0
92527,1,0,1,1,1,0.0,1.0
92547,2,0,2,1,1,0.0,1.0
92725,4,0,4,1,1,0.0,1.0
93340,2,0,2,1,1,0.0,1.0
93417,4,0,4,1,1,0.0,1.0
93620,1,0,1,1,1,0.0,1.0
94577,2,0,2,1,1,0.0,1.0
95075,2,2,0,0,0,1.0,0.0
95095,2,0,2,1,1,0.0,1.0
95530,1,0,1,1,1,0.0,1.0
95668,2,0,2,1,1,0.0,1.0
96503,2,0,2,1,1,0.0,1.0
97281,2,0,2,1,1,0.0,1.0
97461,2,0,2,1,1,0.0,1.0
97535,1,0,1,1,1,0.0,1.0
97758,1,0,1,1,1,0.0,1.0
98864,1,0,1,1,1,0.0,1.0
99004,2,0,2,1,1,0.0,1.0
99585,4,0,4,1,1,0.0,1.0
99785,1,1,0,0,0,1.0,0.0
99856,4,0,4,1,1,0.0,1.0
100316,2,0,2,1,1,0.0,1.0
100423,2,0,2,1,1,0.0,1.0
100884,2,0,2,1,1,0.0,1.0
100938,1,0,1,1,1,0.0,1.0
101325,1,0,1,1,1,0.0,1.0
101347,2,0,2,1,1,0.0,1.0
101558,2,0,2,1,1,0.0,1.0
102327,2,0,2,1,1,0.0,1.0
102558,2,0,2,1,1,0.0,1.0
102700,6,0,6,1,1,0.0,1.0
103731,2,0,2,1,1,0.0,1.0
103918,1,0,1,1,1,0.0,1.0
104109,2,0,2,1,1,0.0,1.0
105248,2,0,2,1,1,0.0,1.0
105294,1,1,0,0,0,1.0,0.0
105978,3,0,3,1,1,0.0,1.0
106052,2,0,2,1,1,0.0,1.0
106128,1,0,1,1,1,0.0,1.0
106657,1,1,0,0,0,1.0,0.0
106970,1,0,1,1,1,0.0,1.0
107313,2,0,2,1,1,0.0,1.0
109733,1,0,1,1,1,0.0,1.0
110163,2,0,2,1,1,0.0,1.0
111275,2,0,2,1,1,0.0,1.0
111351,2,0,2,1,1,0.0,1.0
111655,2,0,2,1,1,0.0,1.0
111848,4,0,4,1,1,0.0,1.0
112192,2,0,2,1,1,0.0,1.0
112669,2,0,2,1,1,0.0,1.0
112695,2,0,2,1,1,0.0,1.0
113324,1,0,1,1,1,0.0,1.0
113907,6,0,6,1,1,0.0,1.0
113951,2,0,2,1,1,0.0,1.0
114018,2,0,2,1,1,0.0,1.0
114585,2,0,2,1,1,0.0,1.0
114696,2,0,2,1,1,0.0,1.0
114862,18,0,18,1,1,0.0,1.0
115213,4,0,4,1,1,0.0,1.0
115351,1,0,1,1,1,0.0,1.0
115857,1,1,0,0,0,1.0,0.0
116003,1,0,1,1,1,0.0,1.0
116343,2,0,2,1,1,0.0,1.0
116712,2,0,2,1,1,0.0,1.0
117465,4,0,4,1,1,0.0,1.0
117738,2,0,2,1,1,0.0,1.0
117899,1,0,1,1,1,0.0,1.0
118231,2,0,2,1,1,0.0,1.0
118720,2,0,2,1,1,0.0,1.0
119119,4,0,4,1,1,0.0,1.0
119474,4,0,4,1,1,0.0,1.0
119860,2,0,2,1,1,0.0,1.0
121299,2,0,2,1,1,0.0,1.0
121661,5,0,5,1,1,0.0,1.0
121754,6,0,6,1,1,0.0,1.0
123063,2,0,2,1,1,0.0,1.0
124521,2,0,2,1,1,0.0,1.0
124641,1,0,1,1,1,0.0,1.0
125186,2,0,2,1,1,0.0,1.0
125588,2,0,2,1,1,0.0,1.0
126528,2,0,2,1,1,0.0,1.0
127097,31,0,31,1,1,0.0,1.0
127476,4,0,4,1,1,0.0,1.0
127808,7,0,7,1,1,0.0,1.0
128128,2,0,2,1,1,0.0,1.0
128829,2,0,2,1,1,0.0,1.0
129447,2,0,2,1,1,0.0,1.0
129674,2,0,2,1,1,0.0,1.0
129813,1,0,1,1,1,0.0,1.0
130091,2,0,2,1,1,0.0,1.0
130430,1,0,1,1,1,0.0,1.0
130905,1,1,0,0,0,1.0,0.0
131698,4,0,4,1,1,0.0,1.0
132141,1,1,0,0,0,1.0,0.0
132185,4,0,4,1,1,0.0,1.0
132587,2,0,2,1,1,0.0,1.0
132697,2,0,2,1,1,0.0,1.0
133259,2,0,2,1,1,0.0,1.0
133689,1,0,1,1,1,0.0,1.0
133873,1,0,1,1,1,0.0,1.0
133901,2,0,2,1,1,0.0,1.0
134238,2,0,2,1,1,0.0,1.0
134608,2,0,2,1,1,0.0,1.0
135158,2,0,2,1,1,0.0,1.0
135209,1,0,1,1,1,0.0,1.0
135747,4,0,4,1,1,0.0,1.0
135844,2,0,2,1,1,0.0,1.0
135845,4,0,4,1,1,0.0,1.0
136020,1,0,1,1,1,0.0,1.0
136146,2,0,2,1,1,0.0,1.0
136893,2,0,2,1,1,0.0,1.0
137119,2,0,2,1,1,0.0,1.0
137969,2,0,2,1,1,0.0,1.0
138364,4,0,4,1,1,0.0,1.0
138378,7,0,7,1,1,0.0,1.0
138409,20,0,20,1,1,0.0,1.0
138434,2,0,2,1,1,0.0,1.0
139252,2,0,2,1,1,0.0,1.0
139816,4,0,4,1,1,0.0,1.0
140078,1,0,1,1,1,0.0,1.0
140255,1,0,1,1,1,0.0,1.0
140504,2,0,2,1,1,0.0,1.0
141467,1,0,1,1,1,0.0,1.0
141703,1,0,1,1,1,0.0,1.0
141947,2,0,2,1,1,0.0,1.0
142224,3,0,3,1,1,0.0,1.0
142392,2,0,2,1,1,0.0,1.0
143026,3,0,3,1,1,0.0,1.0
143878,5,0,5,1,1,0.0,1.0
144254,2,0,2,1,1,0.0,1.0
144321,2,1,1,1,0,0.5,0.5
144404,1,1,0,0,0,1.0,0.0
145534,2,0,2,1,1,0.0,1.0
145588,2,0,2,1,1,0.0,1.0
146916,2,0,2,1,1,0.0,1.0
147482,1,1,0,0,0,1.0,0.0
147501,9,0,9,1,1,0.0,1.0
148111,2,0,2,1,1,0.0,1.0
148344,2,0,2,1,1,0.0,1.0
148529,2,0,2,1,1,0.0,1.0
148559,2,0,2,1,1,0.0,1.0
148648,2,0,2,1,1,0.0,1.0
148765,2,0,2,1,1,0.0,1.0
148931,2,0,2,1,1,0.0,1.0
150932,2,0,2,1,1,0.0,1.0
151124,4,0,4,1,1,0.0,1.0
151140,2,0,2,1,1,0.0,1.0
151191,2,0,2,1,1,0.0,1.0
151262,1,1,0,0,0,1.0,0.0
151440,4,0,4,1,1,0.0,1.0
151873,2,0,2,1,1,0.0,1.0
152159,19,0,19,1,1,0.0,1.0
153074,1,0,1,1,1,0.0,1.0
153257,1,0,1,1,1,0.0,1.0
153936,2,0,2,1,1,0.0,1.0
154574,11,0,11,1,1,0.0,1.0
154752,2,0,2,1,1,0.0,1.0
154965,1,0,1,1,1,0.0,1.0
156311,2,0,2,1,1,0.0,1.0
156884,2,0,2,1,1,0.0,1.0
157007,2,0,2,1,1,0.0,1.0
157773,2,0,2,1,1,0.0,1.0
157843,2,0,2,1,1,0.0,1.0
158057,2,0,2,1,1,0.0,1.0
158606,2,0,2,1,1,0.0,1.0
158892,2,1,1,1,0,0.5,0.5
159562,2,0,2,1,1,0.0,1.0
159685,4,0,4,1,1,0.0,1.0
160781,3,0,3,1,1,0.0,1.0
160961,1,1,0,0,0,1.0,0.0
161098,2,0,2,1,1,0.0,1.0
161437,10,1,9,1,1,0.1,0.9
161705,5,0,5,1,1,0.0,1.0
161976,1,0,1,1,1,0.0,1.0
162374,4,0,4,1,1,0.0,1.0
163587,9,0,9,1,1,0.0,1.0
163612,2,0,2,1,1,0.0,1.0
163770,2,0,2,1,1,0.0,1.0
163917,2,0,2,1,1,0.0,1.0
164533,1,0,1,1,1,0.0,1.0
164796,2,0,2,1,1,0.0,1.0
164881,2,0,2,1,1,0.0,1.0
165079,8,0,8,1,1,0.0,1.0
165092,2,0,2,1,1,0.0,1.0
165494,2,0,2,1,1,0.0,1.0
165576,1,0,1,1,1,0.0,1.0
166080,2,0,2,1,1,0.0,1.0
167082,2,0,2,1,1,0.0,1.0
167410,2,0,2,1,1,0.0,1.0
167844,1,0,1,1,1,0.0,1.0
168133,4,0,4,1,1,0.0,1.0
168168,4,0,4,1,1,0.0,1.0
168440,4,0,4,1,1,0.0,1.0
168587,2,0,2,1,1,0.0,1.0
168679,2,0,2,1,1,0.0,1.0
169013,2,0,2,1,1,0.0,1.0
169310,4,0,4,1,1,0.0,1.0
169590,1,0,1,1,1,0.0,1.0
170384,2,0,2,1,1,0.0,1.0
170481,2,0,2,1,1,0.0,1.0
170538,2,0,2,1,1,0.0,1.0
170664,1,1,0,0,0,1.0,0.0
171251,1,0,1,1,1,0.0,1.0
171803,2,0,2,1,1,0.0,1.0
172773,1,0,1,1,1,0.0,1.0
173247,2,0,2,1,1,0.0,1.0
173367,1,0,1,1,1,0.0,1.0
173393,1,0,1,1,1,0.0,1.0
173627,2,0,2,1,1,0.0,1.0
174221,1,0,1,1,1,0.0,1.0
174244,2,0,2,1,1,0.0,1.0
174515,2,0,2,1,1,0.0,1.0
175325,2,0,2,1,1,0.0,1.0
177903,1,0,1,1,1,0.0,1.0
178719,4,0,4,1,1,0.0,1.0
179068,2,0,2,1,1,0.0,1.0
179491,2,0,2,1,1,0.0,1.0
180268,2,0,2,1,1,0.0,1.0
180372,1,0,1,1,1,0.0,1.0
180806,2,0,2,1,1,0.0,1.0
180866,6,0,6,1,1,0.0,1.0
180965,2,0,2,1,1,0.0,1.0
181721,2,0,2,1,1,0.0,1.0
181877,1,0,1,1,1,0.0,1.0
182169,4,0,4,1,1,0.0,1.0
182734,2,0,2,1,1,0.0,1.0
183277,4,0,4,1,1,0.0,1.0
183409,2,0,2,1,1,0.0,1.0
183816,2,0,2,1,1,0.0,1.0
183850,2,0,2,1,1,0.0,1.0
184046,2,0,2,1,1,0.0,1.0
184444,1,0,1,1,1,0.0,1.0
184788,2,0,2,1,1,0.0,1.0
184997,2,0,2,1,1,0.0,1.0
185056,2,0,2,1,1,0.0,1.0
185265,1,0,1,1,1,0.0,1.0
185322,2,0,2,1,1,0.0,1.0
186212,2,0,2,1,1,0.0,1.0
186946,2,0,2,1,1,0.0,1.0
187099,4,0,4,1,1,0.0,1.0
187410,5,0,5,1,1,0.0,1.0
187630,1,0,1,1,1,0.0,1.0
188193,1,0,1,1,1,0.0,1.0
188676,2,0,2,1,1,0.0,1.0
189863,2,0,2,1,1,0.0,1.0
189920,2,0,2,1,1,0.0,1.0
190211,1,1,0,0,0,1.0,0.0
190290,2,0,2,1,1,0.0,1.0
190397,2,0,2,1,1,0.0,1.0
190453,3,0,3,1,1,0.0,1.0
190702,3,3,0,0,0,1.0,0.0
191620,2,0,2,1,1,0.0,1.0
191741,4,0,4,1,1,0.0,1.0
193694,2,0,2,1,1,0.0,1.0
194248,2,0,2,1,1,0.0,1.0
194824,2,0,2,1,1,0.0,1.0
194955,3,0,3,1,1,0.0,1.0
195059,4,0,4,1,1,0.0,1.0
196116,4,0,4,1,1,0.0,1.0
196957,2,0,2,1,1,0.0,1.0
197062,1,0,1,1,1,0.0,1.0
197250,2,0,2,1,1,0.0,1.0
197747,2,0,2,1,1,0.0,1.0
198255,1,0,1,1,1,0.0,1.0
198267,2,0,2,1,1,0.0,1.0
198482,2,0,2,1,1,0.0,1.0
198650,1,0,1,1,1,0.0,1.0
200270,2,0,2,1,1,0.0,1.0
200280,2,0,2,1,1,0.0,1.0
200616,9,0,9,1,1,0.0,1.0
201148,2,0,2,1,1,0.0,1.0
201178,13,2,11,1,1,0.15384615384615385,0.8461538461538461
202487,2,0,2,1,1,0.0,1.0
202934,18,0,18,1,1,0.0,1.0
202967,8,0,8,1,1,0.0,1.0
203297,2,0,2,1,1,0.0,1.0
203403,3,0,3,1,1,0.0,1.0
203500,2,0,2,1,1,0.0,1.0
203590,1,0,1,1,1,0.0,1.0
203758,16,0,16,1,1,0.0,1.0
204099,18,0,18,1,1,0.0,1.0
204564,8,0,8,1,1,0.0,1.0
204619,4,0,4,1,1,0.0,1.0
204923,4,0,4,1,1,0.0,1.0
205081,4,0,4,1,1,0.0,1.0
205240,1,1,0,0,0,1.0,0.0
205387,8,0,8,1,1,0.0,1.0
205761,1,0,1,1,1,0.0,1.0
205782,2,0,2,1,1,0.0,1.0
205993,1,0,1,1,1,0.0,1.0
207760,2,0,2,1,1,0.0,1.0
207911,2,0,2,1,1,0.0,1.0
208615,2,0,2,1,1,0.0,1.0
208675,3,0,3,1,1,0.0,1.0
208720,2,0,2,1,1,0.0,1.0
208870,1,0,1,1,1,0.0,1.0
209122,2,0,2,1,1,0.0,1.0
209126,2,0,2,1,1,0.0,1.0
209166,1,0,1,1,1,0.0,1.0
209704,20,0,20,1,1,0.0,1.0
210338,16,1,15,1,1,0.0625,0.9375
210499,2,0,2,1,1,0.0,1.0
211301,3,0,3,1,1,0.0,1.0
211586,2,0,2,1,1,0.0,1.0
212187,2,0,2,1,1,0.0,1.0
212638,2,0,2,1,1,0.0,1.0
212895,2,0,2,1,1,0.0,1.0
213410,1,0,1,1,1,0.0,1.0
213603,3,0,3,1,1,0.0,1.0
214080,4,0,4,1,1,0.0,1.0
214119,1,0,1,1,1,0.0,1.0
214300,1,0,1,1,1,0.0,1.0
214391,1,0,1,1,1,0.0,1.0
214508,2,0,2,1,1,0.0,1.0
214586,2,0,2,1,1,0.0,1.0
216002,1,0,1,1,1,0.0,1.0
216293,2,0,2,1,1,0.0,1.0
216809,2,0,2,1,1,0.0,1.0
216953,3,0,3,1,1,0.0,1.0
217253,2,0,2,1,1,0.0,1.0
218139,2,0,2,1,1,0.0,1.0
218436,2,0,2,1,1,0.0,1.0
218466,8,0,8,1,1,0.0,1.0
218654,1,1,0,0,0,1.0,0.0
218889,2,0,2,1,1,0.0,1.0
219998,2,0,2,1,1,0.0,1.0
220079,2,0,2,1,1,0.0,1.0
220224,2,0,2,1,1,0.0,1.0
220314,2,0,2,1,1,0.0,1.0
221541,2,0,2,1,1,0.0,1.0
221731,4,0,4,1,1,0.0,1.0
221964,2,0,2,1,1,0.0,1.0
222286,2,0,2,1,1,0.0,1.0
222694,4,0,4,1,1,0.0,1.0
222714,2,0,2,1,1,0.0,1.0
223427,1,0,1,1,1,0.0,1.0
224726,1,1,0,0,0,1.0,0.0
225137,1,0,1,1,1,0.0,1.0
225507,3,0,3,1,1,0.0,1.0
225660,2,0,2,1,1,0.0,1.0
225893,1,0,1,1,1,0.0,1.0
226663,2,0,2,1,1,0.0,1.0
226688,2,0,2,1,1,0.0,1.0
226865,1,0,1,1,1,0.0,1.0
227034,4,0,4,1,1,0.0,1.0
227114,4,0,4,1,1,0.0,1.0
228056,2,0,2,1,1,0.0,1.0
228230,2,0,2,1,1,0.0,1.0
228496,1,0,1,1,1,0.0,1.0
228835,6,0,6,1,1,0.0,1.0
230838,1,1,0,0,0,1.0,0.0
230932,2,0,2,1,1,0.0,1.0
231105,1,0,1,1,1,0.0,1.0
231358,2,0,2,1,1,0.0,1.0
231844,1,0,1,1,1,0.0,1.0
231986,4,0,4,1,1,0.0,1.0
232809,1,1,0,0,0,1.0,0.0
233957,1,0,1,1,1,0.0,1.0
234041,7,0,7,1,1,0.0,1.0
234390,1,0,1,1,1,0.0,1.0
235515,1,0,1,1,1,0.0,1.0
235930,1,1,0,0,0,1.0,0.0
236872,4,0,4,1,1,0.0,1.0
237464,2,0,2,1,1,0.0,1.0
237949,2,0,2,1,1,0.0,1.0
238298,1,0,1,1,1,0.0,1.0
238352,2,0,2,1,1,0.0,1.0
238408,2,0,2,1,1,0.0,1.0
238964,1,0,1,1,1,0.0,1.0
239704,2,0,2,1,1,0.0,1.0
239784,4,0,4,1,1,0.0,1.0
240295,2,0,2,1,1,0.0,1.0
240399,2,0,2,1,1,0.0,1.0
240825,1,1,0,0,0,1.0,0.0
241002,2,0,2,1,1,0.0,1.0
241132,1,0,1,1,1,0.0,1.0
241443,1,0,1,1,1,0.0,1.0
241886,2,0,2,1,1,0.0,1.0
242367,2,0,2,1,1,0.0,1.0
242603,2,0,2,1,1,0.0,1.0
242731,2,0,2,1,1,0.0,1.0
243549,2,0,2,1,1,0.0,1.0
243821,2,0,2,1,1,0.0,1.0
244743,2,0,2,1,1,0.0,1.0
244799,2,0,2,1,1,0.0,1.0
244846,2,0,2,1,1,0.0,1.0
245143,2,0,2,1,1,0.0,1.0
245345,2,0,2,1,1,0.0,1.0
245571,1,0,1,1,1,0.0,1.0
246158,1,0,1,1,1,0.0,1.0
246219,2,0,2,1,1,0.0,1.0
246451,2,0,2,1,1,0.0,1.0
247049,2,0,2,1,1,0.0,1.0
247515,1,0,1,1,1,0.0,1.0
247562,4,0,4,1,1,0.0,1.0
247844,2,0,2,1,1,0.0,1.0
248342,2,0,2,1,1,0.0,1.0
248364,2,0,2,1,1,0.0,1.0
248710,1,1,0,0,0,1.0,0.0
249115,2,0,2,1,1,0.0,1.0
249819,2,0,2,1,1,0.0,1.0
249926,4,0,4,1,1,0.0,1.0
250217,3,0,3,1,1,0.0,1.0
250753,2,0,2,1,1,0.0,1.0
250967,2,0,2,1,1,0.0,1.0
251511,3,0,3,1,1,0.0,1.0
251567,2,0,2,1,1,0.0,1.0
252710,4,0,4,1,1,0.0,1.0
253234,2,0,2,1,1,0.0,1.0
253322,4,0,4,1,1,0.0,1.0
