EID,WSIN,WSEND,BSIN,BSEND,INCOUNT,ENDCOUNT
4026,,,2,,2,
4028,,,1,,1,
4041,2,,8,3,10,3
4057,3,,1,,4,
4071,,,2,,2,
4101,,,1,,1,
4160,,,2,,2,
4170,1,,,,1,
4201,2,,,,2,
4228,4,,1,,5,
4245,,,2,,2,
4253,1,,1,,2,
4280,1,,,,1,
4313,,,2,,2,
4347,,,1,,1,
4403,,,1,1,1,1
4427,1,,3,,4,
4428,2,1,,,2,1
4433,6,,1,,7,
4467,,,2,,2,
4478,3,,,,3,
4486,,,1,,1,
4490,,,1,,1,
4535,2,,,,2,
4583,2,1,2,,4,1
4614,,,1,,1,
4625,,,1,,1,
4637,22,,,,22,
4641,1,1,4,1,5,2
4735,,,1,,1,
4765,1,,1,,2,
4827,,,1,,1,
4863,1,,,,1,
4926,,,1,,1,
4950,1,,,,1,
4988,,,1,,1,
4996,1,,,,1,
5050,,,1,,1,
5103,,,2,,2,
5107,,,2,,2,
5131,1,,,,1,
5167,1,,,,1,
5231,1,1,,,1,1
5282,,,1,,1,
5283,,,1,,1,
5298,1,,,,1,
5316,1,,,,1,
5342,1,,,,1,
5395,1,,,,1,
5477,1,1,,,1,1
5495,,,1,,1,
5533,1,,,,1,
5599,,,1,,1,
5625,4,,,,4,
5723,1,,,,1,
5736,4,,,,4,
5744,,,1,,1,
5768,,,1,,1,
5788,,,1,,1,
5794,,,1,,1,
5795,,,1,,1,
5807,1,,2,1,3,1
5820,1,,,,1,
5824,2,2,3,,5,2
5832,1,,1,,2,
5856,1,,2,,3,
5877,,,1,,1,
5894,,,1,,1,
5940,,,1,,1,
5986,1,,,,1,
5995,,,1,,1,
6012,,,1,,1,
6076,,,1,,1,
6085,,,1,,1,
6092,,,2,1,2,1
6102,,,1,,1,
6162,,,1,,1,
6252,12,11,,,12,11
6325,,,1,,1,
6386,,,1,,1,
6409,3,,,,3,
6434,1,1,,,1,1
6452,5,,1,,6,
6460,,,2,2,2,2
6508,1,,1,,2,
6512,,,1,,1,
6587,1,,,,1,
6591,1,,1,,2,
6609,,,1,,1,
6613,1,,,,1,
6618,2,,1,,3,
6655,1,,,,1,
6692,,,1,,1,
6715,5,5,1,,6,5
6809,1,1,1,,2,1
6827,1,,,,1,
6828,4,,,,4,
6870,,,1,,1,
6890,,,2,,2,
6900,,,1,,1,
6922,,,2,,2,
6960,,,1,,1,
6965,,,2,,2,
6981,,,2,,2,
7004,,,1,,1,
7017,,,1,,1,
7039,,,1,,1,
7086,1,,2,,3,
7115,,,1,,1,
7116,1,,1,1,2,1
7210,,,1,,1,
7235,,,1,,1,
7289,,,1,,1,
7315,1,,,,1,
7422,5,,2,,7,
7458,,,1,,1,
7475,1,,,,1,
7477,1,,,,1,
7478,10,,5,,15,
7569,,,1,,1,
7591,1,1,,,1,1
7617,,,1,,1,
7660,,,2,1,2,1
7682,,,3,,3,
7684,,,2,,2,
7701,,,3,,3,
7708,,,1,,1,
7730,,,1,,1,
7744,,,1,,1,
7750,1,,,,1,
7770,,,1,,1,
7810,2,,,,2,
7812,,,1,1,1,1
7819,,,1,,1,
7824,,,4,,4,
7896,10,9,,,10,9
7905,1,,,,1,
7918,,,1,,1,
7928,,,2,,2,
7974,1,,2,,3,
8035,,,1,,1,
8073,,,1,,1,
8131,1,,1,1,2,1
8142,1,,1,,2,
8147,1,,,,1,
8149,1,,,,1,
8195,1,,,,1,
8212,3,1,4,1,7,2
8217,,,1,1,1,1
8228,,,1,,1,
8235,1,,,,1,
8315,,,1,,1,
8359,,,2,,2,
8360,,,5,,5,
8367,1,,,,1,
8370,,,1,,1,
8410,1,1,,,1,1
8423,,,1,,1,
8425,,,1,,1,
8475,,,2,,2,
8511,,,1,,1,
8515,,,1,,1,
8516,,,2,,2,
8545,,,1,,1,
8552,1,,,,1,
8567,1,,,,1,
8635,1,,,,1,
8651,1,1,,,1,1
8689,4,,2,,6,
8723,,,1,,1,
8734,,,1,,1,
8735,1,,1,,2,
8796,1,,,,1,
8812,,,1,,1,
8839,,,1,,1,
8905,,,1,,1,
8909,5,2,2,,7,2
8938,1,,,,1,
8960,,,1,1,1,1
9066,,,1,,1,
9092,,,2,,2,
9099,1,,2,,3,
9130,1,,,,1,
9138,7,2,1,,8,2
9233,,,3,,3,
9308,,,1,,1,
9375,,,1,,1,
9440,,,1,1,1,1
9448,,,1,1,1,1
9450,3,,,,3,
9516,1,,,,1,
9671,2,,,,2,
9684,2,,,,2,
9714,,,1,,1,
9719,,,1,,1,
9720,1,,,,1,
9794,1,1,3,2,4,3
9809,1,1,,,1,1
9838,,,1,,1,
9849,1,,2,,3,
9887,,,1,,1,
9988,1,,1,,2,
9992,,,2,,2,
10015,,,1,,1,
10023,,,1,1,1,1
10044,,,1,,1,
10119,,,1,,1,
10206,,,1,,1,
10226,,,4,,4,
10253,8,,1,,9,
10275,1,,1,,2,
10303,,,1,,1,
10342,1,,,,1,
10346,,,1,1,1,1
10427,2,,1,,3,
10432,,,1,,1,
10436,1,,3,,4,
10485,13,5,9,2,22,7
10491,,,1,,1,
10493,1,,,,1,
10499,,,2,,2,
10507,,,1,,1,
10588,3,,1,,4,
10595,,,1,1,1,1
10599,,,1,,1,
10601,,,2,,2,
10643,1,,1,,2,
10644,,,1,,1,
10647,,,2,,2,
10660,,,4,,4,
10683,1,,,,1,
10747,2,,,,2,
10785,,,1,1,1,1
10828,,,1,,1,
10847,,,1,,1,
10866,,,1,,1,
10887,3,,,,3,
10905,,,2,1,2,1
10935,1,,1,,2,
10980,1,,1,1,2,1
10984,1,,,,1,
10986,1,,,,1,
11020,1,,,,1,
11055,,,1,,1,
11084,,,2,,2,
11144,,,1,,1,
11148,,,1,,1,
11165,1,,,,1,
11225,,,1,,1,
11296,50,3,4,,54,3
11300,4,,,,4,
11357,,,1,1,1,1
11364,1,,,,1,
11370,,,1,,1,
11387,,,1,,1,
11423,,,1,,1,
11474,,,1,,1,
11513,,,1,,1,
11516,3,,2,,5,
11535,,,1,,1,
11553,1,,1,,2,
11571,1,,,,1,
11581,,,1,,1,
11606,3,,1,,4,
11658,,,2,1,2,1
11690,,,2,,2,
11723,,,1,1,1,1
11734,,,8,,8,
11752,,,1,,1,
11839,,,1,,1,
11843,3,,1,,4,
11890,,,3,,3,
11918,,,3,,3,
11957,1,1,,,1,1
12004,,,3,,3,
12008,,,2,,2,
12046,,,1,,1,
12068,1,,,,1,
12081,,,1,,1,
12101,1,1,,,1,1
12108,3,3,1,,4,3
12134,2,,,,2,
12153,,,1,,1,
12160,4,,,,4,
12182,,,1,,1,
12223,3,1,,,3,1
12238,,,2,,2,
12272,1,,,,1,
12337,,,1,,1,
12346,,,1,,1,
12354,2,,6,,8,
12402,1,,,,1,
12413,,,1,,1,
12422,,,1,,1,
12437,,,1,,1,
12449,,,6,3,6,3
12458,,,1,,1,
12488,1,,,,1,
12505,,,3,,3,
12515,,,1,1,1,1
12532,,,1,,1,
12558,1,,,,1,
12563,1,1,,,1,1
12572,2,,,,2,
12598,1,,,,1,
12607,,,3,,3,
12660,3,,2,,5,
12672,1,1,1,1,2,2
12698,,,1,,1,
12765,,,1,,1,
12811,,,4,,4,
12832,1,1,,,1,1
12864,,,1,,1,
12876,,,1,,1,
12889,1,,,,1,
12890,,,1,,1,
12968,1,,,,1,
13033,,,1,,1,
13053,,,1,,1,
13095,1,1,2,1,3,2
13099,,,1,,1,
13154,,,2,,2,
13202,,,2,,2,
13228,,,1,,1,
13257,2,,1,,3,
13349,20,,,,20,
13388,,,1,,1,
13418,,,1,,1,
13419,,,1,,1,
13439,1,,,,1,
13461,,,1,,1,
13476,2,,2,,4,
13487,1,,,,1,
13496,2,,,,2,
13505,,,1,,1,
13599,1,,4,,5,
13643,1,,,,1,
13646,,,1,,1,
13656,,,2,,2,
13675,9,7,55,10,64,17
13676,,,2,,2,
13699,3,,1,,4,
13715,,,1,,1,
13830,,,4,3,4,3
13838,,,1,,1,
13887,,,1,,1,
13889,1,,,,1,
13898,,,1,1,1,1
13922,,,2,1,2,1
13959,2,,,,2,
13960,,,1,,1,
13972,,,1,,1,
14032,,,1,,1,
14038,1,,,,1,
14051,1,,2,,3,
14199,,,2,,2,
14219,6,,2,1,8,1
14277,1,,,,1,
14383,,,1,1,1,1
14398,1,,,,1,
14404,2,,3,,5,
14452,1,,5,,6,
14454,,,1,1,1,1
14488,,,1,,1,
14521,4,,1,,5,
14526,1,1,,,1,1
14549,1,,,,1,
14557,36,14,4,,40,14
14573,1,,,,1,
14577,,,1,,1,
14597,2,,,,2,
14599,4,3,,,4,3
14615,2,1,3,,5,1
14711,1,,,,1,
14727,1,,,,1,
14751,,,1,1,1,1
14798,,,1,,1,
14804,,,1,,1,
14810,1,,,,1,
14838,,,1,,1,
14977,1,,4,,5,
14990,1,,,,1,
15089,6,,3,,9,
15097,,,1,,1,
15100,,,2,,2,
15160,,,1,1,1,1
15200,1,,,,1,
15243,1,1,4,,5,1
15291,1,,,,1,
15306,4,3,3,3,7,6
15309,1,,1,,2,
15338,,,1,1,1,1
15364,,,3,,3,
15367,,,1,1,1,1
15394,1,,,,1,
15443,1,,,,1,
15493,5,,,,5,
15521,,,1,,1,
15537,,,1,,1,
15570,1,,,,1,
15583,3,,,,3,
15584,1,,,,1,
15603,,,1,,1,
15650,,,1,,1,
15750,1,,1,1,2,1
15759,3,1,3,1,6,2
15807,,,1,,1,
15865,1,,,,1,
15877,2,1,2,,4,1
15927,3,,4,1,7,1
15999,1,,1,,2,
16009,1,,,,1,
16035,,,2,2,2,2
16057,,,1,,1,
16081,1,,,,1,
16082,,,2,1,2,1
16126,2,,,,2,
16156,,,1,,1,
16168,,,1,,1,
16185,2,1,,,2,1
16196,1,,,,1,
16206,1,1,1,1,2,2
16230,3,3,2,1,5,4
16299,,,1,,1,
16309,,,1,,1,
16334,,,1,,1,
16337,,,1,,1,
16348,,,1,,1,
16399,,,1,1,1,1
16416,1,1,,,1,1
16444,,,10,,10,
16452,,,1,1,1,1
16458,,,1,,1,
16494,,,1,,1,
16497,1,,,,1,
16513,,,1,,1,
16533,,,5,,5,
16567,9,9,7,5,16,14
16590,,,1,,1,
16681,1,,,,1,
16739,1,,,,1,
16798,,,1,,1,
16827,1,,,,1,
16860,4,,,,4,
16900,,,1,,1,
16959,,,1,,1,
16974,,,1,,1,
16986,,,1,,1,
17034,3,,3,1,6,1
17078,,,1,,1,
17085,3,,1,,4,
17086,,,1,,1,
17145,1,,,,1,
17167,3,1,,,3,1
17169,,,1,1,1,1
17184,,,2,,2,
17197,,,1,,1,
17214,,,1,,1,
17226,2,,3,,5,
17247,,,1,,1,
17249,,,2,,2,
17252,2,,,,2,
17260,1,,,,1,
17262,,,1,,1,
17310,,,1,,1,
17436,2,,,,2,
17458,,,1,,1,
17480,2,1,2,,4,1
17517,,,3,2,3,2
17555,2,,,,2,
17572,1,,1,,2,
17593,1,,1,,2,
17607,,,2,1,2,1
17612,,,3,,3,
17641,1,,1,,2,
17655,1,,,,1,
17681,2,,1,,3,
17798,,,2,1,2,1
17846,1,1,,,1,1
17862,1,,,,1,
17899,,,2,,2,
17907,,,1,,1,
17908,,,3,,3,
17922,,,1,,1,
17966,,,1,,1,
17998,1,,,,1,
18021,2,,4,1,6,1
18032,1,,1,,2,
18043,,,1,,1,
18047,1,,,,1,
18078,3,1,6,,9,1
18082,2,,,,2,
18103,1,,,,1,
18109,,,1,,1,
18147,,,2,,2,
18225,1,,,,1,
18284,,,1,1,1,1
18287,,,1,,1,
18332,,,1,,1,
18339,,,1,,1,
18397,1,1,,,1,1
18480,2,,3,2,5,2
18486,1,,,,1,
18534,1,,,,1,
18595,4,,,,4,
18620,2,,,,2,
18656,,,1,,1,
18664,1,,,,1,
18681,1,1,,,1,1
18697,,,1,,1,
18704,,,2,,2,
18807,5,,,,5,
18816,,,1,,1,
18865,1,1,1,,2,1
18884,3,1,3,3,6,4
18887,,,1,,1,
18928,,,1,,1,
18956,,,1,1,1,1
19006,,,1,,1,
19009,,,1,,1,
19085,1,,,,1,
19096,3,,1,1,4,1
19103,1,,,,1,
19238,,,1,,1,
19293,,,1,,1,
19309,,,1,,1,
19311,,,1,,1,
19336,2,1,,,2,1
19389,,,1,,1,
19401,,,1,,1,
19452,,,5,,5,
19468,,,4,2,4,2
19521,,,2,,2,
19560,,,1,,1,
19565,,,2,,2,
19601,1,,,,1,
19744,1,,3,,4,
19746,,,1,1,1,1
19776,1,,,,1,
19780,,,2,,2,
19790,1,,,,1,
19799,1,,,,1,
19836,,,1,1,1,1
19855,1,,1,,2,
19874,,,3,1,3,1
19889,,,11,,11,
19890,5,,1,,6,
19948,,,1,,1,
20010,1,,,,1,
20026,,,1,,1,
20060,4,1,,,4,1
20098,,,1,,1,
20118,,,3,1,3,1
20120,1,,,,1,
20146,1,,1,,2,
20171,2,1,,,2,1
20191,,,3,,3,
20210,1,,,,1,
20211,1,,,,1,
20232,,,1,,1,
20240,,,1,,1,
20283,1,,1,1,2,1
20339,,,1,,1,
20384,,,2,,2,
20397,1,1,5,3,6,4
20400,15,1,11,1,26,2
20424,1,,,,1,
20489,,,2,1,2,1
20563,1,,,,1,
20578,,,2,,2,
20602,2,,3,,5,
20606,3,1,1,,4,1
20630,,,1,,1,
20637,1,,2,,3,
20709,,,3,,3,
20719,1,1,,,1,1
20722,2,,,,2,
20731,7,5,2,,9,5
20752,,,1,,1,
20761,1,,1,,2,
20771,1,1,,,1,1
20800,,,1,,1,
20807,1,1,1,,2,1
20820,,,1,,1,
20826,,,1,,1,
20834,,,1,1,1,1
20859,1,1,,,1,1
20861,,,1,,1,
20959,1,,,,1,
20963,2,,,,2,
20965,1,,,,1,
21065,,,1,,1,
21112,,,2,,2,
21141,3,,,,3,
21156,1,1,,,1,1
21162,1,,,,1,
21166,,,2,,2,
21167,1,,,,1,
21178,,,1,,1,
21200,,,2,,2,
21209,,,1,,1,
21215,,,2,,2,
21256,,,1,,1,
21271,,,1,1,1,1
21274,1,,,,1,
21278,4,,1,,5,
21300,,,1,,1,
21380,1,,1,,2,
21386,,,9,1,9,1
21397,,,1,,1,
21413,1,,1,,2,
21490,,,4,,4,
21492,,,1,1,1,1
21496,,,1,1,1,1
21542,,,1,1,1,1
21622,,,1,,1,
21629,1,,,,1,
21660,1,,,,1,
21723,1,1,,,1,1
21730,,,1,,1,
21738,1,,,,1,
21743,,,2,,2,
21787,,,2,,2,
21792,,,2,,2,
21847,,,2,,2,
21897,,,1,,1,
21967,2,,3,,5,
22055,,,1,,1,
22099,1,,,,1,
22120,,,1,,1,
22136,1,,1,,2,
22153,1,,,,1,
22163,1,,,,1,
22182,,,1,,1,
22225,1,,,,1,
22234,,,1,1,1,1
22253,1,,,,1,
22268,1,,,,1,
22318,,,2,,2,
22321,1,,,,1,
22345,1,,,,1,
22387,,,2,,2,
22397,,,3,,3,
22435,,,3,,3,
22440,1,,,,1,
22444,,,1,,1,
22481,,,1,,1,
22493,,,1,,1,
22504,,,1,,1,
22510,,,1,,1,
22548,1,,,,1,
22564,,,1,,1,
22618,3,,1,,4,
22683,1,,,,1,
22699,2,,,,2,
22724,1,,,,1,
22730,1,,,,1,
22808,,,1,,1,
22838,1,,1,,2,
22852,1,1,,,1,1
22866,1,,,,1,
22874,,,1,,1,
22908,,,7,1,7,1
22924,,,1,,1,
22931,8,2,18,9,26,11
22938,,,29,,29,
22948,4,,1,,5,
23030,,,2,,2,
23050,1,,,,1,
23079,1,,,,1,
23092,1,,3,1,4,1
23110,,,1,,1,
23125,8,,16,,24,
23135,1,,,,1,
23216,,,1,,1,
23242,,,1,,1,
23251,1,,,,1,
23254,1,1,1,1,2,2
23271,,,1,,1,
23406,,,1,,1,
23408,,,1,,1,
23437,1,,,,1,
23578,,,1,,1,
23582,27,,30,4,57,4
23589,4,1,1,,5,1
23596,,,3,,3,
23599,,,1,1,1,1
23644,1,,,,1,
23657,,,1,,1,
23683,1,,1,,2,
23711,,,1,,1,
23716,1,,2,1,3,1
23737,,,1,,1,
23741,1,1,1,1,2,2
23760,1,,,,1,
23764,2,,1,,3,
23777,,,1,,1,
23796,,,1,,1,
23834,,,1,,1,
23869,,,1,,1,
23871,,,2,,2,
23886,1,,,,1,
23907,,,1,,1,
23915,2,,,,2,
23918,1,,,,1,
24019,7,,2,,9,
24024,2,,5,,7,
24086,3,,4,,7,
24115,,,1,,1,
24132,,,1,,1,
24151,,,1,,1,
24156,1,,,,1,
24199,1,,,,1,
24220,6,5,2,2,8,7
24252,,,1,,1,
24260,,,1,,1,
24276,,,2,,2,
24279,1,,,,1,
24294,1,,,,1,
24298,2,,,,2,
24321,2,1,3,,5,1
24346,1,,2,,3,
24392,1,,,,1,
24413,,,1,,1,
24434,1,,1,,2,
24455,1,1,1,,2,1
24487,1,,,,1,
24556,,,1,,1,
24583,1,,2,,3,
24623,,,1,,1,
24663,,,1,,1,
24674,,,1,,1,
24686,,,2,,2,
24754,16,8,4,4,20,12
24780,,,1,,1,
24797,,,1,,1,
24812,,,4,2,4,2
24823,1,,,,1,
24863,,,3,,3,
24884,1,,,,1,
24907,,,1,1,1,1
24913,2,1,,,2,1
24935,,,2,1,2,1
24951,1,,,,1,
24966,,,1,1,1,1
25001,1,,,,1,
25026,,,1,,1,
25057,,,1,,1,
25098,,,1,,1,
25191,,,1,,1,
25216,1,,,,1,
25242,,,2,,2,
25246,,,2,,2,
25252,,,1,,1,
25253,1,,,,1,
25358,,,1,,1,
25362,1,,,,1,
25400,4,,,,4,
25417,,,1,,1,
25431,1,1,,,1,1
25454,1,,,,1,
25519,1,,,,1,
25526,1,,1,,2,
25547,2,,,,2,
25575,1,1,,,1,1
25597,1,1,,,1,1
25611,,,1,,1,
25638,,,1,,1,
25701,,,2,2,2,2
25705,,,1,,1,
25752,,,2,,2,
25758,1,,1,,2,
25759,2,,2,,4,
25771,1,1,,,1,1
25849,,,1,,1,
25851,,,1,,1,
25872,1,,,,1,
25878,,,2,1,2,1
25882,7,,,,7,
25931,,,3,,3,
25941,2,,,,2,
25946,,,1,,1,
25956,,,1,,1,
25961,1,,2,,3,
25965,,,1,,1,
25972,1,,,,1,
25987,,,1,,1,
26007,3,1,,,3,1
26023,1,1,,,1,1
26029,,,1,,1,
26035,1,,,,1,
26039,2,,3,,5,
26064,2,,1,1,3,1
26121,,,1,,1,
26140,,,1,,1,
26158,,,1,,1,
26174,,,1,,1,
26177,,,1,,1,
26219,1,1,1,,2,1
26224,1,,1,,2,
26268,1,,1,,2,
26272,,,1,,1,
26274,,,1,,1,
26288,1,,,,1,
26295,,,2,,2,
26304,,,2,1,2,1
26314,2,,,,2,
26326,1,,,,1,
26376,,,1,1,1,1
26465,1,1,,,1,1
26469,1,1,1,,2,1
26478,,,12,4,12,4
26501,1,,,,1,
26521,1,,,,1,
26563,,,1,,1,
26591,2,,,,2,
26604,,,1,,1,
26609,2,1,,,2,1
26663,,,1,,1,
26675,,,1,1,1,1
26711,,,1,1,1,1
26720,,,1,,1,
26734,8,1,3,,11,1
26750,1,1,1,1,2,2
26781,1,,,,1,
26783,1,,,,1,
26946,,,1,,1,
26952,2,1,3,,5,1
26960,1,,,,1,
26974,1,,,,1,
26999,1,,,,1,
27014,,,2,,2,
27056,1,1,,,1,1
27070,,,1,1,1,1
27121,,,1,,1,
27128,,,1,,1,
27147,,,1,,1,
27230,1,,,,1,
27255,,,1,,1,
27261,,,1,,1,
27278,1,,,,1,
27290,,,2,,2,
27294,,,2,,2,
27300,,,2,,2,
27316,3,,1,,4,
27364,,,1,,1,
27394,,,1,,1,
27406,,,2,,2,
27408,1,,1,,2,
27451,,,1,,1,
27509,1,,,,1,
27516,,,1,1,1,1
27575,,,1,,1,
27605,,,1,,1,
27654,1,,1,,2,
27663,1,,,,1,
27666,1,,7,1,8,1
27722,,,3,2,3,2
27786,1,,,,1,
27793,,,1,,1,
27802,1,,,,1,
27825,1,,,,1,
27852,,,1,,1,
27855,,,2,,2,
27869,,,1,,1,
27962,,,1,,1,
27963,,,2,,2,
28007,,,5,,5,
28010,2,,,,2,
28048,2,,1,,3,
28072,,,8,1,8,1
28099,2,,1,,3,
28120,2,,,,2,
28123,,,1,1,1,1
28146,,,3,,3,
28181,,,1,,1,
28205,2,,,,2,
28222,,,1,1,1,1
28232,,,1,,1,
28291,1,,,,1,
28308,,,1,,1,
28333,11,,,,11,
28368,,,1,,1,
28381,,,2,,2,
28439,1,,,,1,
28445,1,,,,1,
28446,1,,,,1,
28458,,,1,,1,
28465,1,1,1,,2,1
28482,1,,,,1,
28489,,,1,,1,
28493,,,1,,1,
28536,,,1,,1,
28538,,,1,,1,
28602,1,,,,1,
28631,,,1,,1,
28641,,,3,,3,
28657,,,2,,2,
28680,,,1,,1,
28724,1,,,,1,
28738,,,1,,1,
28782,,,5,,5,
28814,,,1,,1,
28820,,,1,1,1,1
28833,10,2,4,,14,2
28842,,,3,,3,
28877,,,1,,1,
28929,,,2,1,2,1
28930,,,1,,1,
28948,,,1,1,1,1
28950,1,,1,,2,
29036,,,1,,1,
29063,3,,,,3,
29083,4,2,1,,5,2
29085,,,1,,1,
29097,,,2,,2,
29108,1,1,,,1,1
29135,1,,,,1,
29158,,,1,,1,
29182,,,1,,1,
29202,,,2,,2,
29229,,,2,1,2,1
29260,,,1,,1,
29309,,,1,1,1,1
29361,1,,2,,3,
29388,1,,,,1,
29399,1,,2,,3,
29412,,,1,,1,
29416,1,,1,,2,
29462,,,1,,1,
29501,1,1,,,1,1
29511,,,4,,4,
29512,1,,,,1,
29514,,,1,,1,
29542,9,,1,,10,
29544,1,1,,,1,1
29585,1,,,,1,
29604,,,1,,1,
29612,1,,,,1,
29645,1,1,,,1,1
29646,,,1,,1,
29650,,,27,7,27,7
29685,2,,1,,3,
29701,,,1,,1,
29708,,,1,,1,
29798,1,,2,,3,
29815,,,1,,1,
29838,,,1,,1,
29852,,,4,2,4,2
29919,,,1,,1,
29926,,,1,,1,
29940,,,3,,3,
29981,12,2,2,1,14,3
30034,1,,,,1,
30050,,,2,2,2,2
30137,2,,,,2,
30142,1,,5,,6,
30147,1,,,,1,
30157,1,,1,,2,
30164,,,1,1,1,1
30187,1,,,,1,
30227,,,1,,1,
30246,,,1,,1,
30261,1,,,,1,
30287,1,,,,1,
30290,,,2,,2,
30304,,,1,,1,
30333,2,,,,2,
30365,,,3,1,3,1
30384,3,2,4,2,7,4
30404,,,1,,1,
30416,1,,2,,3,
30429,1,,,,1,
30462,1,,11,,12,
30489,,,1,,1,
30490,,,1,,1,
30495,,,5,1,5,1
30511,,,1,1,1,1
30570,1,,,,1,
30581,,,1,,1,
30597,,,1,,1,
30633,,,4,,4,
30659,,,1,,1,
30671,,,1,,1,
30710,10,,2,,12,
30783,1,1,1,,2,1
30785,1,,,,1,
30795,,,1,,1,
30828,,,7,1,7,1
30846,,,1,,1,
30862,1,,1,,2,
30870,,,1,,1,
30873,1,,,,1,
30959,2,1,10,5,12,6
30977,,,1,,1,
31032,,,1,,1,
31043,1,1,,,1,1
31062,1,1,1,,2,1
31094,1,,,,1,
31114,,,2,,2,
31121,,,2,1,2,1
31125,,,1,,1,
31137,1,,,,1,
31176,1,,1,,2,
31179,,,1,,1,
31207,,,2,,2,
31255,,,1,,1,
31270,,,1,1,1,1
31306,1,,,,1,
31326,,,1,,1,
31333,2,,,,2,
31370,,,1,,1,
31398,,,1,,1,
31427,,,1,,1,
31447,1,,3,,4,
31461,1,,3,,4,
31541,2,,2,,4,
31545,,,2,1,2,1
31555,1,,,,1,
31572,5,,,,5,
31610,,,1,,1,
31637,4,,5,1,9,1
31642,1,,2,,3,
31643,1,1,,,1,1
31646,,,1,1,1,1
31653,1,,,,1,
31686,,,2,,2,
31729,2,,1,,3,
31730,,,1,,1,
31741,,,1,,1,
31756,,,1,,1,
31892,1,,1,,2,
31916,,,1,1,1,1
31946,,,1,,1,
31989,3,3,2,,5,3
32053,,,2,,2,
32055,,,1,,1,
32085,,,1,,1,
32110,,,1,,1,
32121,,,1,,1,
32186,,,1,,1,
32202,17,,11,,28,
32235,,,2,,2,
32241,1,,,,1,
32278,,,1,,1,
32311,,,1,,1,
32314,2,1,,,2,1
32351,1,,8,,9,
32498,1,,,,1,
32510,1,,1,,2,
32546,,,1,,1,
32555,1,,13,2,14,2
