EID,LAWAMOUNT,LAW_COUNT,LAW_YMONEY_COUNT,LAW_WMONEY_COUNT,LAW_AMOUNT_AVG,LAW_AMOUNT_AVG_YB,IS_YBDYWB,LAW_YB_RATE,LAW_WB_RATE,IS_EXIST_YB,IS_EXIST_WB
4672,335900,1,1,0,335900.0,335900.0,1,1.0,0.0,1,0
4794,7300,1,1,0,7300.0,7300.0,1,1.0,0.0,1,0
4921,68300,4,4,0,17075.0,17075.0,1,1.0,0.0,1,0
4952,59400,1,1,0,59400.0,59400.0,1,1.0,0.0,1,0
5046,56200,1,1,0,56200.0,56200.0,1,1.0,0.0,1,0
5113,360500,4,4,0,90125.0,90125.0,1,1.0,0.0,1,0
5176,88400,2,2,0,44200.0,44200.0,1,1.0,0.0,1,0
5407,101200,1,1,0,101200.0,101200.0,1,1.0,0.0,1,0
5600,90000,1,1,0,90000.0,90000.0,1,1.0,0.0,1,0
5618,30200,2,2,0,15100.0,15100.0,1,1.0,0.0,1,0
5631,23600,1,1,0,23600.0,23600.0,1,1.0,0.0,1,0
5642,602200,1,1,0,602200.0,602200.0,1,1.0,0.0,1,0
5865,70000,1,1,0,70000.0,70000.0,1,1.0,0.0,1,0
5969,0,1,0,1,0.0,,0,0.0,1.0,0,1
5986,2583900,5,5,0,516780.0,516780.0,1,1.0,0.0,1,0
6247,14000,1,1,0,14000.0,14000.0,1,1.0,0.0,1,0
6281,30600,3,3,0,10200.0,10200.0,1,1.0,0.0,1,0
6455,172400,1,1,0,172400.0,172400.0,1,1.0,0.0,1,0
6525,342600,1,1,0,342600.0,342600.0,1,1.0,0.0,1,0
6540,49200,3,3,0,16400.0,16400.0,1,1.0,0.0,1,0
6591,45000,1,1,0,45000.0,45000.0,1,1.0,0.0,1,0
6692,626700,1,1,0,626700.0,626700.0,1,1.0,0.0,1,0
6694,3000,1,1,0,3000.0,3000.0,1,1.0,0.0,1,0
6720,15000,1,1,0,15000.0,15000.0,1,1.0,0.0,1,0
6758,13233000,3,3,0,4411000.0,4411000.0,1,1.0,0.0,1,0
7154,7232100,3,3,0,2410700.0,2410700.0,1,1.0,0.0,1,0
7226,2783700,9,4,5,309300.0,695925.0,0,0.4444444444444444,0.5555555555555556,1,1
7339,19200,1,1,0,19200.0,19200.0,1,1.0,0.0,1,0
7421,279000,2,2,0,139500.0,139500.0,1,1.0,0.0,1,0
7544,1654300,3,3,0,551433.3333333334,551433.3333333334,1,1.0,0.0,1,0
7668,45900,1,1,0,45900.0,45900.0,1,1.0,0.0,1,0
7819,67800,2,2,0,33900.0,33900.0,1,1.0,0.0,1,0
8147,710000,1,1,0,710000.0,710000.0,1,1.0,0.0,1,0
8250,1310000,2,2,0,655000.0,655000.0,1,1.0,0.0,1,0
8276,112400,1,1,0,112400.0,112400.0,1,1.0,0.0,1,0
8717,0,1,0,1,0.0,,0,0.0,1.0,0,1
8889,200000,2,2,0,100000.0,100000.0,1,1.0,0.0,1,0
8964,131300,4,4,0,32825.0,32825.0,1,1.0,0.0,1,0
9324,23924300,20,4,16,1196215.0,5981075.0,0,0.2,0.8,1,1
9734,1472600,12,12,0,122716.66666666667,122716.66666666667,1,1.0,0.0,1,0
9849,8401100,10,5,5,840110.0,1680220.0,0,0.5,0.5,1,1
10292,610200,8,7,1,76275.0,87171.42857142857,1,0.875,0.125,1,1
10303,72400,3,3,0,24133.333333333332,24133.333333333332,1,1.0,0.0,1,0
10450,8500,1,1,0,8500.0,8500.0,1,1.0,0.0,1,0
10644,90000,1,1,0,90000.0,90000.0,1,1.0,0.0,1,0
10695,670400,1,1,0,670400.0,670400.0,1,1.0,0.0,1,0
10751,258500,2,1,1,129250.0,258500.0,0,0.5,0.5,1,1
10828,59400,1,1,0,59400.0,59400.0,1,1.0,0.0,1,0
10917,8549900,15,15,0,569993.3333333334,569993.3333333334,1,1.0,0.0,1,0
10961,153300,3,3,0,51100.0,51100.0,1,1.0,0.0,1,0
11029,454800,3,3,0,151600.0,151600.0,1,1.0,0.0,1,0
11072,0,1,0,1,0.0,,0,0.0,1.0,0,1
11120,12800,2,2,0,6400.0,6400.0,1,1.0,0.0,1,0
11175,880900,1,1,0,880900.0,880900.0,1,1.0,0.0,1,0
11285,2265300,1,1,0,2265300.0,2265300.0,1,1.0,0.0,1,0
11291,3100,1,1,0,3100.0,3100.0,1,1.0,0.0,1,0
11305,446200,5,5,0,89240.0,89240.0,1,1.0,0.0,1,0
11399,30700,4,4,0,7675.0,7675.0,1,1.0,0.0,1,0
11659,144100,1,1,0,144100.0,144100.0,1,1.0,0.0,1,0
11798,21800,3,3,0,7266.666666666667,7266.666666666667,1,1.0,0.0,1,0
11848,53600,9,9,0,5955.555555555556,5955.555555555556,1,1.0,0.0,1,0
11928,6000,1,1,0,6000.0,6000.0,1,1.0,0.0,1,0
12073,137100,5,5,0,27420.0,27420.0,1,1.0,0.0,1,0
12098,63200,2,2,0,31600.0,31600.0,1,1.0,0.0,1,0
12127,21000,4,4,0,5250.0,5250.0,1,1.0,0.0,1,0
12130,949800,2,2,0,474900.0,474900.0,1,1.0,0.0,1,0
12168,82200,2,2,0,41100.0,41100.0,1,1.0,0.0,1,0
12173,901900,1,1,0,901900.0,901900.0,1,1.0,0.0,1,0
12255,129000,4,4,0,32250.0,32250.0,1,1.0,0.0,1,0
12278,80000,1,1,0,80000.0,80000.0,1,1.0,0.0,1,0
12322,500,1,1,0,500.0,500.0,1,1.0,0.0,1,0
12515,928300,1,1,0,928300.0,928300.0,1,1.0,0.0,1,0
12660,0,1,0,1,0.0,,0,0.0,1.0,0,1
12845,6335400,3,3,0,2111800.0,2111800.0,1,1.0,0.0,1,0
12883,86700,1,1,0,86700.0,86700.0,1,1.0,0.0,1,0
12924,0,1,0,1,0.0,,0,0.0,1.0,0,1
13187,239600,1,1,0,239600.0,239600.0,1,1.0,0.0,1,0
13196,50400,3,3,0,16800.0,16800.0,1,1.0,0.0,1,0
13235,54200,2,2,0,27100.0,27100.0,1,1.0,0.0,1,0
13339,800,1,1,0,800.0,800.0,1,1.0,0.0,1,0
13431,239600,3,3,0,79866.66666666667,79866.66666666667,1,1.0,0.0,1,0
13487,18786000,8,6,2,2348250.0,3131000.0,1,0.75,0.25,1,1
13566,6063600,2,2,0,3031800.0,3031800.0,1,1.0,0.0,1,0
13853,56000,2,2,0,28000.0,28000.0,1,1.0,0.0,1,0
13976,209300,4,4,0,52325.0,52325.0,1,1.0,0.0,1,0
14078,1736000,2,2,0,868000.0,868000.0,1,1.0,0.0,1,0
14404,67476600,14,14,0,4819757.142857143,4819757.142857143,1,1.0,0.0,1,0
14523,670800,6,5,1,111800.0,134160.0,1,0.8333333333333334,0.16666666666666666,1,1
14804,576800,2,2,0,288400.0,288400.0,1,1.0,0.0,1,0
14908,32300,1,1,0,32300.0,32300.0,1,1.0,0.0,1,0
14959,9117000,3,3,0,3039000.0,3039000.0,1,1.0,0.0,1,0
15057,29400,3,3,0,9800.0,9800.0,1,1.0,0.0,1,0
15074,31200,3,3,0,10400.0,10400.0,1,1.0,0.0,1,0
15447,13400,2,2,0,6700.0,6700.0,1,1.0,0.0,1,0
15583,4917200,2,2,0,2458600.0,2458600.0,1,1.0,0.0,1,0
15733,345100,5,5,0,69020.0,69020.0,1,1.0,0.0,1,0
15759,1101100,5,5,0,220220.0,220220.0,1,1.0,0.0,1,0
16035,8686900,1,1,0,8686900.0,8686900.0,1,1.0,0.0,1,0
16103,404600,2,2,0,202300.0,202300.0,1,1.0,0.0,1,0
16185,69200,2,2,0,34600.0,34600.0,1,1.0,0.0,1,0
16192,556300,1,1,0,556300.0,556300.0,1,1.0,0.0,1,0
16284,58100,2,2,0,29050.0,29050.0,1,1.0,0.0,1,0
16289,61500,3,3,0,20500.0,20500.0,1,1.0,0.0,1,0
16345,11000,2,2,0,5500.0,5500.0,1,1.0,0.0,1,0
16453,15200,5,5,0,3040.0,3040.0,1,1.0,0.0,1,0
16494,500,1,1,0,500.0,500.0,1,1.0,0.0,1,0
16510,2160600,3,3,0,720200.0,720200.0,1,1.0,0.0,1,0
16523,514100,1,1,0,514100.0,514100.0,1,1.0,0.0,1,0
17131,186000,1,1,0,186000.0,186000.0,1,1.0,0.0,1,0
17154,120600,2,2,0,60300.0,60300.0,1,1.0,0.0,1,0
17167,5064600,3,3,0,1688200.0,1688200.0,1,1.0,0.0,1,0
17297,4200,1,1,0,4200.0,4200.0,1,1.0,0.0,1,0
17358,22600,2,2,0,11300.0,11300.0,1,1.0,0.0,1,0
17376,135600,2,2,0,67800.0,67800.0,1,1.0,0.0,1,0
17607,16200,1,1,0,16200.0,16200.0,1,1.0,0.0,1,0
17641,801400,60,60,0,13356.666666666666,13356.666666666666,1,1.0,0.0,1,0
17709,1793000,2,2,0,896500.0,896500.0,1,1.0,0.0,1,0
17860,177900,3,3,0,59300.0,59300.0,1,1.0,0.0,1,0
17866,258000,1,1,0,258000.0,258000.0,1,1.0,0.0,1,0
17922,333000,2,1,1,166500.0,333000.0,0,0.5,0.5,1,1
17998,1163800,3,3,0,387933.3333333333,387933.3333333333,1,1.0,0.0,1,0
18124,185300,1,1,0,185300.0,185300.0,1,1.0,0.0,1,0
18246,28800,4,4,0,7200.0,7200.0,1,1.0,0.0,1,0
18282,40000,2,2,0,20000.0,20000.0,1,1.0,0.0,1,0
18743,28600,3,3,0,9533.333333333334,9533.333333333334,1,1.0,0.0,1,0
18781,363000,3,3,0,121000.0,121000.0,1,1.0,0.0,1,0
18909,33900,3,3,0,11300.0,11300.0,1,1.0,0.0,1,0
18937,183400,8,8,0,22925.0,22925.0,1,1.0,0.0,1,0
19096,24200,4,2,2,6050.0,12100.0,0,0.5,0.5,1,1
19112,221900,2,2,0,110950.0,110950.0,1,1.0,0.0,1,0
19225,4082400,3,3,0,1360800.0,1360800.0,1,1.0,0.0,1,0
19238,44400,5,5,0,8880.0,8880.0,1,1.0,0.0,1,0
19284,4500,1,1,0,4500.0,4500.0,1,1.0,0.0,1,0
19309,313800,3,3,0,104600.0,104600.0,1,1.0,0.0,1,0
19383,872300,1,1,0,872300.0,872300.0,1,1.0,0.0,1,0
19388,5400,1,1,0,5400.0,5400.0,1,1.0,0.0,1,0
19463,305000,2,2,0,152500.0,152500.0,1,1.0,0.0,1,0
19611,2069600,1,1,0,2069600.0,2069600.0,1,1.0,0.0,1,0
19744,172200,2,2,0,86100.0,86100.0,1,1.0,0.0,1,0
19807,7000,1,1,0,7000.0,7000.0,1,1.0,0.0,1,0
19837,68200,2,2,0,34100.0,34100.0,1,1.0,0.0,1,0
19890,31120000,6,6,0,5186666.666666667,5186666.666666667,1,1.0,0.0,1,0
20079,13600,2,2,0,6800.0,6800.0,1,1.0,0.0,1,0
20476,15100,1,1,0,15100.0,15100.0,1,1.0,0.0,1,0
20490,0,1,0,1,0.0,,0,0.0,1.0,0,1
20724,18054900,3,3,0,6018300.0,6018300.0,1,1.0,0.0,1,0
20747,42800,2,2,0,21400.0,21400.0,1,1.0,0.0,1,0
20752,12800,1,1,0,12800.0,12800.0,1,1.0,0.0,1,0
20811,24200,1,1,0,24200.0,24200.0,1,1.0,0.0,1,0
20866,551200,2,2,0,275600.0,275600.0,1,1.0,0.0,1,0
20867,6000,2,2,0,3000.0,3000.0,1,1.0,0.0,1,0
20895,69200,3,3,0,23066.666666666668,23066.666666666668,1,1.0,0.0,1,0
20975,54800,2,2,0,27400.0,27400.0,1,1.0,0.0,1,0
21033,12600,1,1,0,12600.0,12600.0,1,1.0,0.0,1,0
21200,2100,1,1,0,2100.0,2100.0,1,1.0,0.0,1,0
21269,1798800,4,4,0,449700.0,449700.0,1,1.0,0.0,1,0
21391,3186300,1,1,0,3186300.0,3186300.0,1,1.0,0.0,1,0
21397,293500,2,2,0,146750.0,146750.0,1,1.0,0.0,1,0
21651,556600,3,3,0,185533.33333333334,185533.33333333334,1,1.0,0.0,1,0
21743,13300,1,1,0,13300.0,13300.0,1,1.0,0.0,1,0
21847,22000,1,1,0,22000.0,22000.0,1,1.0,0.0,1,0
21851,39600,2,2,0,19800.0,19800.0,1,1.0,0.0,1,0
21987,396400,2,2,0,198200.0,198200.0,1,1.0,0.0,1,0
22008,94200,3,3,0,31400.0,31400.0,1,1.0,0.0,1,0
22020,448300,3,3,0,149433.33333333334,149433.33333333334,1,1.0,0.0,1,0
22048,277700,1,1,0,277700.0,277700.0,1,1.0,0.0,1,0
22225,200,1,1,0,200.0,200.0,1,1.0,0.0,1,0
22341,2238200,1,1,0,2238200.0,2238200.0,1,1.0,0.0,1,0
22541,663300,9,9,0,73700.0,73700.0,1,1.0,0.0,1,0
22781,207900,5,5,0,41580.0,41580.0,1,1.0,0.0,1,0
22981,596900,5,4,1,119380.0,149225.0,1,0.8,0.2,1,1
23309,24400,2,2,0,12200.0,12200.0,1,1.0,0.0,1,0
23315,262200,2,2,0,131100.0,131100.0,1,1.0,0.0,1,0
23470,2138400,5,5,0,427680.0,427680.0,1,1.0,0.0,1,0
23474,5000,1,1,0,5000.0,5000.0,1,1.0,0.0,1,0
23582,0,1,0,1,0.0,,0,0.0,1.0,0,1
23689,74200,1,1,0,74200.0,74200.0,1,1.0,0.0,1,0
23716,11447200,1,1,0,11447200.0,11447200.0,1,1.0,0.0,1,0
23742,3400,1,1,0,3400.0,3400.0,1,1.0,0.0,1,0
23768,1908600,14,14,0,136328.57142857142,136328.57142857142,1,1.0,0.0,1,0
23918,212400,2,2,0,106200.0,106200.0,1,1.0,0.0,1,0
24132,433600,4,4,0,108400.0,108400.0,1,1.0,0.0,1,0
24205,60200,2,2,0,30100.0,30100.0,1,1.0,0.0,1,0
24274,469900,2,2,0,234950.0,234950.0,1,1.0,0.0,1,0
24321,174800,2,2,0,87400.0,87400.0,1,1.0,0.0,1,0
24401,30814700,1,1,0,30814700.0,30814700.0,1,1.0,0.0,1,0
24491,40000,2,2,0,20000.0,20000.0,1,1.0,0.0,1,0
24691,77100,2,2,0,38550.0,38550.0,1,1.0,0.0,1,0
24812,62500,5,5,0,12500.0,12500.0,1,1.0,0.0,1,0
24823,741600,2,2,0,370800.0,370800.0,1,1.0,0.0,1,0
24827,351300,1,1,0,351300.0,351300.0,1,1.0,0.0,1,0
24839,17000,3,3,0,5666.666666666667,5666.666666666667,1,1.0,0.0,1,0
24935,44761900,599,598,1,74727.71285475793,74852.67558528428,1,0.998330550918197,0.001669449081803005,1,1
25038,45000,1,1,0,45000.0,45000.0,1,1.0,0.0,1,0
25058,1378000,5,5,0,275600.0,275600.0,1,1.0,0.0,1,0
25098,9000,1,1,0,9000.0,9000.0,1,1.0,0.0,1,0
25103,19100,1,1,0,19100.0,19100.0,1,1.0,0.0,1,0
25515,39700,1,1,0,39700.0,39700.0,1,1.0,0.0,1,0
25752,10400,2,2,0,5200.0,5200.0,1,1.0,0.0,1,0
25906,84000,1,1,0,84000.0,84000.0,1,1.0,0.0,1,0
25952,2452700,1,1,0,2452700.0,2452700.0,1,1.0,0.0,1,0
25965,17914000,1,1,0,17914000.0,17914000.0,1,1.0,0.0,1,0
26187,24212800,3,3,0,8070933.333333333,8070933.333333333,1,1.0,0.0,1,0
26189,0,2,0,2,0.0,,0,0.0,1.0,0,1
26304,4500,1,1,0,4500.0,4500.0,1,1.0,0.0,1,0
26346,1000,1,1,0,1000.0,1000.0,1,1.0,0.0,1,0
26348,10000,1,1,0,10000.0,10000.0,1,1.0,0.0,1,0
26459,83700,3,3,0,27900.0,27900.0,1,1.0,0.0,1,0
26517,609000,6,6,0,101500.0,101500.0,1,1.0,0.0,1,0
26642,187700,1,1,0,187700.0,187700.0,1,1.0,0.0,1,0
26743,2433400,2,2,0,1216700.0,1216700.0,1,1.0,0.0,1,0
26844,214200,2,2,0,107100.0,107100.0,1,1.0,0.0,1,0
26860,255100,1,1,0,255100.0,255100.0,1,1.0,0.0,1,0
27004,13100,1,1,0,13100.0,13100.0,1,1.0,0.0,1,0
27029,659100,4,4,0,164775.0,164775.0,1,1.0,0.0,1,0
27163,6300,1,1,0,6300.0,6300.0,1,1.0,0.0,1,0
27207,19100,1,1,0,19100.0,19100.0,1,1.0,0.0,1,0
27214,0,3,0,3,0.0,,0,0.0,1.0,0,1
27372,20800,1,1,0,20800.0,20800.0,1,1.0,0.0,1,0
27497,341500,2,1,1,170750.0,341500.0,0,0.5,0.5,1,1
27807,5600,2,2,0,2800.0,2800.0,1,1.0,0.0,1,0
27864,605500,19,19,0,31868.42105263158,31868.42105263158,1,1.0,0.0,1,0
27999,10000,1,1,0,10000.0,10000.0,1,1.0,0.0,1,0
28103,30600,1,1,0,30600.0,30600.0,1,1.0,0.0,1,0
28123,227800,1,1,0,227800.0,227800.0,1,1.0,0.0,1,0
28197,25000,1,1,0,25000.0,25000.0,1,1.0,0.0,1,0
28204,33600,4,4,0,8400.0,8400.0,1,1.0,0.0,1,0
28368,1555700,3,3,0,518566.6666666667,518566.6666666667,1,1.0,0.0,1,0
28446,1432600,8,8,0,179075.0,179075.0,1,1.0,0.0,1,0
28471,166400,2,2,0,83200.0,83200.0,1,1.0,0.0,1,0
28600,16955400,3,3,0,5651800.0,5651800.0,1,1.0,0.0,1,0
28724,137000,5,5,0,27400.0,27400.0,1,1.0,0.0,1,0
28744,716700,1,1,0,716700.0,716700.0,1,1.0,0.0,1,0
28754,16040400,4,4,0,4010100.0,4010100.0,1,1.0,0.0,1,0
28782,6425600,8,8,0,803200.0,803200.0,1,1.0,0.0,1,0
28833,68169900,519,501,18,131348.5549132948,136067.66467065868,1,0.9653179190751445,0.03468208092485549,1,1
29041,2362100,8,7,1,295262.5,337442.85714285716,1,0.875,0.125,1,1
29114,8600,1,1,0,8600.0,8600.0,1,1.0,0.0,1,0
29135,8000,2,1,1,4000.0,8000.0,0,0.5,0.5,1,1
29138,227100,4,4,0,56775.0,56775.0,1,1.0,0.0,1,0
29177,260400,2,2,0,130200.0,130200.0,1,1.0,0.0,1,0
29240,177500,3,2,1,59166.666666666664,88750.0,1,0.6666666666666666,0.3333333333333333,1,1
29272,227000,5,5,0,45400.0,45400.0,1,1.0,0.0,1,0
29343,8500,3,3,0,2833.3333333333335,2833.3333333333335,1,1.0,0.0,1,0
29399,5681600,9,9,0,631288.8888888889,631288.8888888889,1,1.0,0.0,1,0
29438,60000,3,3,0,20000.0,20000.0,1,1.0,0.0,1,0
29470,7000,2,2,0,3500.0,3500.0,1,1.0,0.0,1,0
29512,14400,3,3,0,4800.0,4800.0,1,1.0,0.0,1,0
29544,118200,23,23,0,5139.130434782609,5139.130434782609,1,1.0,0.0,1,0
29604,13610700,45,32,13,302460.0,425334.375,1,0.7111111111111111,0.28888888888888886,1,1
29650,0,4,0,4,0.0,,0,0.0,1.0,0,1
29966,87000,1,1,0,87000.0,87000.0,1,1.0,0.0,1,0
30022,26400,1,1,0,26400.0,26400.0,1,1.0,0.0,1,0
30023,51200,3,3,0,17066.666666666668,17066.666666666668,1,1.0,0.0,1,0
30056,10200,2,2,0,5100.0,5100.0,1,1.0,0.0,1,0
30150,341400,1,1,0,341400.0,341400.0,1,1.0,0.0,1,0
30283,1974100,6,6,0,329016.6666666667,329016.6666666667,1,1.0,0.0,1,0
30294,1920000,2,2,0,960000.0,960000.0,1,1.0,0.0,1,0
30365,18736400,8,8,0,2342050.0,2342050.0,1,1.0,0.0,1,0
30452,9500,1,1,0,9500.0,9500.0,1,1.0,0.0,1,0
30460,15000,2,1,1,7500.0,15000.0,0,0.5,0.5,1,1
30495,2005700,1,1,0,2005700.0,2005700.0,1,1.0,0.0,1,0
30680,203900,8,8,0,25487.5,25487.5,1,1.0,0.0,1,0
30792,283300,1,1,0,283300.0,283300.0,1,1.0,0.0,1,0
30862,19596700,15,15,0,1306446.6666666667,1306446.6666666667,1,1.0,0.0,1,0
30960,23400,1,1,0,23400.0,23400.0,1,1.0,0.0,1,0
31078,404100,6,6,0,67350.0,67350.0,1,1.0,0.0,1,0
31275,755600,21,21,0,35980.95238095238,35980.95238095238,1,1.0,0.0,1,0
31401,536500,1,1,0,536500.0,536500.0,1,1.0,0.0,1,0
31427,1098100,4,2,2,274525.0,549050.0,0,0.5,0.5,1,1
31513,7318400,1,1,0,7318400.0,7318400.0,1,1.0,0.0,1,0
31614,2028800,2,2,0,1014400.0,1014400.0,1,1.0,0.0,1,0
31721,78800,2,2,0,39400.0,39400.0,1,1.0,0.0,1,0
31797,12000,1,1,0,12000.0,12000.0,1,1.0,0.0,1,0
31888,37700,2,2,0,18850.0,18850.0,1,1.0,0.0,1,0
31905,97142400,4,4,0,24285600.0,24285600.0,1,1.0,0.0,1,0
32299,484000,2,2,0,242000.0,242000.0,1,1.0,0.0,1,0
32352,10100,4,3,1,2525.0,3366.6666666666665,1,0.75,0.25,1,1
32476,123200,1,1,0,123200.0,123200.0,1,1.0,0.0,1,0
32496,9300,1,1,0,9300.0,9300.0,1,1.0,0.0,1,0
32572,128800,6,6,0,21466.666666666668,21466.666666666668,1,1.0,0.0,1,0
32877,7500,1,1,0,7500.0,7500.0,1,1.0,0.0,1,0
32893,540200,2,2,0,270100.0,270100.0,1,1.0,0.0,1,0
32939,2400,1,1,0,2400.0,2400.0,1,1.0,0.0,1,0
33005,28600,2,2,0,14300.0,14300.0,1,1.0,0.0,1,0
33036,21100,1,1,0,21100.0,21100.0,1,1.0,0.0,1,0
33258,50889800,2,2,0,25444900.0,25444900.0,1,1.0,0.0,1,0
33285,105800,1,1,0,105800.0,105800.0,1,1.0,0.0,1,0
33409,426800,1,1,0,426800.0,426800.0,1,1.0,0.0,1,0
33412,4839600,4,4,0,1209900.0,1209900.0,1,1.0,0.0,1,0
33469,362200,67,67,0,5405.9701492537315,5405.9701492537315,1,1.0,0.0,1,0
33550,389200,1,1,0,389200.0,389200.0,1,1.0,0.0,1,0
33569,70000,1,1,0,70000.0,70000.0,1,1.0,0.0,1,0
33606,874200,3,2,1,291400.0,437100.0,1,0.6666666666666666,0.3333333333333333,1,1
33640,215800,2,1,1,107900.0,215800.0,0,0.5,0.5,1,1
33746,2600,1,1,0,2600.0,2600.0,1,1.0,0.0,1,0
33770,10000,1,1,0,10000.0,10000.0,1,1.0,0.0,1,0
33950,422200,3,3,0,140733.33333333334,140733.33333333334,1,1.0,0.0,1,0
34059,17900,5,5,0,3580.0,3580.0,1,1.0,0.0,1,0
34077,54200,3,3,0,18066.666666666668,18066.666666666668,1,1.0,0.0,1,0
34083,384300,3,3,0,128100.0,128100.0,1,1.0,0.0,1,0
34126,1000000,1,1,0,1000000.0,1000000.0,1,1.0,0.0,1,0
34150,7600,4,4,0,1900.0,1900.0,1,1.0,0.0,1,0
34321,20000,1,1,0,20000.0,20000.0,1,1.0,0.0,1,0
34333,0,3,0,3,0.0,,0,0.0,1.0,0,1
34377,494600,1,1,0,494600.0,494600.0,1,1.0,0.0,1,0
34469,3570900,2,2,0,1785450.0,1785450.0,1,1.0,0.0,1,0
34546,77900,3,3,0,25966.666666666668,25966.666666666668,1,1.0,0.0,1,0
34554,24600,1,1,0,24600.0,24600.0,1,1.0,0.0,1,0
34609,17800,1,1,0,17800.0,17800.0,1,1.0,0.0,1,0
34895,1500,1,1,0,1500.0,1500.0,1,1.0,0.0,1,0
34924,2200,1,1,0,2200.0,2200.0,1,1.0,0.0,1,0
34957,285400,33,33,0,8648.484848484848,8648.484848484848,1,1.0,0.0,1,0
34979,3400,2,2,0,1700.0,1700.0,1,1.0,0.0,1,0
35018,0,1,0,1,0.0,,0,0.0,1.0,0,1
35077,125700,1,1,0,125700.0,125700.0,1,1.0,0.0,1,0
