EID,TARGET
2336,0
2338,0
2340,0
2343,0
2347,0
2348,0
2349,1
2355,0
2359,0
2365,1
2373,0
2375,0
2377,0
2378,0
2380,0
2386,1
2390,0
2391,0
2392,0
2395,1
2397,0
2398,0
2403,0
2405,0
2412,0
2419,0
2425,1
2435,1
2437,0
2439,0
2441,0
2445,0
2447,0
2455,0
2459,0
2461,0
2463,1
2468,0
2471,1
2472,0
2473,0
2474,0
2475,0
2480,0
2484,0
2485,0
2497,0
2504,0
2505,1
2509,0
2518,0
2520,0
2521,0
2522,0
2532,0
2540,0
2542,0
2543,1
2549,1
2559,0
2565,1
2568,0
2572,0
2575,0
2578,0
2581,1
2582,0
2588,0
2589,0
2591,1
2597,0
2598,0
2599,0
2601,0
2604,0
2605,0
2609,1
2613,0
2614,0
2618,0
2621,0
2622,0
2624,0
2625,0
2626,0
2629,0
2630,0
2634,0
2637,0
2643,0
2648,0
2655,0
2656,0
2658,0
2660,0
2664,0
2667,0
2673,0
2679,0
2680,0
2683,0
2686,0
2689,0
2690,0
2696,0
2705,0
2706,0
2708,1
2711,0
2716,0
2721,0
2723,0
2729,0
2731,1
2732,0
2733,0
2735,0
2736,0
2740,0
2745,0
2746,1
2749,0
2750,0
2756,1
2759,1
2760,0
2763,0
2764,1
2768,0
2773,0
2776,0
2779,1
2781,0
2782,1
2783,0
2793,1
2797,0
2798,0
2802,1
2805,0
2809,0
2814,0
2819,0
2822,0
2827,1
2835,1
2837,0
2843,0
2845,0
2849,0
2851,0
2857,0
2858,0
2859,0
2863,0
2870,1
2873,0
2879,0
2882,0
2883,0
2887,1
2888,0
2889,0
2890,0
2891,0
2892,0
2893,0
2897,1
2898,0
2904,0
2906,0
2912,0
2915,0
2916,0
2917,0
2919,1
2920,0
2922,0
2925,1
2929,0
2933,0
2940,0
2941,0
2944,0
2950,0
2951,0
2954,0
2956,0
2967,0
2968,0
2969,1
2970,0
2978,0
2979,1
2980,1
2985,0
2989,0
2991,0
2994,0
2995,0
2998,0
2999,0
3000,0
3012,0
3015,0
3021,1
3024,0
3027,0
3028,1
3032,0
3040,0
3041,0
3043,0
3050,1
3052,0
3053,0
3054,0
3055,0
3059,0
3064,0
3066,0
3068,0
3071,0
3075,0
3080,0
3082,0
3089,0
3102,0
3105,0
3109,0
3111,0
3113,0
3122,0
3123,1
3130,0
3134,0
3137,0
3142,0
3144,0
3147,0
3149,0
3154,0
3156,0
3160,0
3163,0
3174,1
3177,0
3180,0
3186,1
3192,0
3195,1
3196,0
3201,0
3205,0
3212,1
3213,0
3218,0
3219,0
3226,0
3230,0
3239,1
3242,0
3244,0
3247,0
3250,0
3255,0
3258,0
3260,0
3274,0
3281,0
3283,0
3291,0
3292,0
3296,0
3299,0
3300,0
3301,0
3304,0
3306,0
3307,0
3309,0
3310,1
3311,1
3312,0
3316,0
3317,0
3318,0
3320,0
3324,0
3326,1
3332,1
3335,1
3336,0
3340,0
3342,0
3343,1
3346,0
3353,0
3355,0
3358,1
3360,0
3361,0
3363,0
3367,0
3375,0
3381,0
3382,0
3383,0
3385,0
3392,0
3393,0
3397,1
3401,0
3402,0
3409,1
3413,0
3417,0
3421,0
3422,0
3423,0
3424,0
3431,0
3438,0
3443,0
3444,0
3446,1
3449,0
3453,0
3454,1
3460,0
3461,0
3462,0
3463,0
3464,0
3466,0
3467,0
3468,0
3477,0
3480,1
3487,0
3488,0
3495,0
3497,0
3501,0
3503,0
3504,0
3510,0
3514,0
3515,0
3519,0
3524,0
3525,0
3526,0
3527,1
3529,0
3534,0
3536,0
3537,1
3543,1
3546,0
3547,0
3550,0
3551,1
3553,0
3557,0
3558,0
3561,0
3562,0
3578,0
3580,1
3583,1
3585,0
3586,0
3590,0
3599,0
3603,1
3609,0
3614,0
3620,0
3624,0
3628,0
3631,1
3634,0
3636,1
3639,0
3642,0
3652,0
3666,1
3667,0
3674,1
3682,0
3690,0
3702,0
3704,0
3705,0
3706,0
3707,1
3711,0
3713,0
3723,0
3725,1
3729,0
3731,1
3738,0
3740,0
3743,0
3746,0
3748,0
3751,1
3752,0
3756,0
3759,0
3760,1
3761,0
3764,0
3772,0
3774,0
3780,0
3787,0
3794,0
3796,0
3804,0
3819,0
3820,0
3824,0
3826,1
3829,0
3833,0
3835,1
3836,0
3837,0
3846,0
3850,0
3851,1
3852,0
3854,0
3856,0
3860,0
3867,1
3868,0
3870,0
3876,0
3877,1
3882,1
3886,0
3888,0
3889,0
3893,0
3894,1
3897,1
3899,0
3900,0
3913,0
3918,1
3920,0
3924,0
3930,0
3946,0
3951,0
3953,1
3957,1
3960,0
3962,1
3963,1
3964,0
3967,0
3970,0
3973,0
3974,0
3976,0
3977,0
3978,1
3980,0
3981,0
3983,0
3986,0
3987,0
4004,0
4006,1
4009,1
4011,0
4012,0
4014,0
4015,0
4016,0
4021,0
4028,0
4031,1
4040,0
4041,0
4043,1
4045,0
4046,0
4047,0
4053,1
4056,1
4057,0
4063,0
4072,0
4075,0
4077,0
4081,0
4089,0
4091,0
4095,0
4098,0
4100,1
4101,0
4102,0
4108,0
4110,0
4113,0
4114,0
4118,0
4120,1
4125,0
4132,0
4135,1
4144,0
4146,0
4148,0
4154,0
4157,0
4159,0
4164,0
4165,0
4168,0
4169,0
4173,0
4174,0
4176,0
4179,0
4193,0
4196,0
4198,1
4199,0
4200,0
4201,0
4209,0
4217,1
4218,0
4221,0
4224,0
4225,0
4228,0
4233,0
4234,0
4246,1
4253,0
4254,0
4261,0
4263,0
4268,0
4269,1
4274,0
4276,0
4290,0
4291,0
4292,1
4298,0
4305,0
4308,0
4310,0
4312,1
4314,0
4316,0
4320,0
4326,0
4328,1
4332,0
4333,0
4334,0
4338,0
4339,0
4341,1
4343,0
4345,0
4350,0
4357,0
4358,0
4363,1
4364,1
4369,0
4370,0
4373,0
4377,1
4381,1
4384,0
4386,0
4387,0
4396,0
4397,0
4399,0
4407,0
4411,0
4417,0
4418,0
4428,1
4434,0
4435,0
4438,0
4441,1
4442,0
4444,0
4451,0
4458,0
4462,0
4466,1
4467,0
4468,0
4479,1
4481,0
4486,0
4489,0
4490,0
4491,0
4497,0
4503,0
4505,1
4511,0
4515,0
4517,0
4520,1
4524,0
4530,0
4533,0
4541,0
4545,0
4548,0
4554,0
4565,0
4569,0
4576,1
4581,0
4582,0
4583,0
4591,0
4593,0
4595,0
4597,0
4598,0
4599,0
4601,0
4603,0
4606,0
4607,0
4614,0
4626,0
4630,0
4633,0
4637,0
4639,0
4641,0
4647,0
4650,0
4653,0
4654,1
4656,0
4657,0
4664,0
4665,0
4666,0
4669,1
4674,0
4675,0
4681,0
4683,0
4684,0
4685,0
4689,1
4690,0
4691,0
4693,1
4699,0
4701,0
4702,0
4709,0
4712,0
4714,0
4719,0
4721,0
4722,0
4723,0
4724,0
4729,1
4730,0
4738,0
4739,0
4744,0
4746,0
4751,1
4754,1
4756,0
4758,1
4761,0
4762,1
4765,0
4769,0
4772,1
4775,1
4777,1
4778,0
4783,0
4796,0
4798,0
4801,1
4804,0
4811,0
4813,0
4814,0
4818,0
4827,0
4828,0
4836,0
4837,0
4838,0
4840,0
4841,0
4847,0
4848,0
4850,0
4852,0
4855,0
4856,0
4863,1
4868,0
4869,0
4873,0
4874,0
4875,0
4877,0
4879,0
4880,0
4889,0
4892,0
4902,0
4903,0
4905,1
4908,0
4912,0
4914,0
4918,0
4923,0
4924,0
4925,0
4926,0
4929,0
4930,0
4931,1
4938,0
4939,0
4942,0
4947,1
4950,0
4952,0
4953,0
4957,1
4959,0
4960,1
4966,0
4967,0
4970,0
4974,0
4976,0
4978,0
4981,0
4993,1
4996,0
4997,1
4998,0
5000,1
5003,1
5004,0
5009,0
5010,0
5017,0
5025,1
5026,0
5030,1
5032,0
5037,0
5046,0
5050,0
5051,0
5057,0
5064,1
5069,0
5073,0
5077,0
5083,0
5089,0
5092,0
5098,0
5103,0
5104,0
5106,0
5114,0
5121,0
5122,0
5125,0
5126,0
5127,1
5128,0
5131,0
5135,0
5136,0
5138,1
5140,0
5142,0
5144,0
5145,0
5146,1
5147,1
5151,0
5161,0
5165,1
5167,1
5175,0
5177,0
5182,0
5183,0
5187,0
5189,0
5190,0
5195,0
5196,0
5198,0
5200,1
5206,0
5227,0
5231,0
5238,1
5242,0
5251,0
5252,0
5254,0
5257,0
5260,1
5263,0
5264,0
5266,1
5270,0
5271,1
5275,1
5276,0
5277,0
5280,0
5282,0
5283,0
5289,0
5292,0
5293,0
5295,0
5297,0
5303,0
5305,0
5310,0
5314,0
5316,0
5321,0
5323,0
5329,0
5331,0
5341,0
5342,1
5343,0
5346,0
5350,0
5356,0
5362,0
5363,0
5370,1
5372,0
5386,0
5393,0
5395,0
5401,1
5407,1
5408,0
5413,0
5415,0
5427,0
5430,0
5434,0
5439,0
5440,1
5443,1
5445,0
5446,0
5447,0
5462,0
5463,0
5465,0
5468,0
5474,1
5477,1
5485,0
5487,0
5488,1
5492,0
5495,0
5497,0
5503,1
5504,0
5506,0
5512,1
5524,0
5525,0
5527,1
5530,0
5531,0
5533,1
5534,0
5535,1
5541,0
5544,0
5545,1
5546,0
5550,0
5552,0
5556,1
5561,0
5563,0
5565,1
5567,0
5568,0
5569,0
5575,0
5576,0
5580,1
5581,0
5583,0
5585,0
5587,0
5591,1
5592,0
5596,0
5599,0
5601,0
5606,1
5609,1
5611,1
5612,1
5615,1
5617,0
5618,1
5619,0
5620,0
5625,0
5630,0
5633,0
5636,0
5641,0
5642,0
5643,0
5655,0
5659,0
5661,0
5665,1
5666,0
5667,0
5668,0
5683,1
5687,1
5694,0
5698,0
5701,0
5707,1
5713,0
5718,0
5719,1
5720,1
5721,0
5723,0
5725,0
5726,0
5731,0
5736,0
5747,0
5752,0
5760,0
5761,0
5774,0
5778,0
5779,0
5788,0
5789,0
5792,0
5793,0
5794,0
5797,0
5803,0
5804,0
5809,0
5814,1
5818,1
5821,0
5823,0
5825,0
5826,0
5828,0
5830,1
5835,0
5836,0
5849,0
5856,0
5858,0
5860,0
5864,0
5877,0
5879,1
5882,0
5886,0
5888,1
5895,0
5898,1
5911,0
5920,1
5922,0
5923,1
5927,0
5929,0
5931,0
5940,0
5943,0
5946,0
5948,0
5954,0
5955,0
5965,0
5967,1
5971,0
5973,1
5975,0
5978,0
5981,0
5983,0
5984,0
5988,0
5992,0
5993,0
5995,0
5998,0
6002,1
6006,0
6007,1
6009,0
6012,0
6014,0
6017,0
6018,0
6020,0
6021,1
6023,0
6029,0
6032,0
6034,0
6035,0
6036,0
6042,0
6043,0
6045,0
6046,0
6047,1
6048,1
6049,0
6050,0
6051,0
6052,0
6055,1
6056,0
6057,0
6063,1
6067,0
6068,0
6071,0
6072,0
6076,0
6079,0
6084,1
6085,0
6092,0
6095,0
6098,0
6099,1
6100,0
6101,0
6102,0
6103,1
6107,0
6108,0
6109,1
6112,0
6116,1
6118,0
6119,0
6122,0
6123,0
6125,0
6127,0
6128,0
6134,0
6143,0
6150,1
6153,1
6154,0
6155,1
6161,0
6165,0
6167,0
6170,1
6172,0
6174,0
6176,0
6180,0
6181,0
6182,1
6188,0
6189,0
6195,0
6197,0
6199,0
6200,0
6202,0
6207,0
6214,0
6219,0
6220,0
6236,0
6239,0
6247,0
6248,0
6251,0
6252,0
6254,0
6259,1
6262,1
6264,0
6266,0
6267,0
6271,0
6274,0
6276,0
6279,1
6281,0
6286,1
6289,0
6294,0
6306,0
6309,0
6310,0
6316,0
6322,1
6331,1
6332,0
6333,0
6334,0
6335,0
6337,0
6338,0
6340,0
6341,0
6352,0
6357,0
6360,0
6371,0
6376,1
6386,0
6392,0
6393,1
6395,0
6396,0
6400,0
6402,0
6403,0
6405,1
6407,1
6408,0
6409,0
6415,1
6418,0
6420,0
6421,0
6425,0
6430,0
6432,0
6441,0
6446,0
6455,0
6460,0
6465,0
6471,0
6480,0
6489,0
6491,0
6494,0
6496,0
6508,0
6512,0
6514,0
6516,0
6524,1
6525,0
6528,0
6533,0
6534,1
6540,1
6543,1
6547,0
6553,0
6559,0
6564,1
6572,1
6575,0
6580,0
6584,0
6586,0
6587,0
6588,0
6589,0
6590,0
6591,0
6597,0
6599,0
6604,1
6605,1
6609,0
6610,0
6612,0
6616,0
6617,0
6620,0
6621,1
6629,0
6630,0
6631,0
6634,1
6637,0
6641,0
6644,0
6645,0
6646,1
6648,0
6649,0
6654,1
6655,1
6659,0
6662,0
6664,1
6666,0
6668,0
6669,0
6677,0
6678,0
6679,0
6682,0
6686,0
6690,1
6692,0
6698,0
6701,0
6706,0
6711,1
6714,1
6715,0
6720,0
6723,0
6724,1
6725,0
6727,0
6735,0
6737,0
6739,1
6745,0
6746,0
6749,0
6750,0
6751,0
6752,0
6755,0
6758,0
6769,0
6772,1
6773,0
6776,0
6778,0
6781,1
6786,1
6787,1
6792,0
6796,0
6804,0
6808,0
6813,0
6815,0
6818,0
6820,0
6822,0
6823,1
6824,0
6828,0
6830,0
6831,1
6835,0
6837,0
6840,0
6842,1
6843,0
6845,0
6846,0
6849,1
6858,1
6863,0
6865,0
6866,1
6868,0
6872,0
6873,0
6883,0
6886,0
6890,0
6893,0
6902,0
6906,0
6907,0
6909,0
6910,0
6918,0
6919,0
6920,0
6928,1
6930,1
6933,0
6943,0
6945,1
6957,0
6959,0
6960,0
6962,0
6963,0
6964,1
6965,0
6969,0
6973,0
6981,0
6989,0
6991,1
6992,0
6998,0
7004,0
7005,0
7009,0
7017,0
7018,0
7020,0
7021,0
7025,0
7026,0
7027,0
7035,0
7036,0
7039,0
7041,0
7045,0
7048,0
7053,0
7055,0
7071,0
7072,1
7073,0
7075,0
7076,0
7080,0
7086,0
7088,0
7093,0
7094,0
7095,0
7097,0
7104,0
7106,0
7115,0
7121,0
7127,0
7128,1
7130,0
7132,0
7138,0
7141,1
7144,0
7146,0
7147,1
7154,0
7160,0
7164,1
7165,1
7181,0
7182,0
7184,1
7185,0
7192,0
7193,0
7198,0
7202,0
7221,0
7223,0
7226,0
7227,0
7233,0
7235,0
7236,0
7237,0
7241,0
7244,0
7250,0
7252,0
7253,1
7254,0
7256,0
7257,0
7259,0
7268,1
7270,1
7273,1
7274,0
7276,0
7277,0
7278,0
7279,0
7281,0
7283,1
7284,0
7285,0
7286,1
7294,0
7307,0
7313,0
7314,0
7319,0
7320,0
7321,0
7323,0
7329,0
7334,0
7335,0
7337,0
7339,0
7340,0
7351,0
7353,1
7356,0
7357,0
7364,0
7366,0
7367,0
7369,0
7370,1
7371,1
7372,0
7373,1
7374,1
7379,0
7380,0
7381,0
7387,0
7389,1
7390,0
7392,0
7393,0
7398,0
7399,0
7403,0
7415,0
7416,0
7421,0
7422,0
7425,0
7426,0
7427,1
7429,1
7432,1
7433,0
7434,0
7437,0
7443,1
7449,0
7458,0
7472,0
7474,1
7477,0
7481,0
7486,0
7489,1
7491,0
7497,1
7498,0
7499,0
7503,0
7511,0
7512,0
7513,0
7516,0
7520,0
7525,0
7527,0
7530,0
7531,1
7532,0
7534,0
7535,0
7536,0
7541,0
7549,0
7552,0
7553,1
7560,1
7562,0
7576,0
7577,0
7579,0
7580,0
7587,0
7589,1
7591,0
7595,0
7599,0
7601,0
7603,1
7604,0
7605,1
7608,0
7617,0
7618,0
7626,0
7629,0
7635,1
7636,0
7637,1
7644,0
7647,1
7650,0
7652,0
7653,1
7654,1
7655,0
7658,0
7661,0
7664,0
7665,0
7668,0
7674,1
7675,0
7681,0
7682,0
7684,0
7685,0
7688,0
7690,0
7693,0
7697,0
7698,0
7702,0
7706,0
7708,0
7709,0
7713,0
7714,1
7716,0
7723,1
7724,1
7725,0
7727,0
7729,1
7730,0
7732,0
7733,0
7734,0
7737,0
7739,0
7742,0
7744,0
7749,0
7750,0
7754,1
7759,1
7767,0
7770,0
7773,0
7774,1
7779,1
7781,1
7784,1
7787,0
7792,0
7798,0
7799,0
7800,0
7806,1
7812,0
7818,0
7819,0
7823,0
7824,0
7826,0
7832,1
7838,0
7847,0
7853,0
7859,1
7866,1
7867,0
7868,0
7872,0
7874,0
7875,1
7876,1
7877,0
7878,0
7883,1
7888,0
7900,0
7902,0
7905,0
7906,0
7911,0
7916,0
7917,0
7920,0
7922,0
7923,0
7924,0
7929,1
7930,0
7939,0
7950,1
7952,0
7954,1
7960,0
7966,0
7976,0
7979,1
7980,1
7983,0
7984,0
7985,1
7986,0
7988,0
7994,0
7996,0
7997,0
8001,1
8003,0
8007,0
8017,0
8019,1
8022,0
8025,0
8027,1
8028,0
8034,0
8038,0
8040,0
8041,0
8043,0
8046,1
8047,0
8049,0
8050,0
8053,0
8054,0
8060,0
8061,0
8066,0
8067,0
8068,0
8071,0
8072,0
8073,0
8082,0
8090,0
8092,0
8093,0
8097,1
8099,0
8101,0
8105,1
8107,0
8117,1
8125,0
8130,0
8131,0
8132,0
8135,0
8143,0
8144,0
8146,0
8147,0
8148,0
8149,0
8151,0
8154,0
8158,0
8159,0
8163,0
8165,0
8170,0
8173,1
8178,0
8185,0
8186,0
8188,0
8190,0
8193,0
8194,0
8195,0
8198,0
8201,1
8204,0
8205,0
8206,1
8207,0
8208,1
8212,0
8215,0
8219,0
8224,0
8230,0
8235,0
8237,0
8239,0
8240,0
8250,1
8252,0
8255,0
8257,0
8265,0
8268,0
8272,0
8273,0
8275,0
8276,0
8280,0
8287,0
8291,0
8293,0
8296,0
8297,0
8299,1
8301,0
8304,0
8307,0
8314,1
8315,0
8316,0
8320,0
8322,0
8331,0
8338,0
8339,0
8347,1
8348,0
8359,1
8360,0
8363,0
8364,0
8376,0
8384,0
8394,0
8395,0
8396,0
8397,0
8399,0
8403,1
8406,1
8411,0
8414,0
8421,0
8423,0
8424,0
8425,0
8430,1
8434,0
8436,0
8439,0
8445,0
8446,0
8457,1
8459,1
8461,0
8462,1
8464,1
8465,0
8468,0
8471,0
8475,0
8485,1
8489,0
8490,0
8491,0
8492,0
8503,0
8512,0
8515,0
8516,0
8517,0
8520,0
8523,0
8526,1
8527,0
8529,0
8530,0
8544,0
8546,0
8547,1
8552,0
8562,0
8563,0
8568,0
8569,0
8571,0
8578,1
8579,0
8581,0
8583,0
8593,0
8595,1
8602,1
8611,1
8613,0
8614,0
8615,1
8621,0
8625,0
8631,0
8635,0
8636,1
8646,0
8649,0
8650,0
8652,0
8653,0
8661,0
8667,1
8672,0
8675,0
8676,0
8678,0
8684,0
8685,0
8687,0
8688,1
8691,0
8693,0
8694,0
8695,0
8699,1
8705,0
8708,1
8714,0
8715,1
8720,0
8723,0
8725,0
8726,0
8728,0
8734,0
8735,0
8736,0
8737,0
8738,0
8745,0
8747,0
8748,0
8754,1
8755,0
8762,0
8769,1
8770,0
8777,0
8787,1
8791,0
8793,0
8794,0
8795,0
8796,0
8799,0
8800,0
8801,1
8802,0
8804,0
8817,0
8819,0
8827,0
8838,0
8840,0
8842,0
8848,0
8850,0
8852,1
8855,0
8858,0
8859,0
8860,0
8865,1
8883,0
8884,1
8885,1
8886,0
8889,1
8890,1
8893,1
8896,0
8897,0
8902,1
8903,1
8904,1
8905,0
8909,0
8911,0
8912,1
8913,0
8915,1
8925,0
8928,0
8930,0
8935,0
8937,0
8938,0
8943,0
8944,0
8951,0
8953,0
8964,0
8965,0
8967,0
8969,0
8971,0
8973,1
8975,0
8981,0
8983,0
8985,0
8986,0
8995,1
9001,0
9006,0
9007,0
9009,0
9010,0
9013,0
9016,0
9017,0
9025,1
9027,0
9037,0
9040,0
9041,1
9042,0
9046,1
9047,0
9053,0
9056,0
9058,0
9063,0
9066,0
9068,0
9075,0
9076,1
9082,0
9087,1
9089,0
9092,1
9093,0
9094,0
9100,0
9102,0
9110,0
9111,0
9112,0
9114,1
9119,0
9133,0
9134,1
9144,0
9145,0
9147,0
9155,0
9158,0
9159,0
9162,0
9167,1
9176,0
9177,0
9179,0
9180,0
9182,0
9183,0
9184,0
9185,0
9187,0
9190,0
9191,0
9192,1
9197,0
9198,0
9199,0
9202,1
9204,0
9206,0
9207,0
9210,1
9213,0
9214,0
9216,1
9221,1
9226,0
9231,0
9232,0
9233,0
9234,0
9239,0
9254,0
9255,0
9258,1
9265,0
9266,1
9268,1
9269,0
9272,0
9276,0
9277,0
9278,0
9294,0
9296,0
9301,0
9307,0
9308,0
9311,0
9319,0
9322,0
9325,0
9327,0
9328,0
9329,0
9331,1
9332,0
9333,1
9340,0
9341,0
9350,0
9351,0
9352,0
9353,0
9355,0
9358,0
9367,0
9372,1
9378,0
9380,0
9383,0
9384,0
9389,1
9390,1
9391,1
9393,1
9394,0
9398,0
9403,0
9404,0
9407,1
9411,1
9413,0
9417,0
9418,0
9427,0
9429,0
9431,0
9436,0
9440,0
9441,0
9442,0
9443,0
9444,0
9448,0
9452,0
9457,0
9464,0
9469,1
9474,0
9475,0
9477,0
9481,0
9488,0
9491,1
9496,1
9497,0
9506,0
9516,0
9523,0
9524,0
9526,0
9527,0
9529,0
9531,0
9535,0
9542,1
9549,0
9556,1
9563,0
9587,0
9591,0
9593,0
9595,1
9600,0
9601,0
9604,0
9608,0
9612,0
9618,1
9630,0
9633,0
9635,0
9637,0
9640,0
9641,0
9643,1
9644,0
9645,0
9648,1
9650,1
9651,0
9657,0
9661,0
9664,0
9665,0
9667,0
9671,0
9674,0
9677,0
9680,0
9684,0
9685,1
9688,0
9689,0
9691,0
9692,0
9695,1
9696,0
9702,1
9711,0
9714,1
9719,0
9720,0
9726,1
9727,0
9733,0
9734,0
9738,0
9744,0
9750,0
9751,0
9752,0
9753,0
9754,0
9756,0
9758,0
9761,0
9762,0
