EID,change_number,found_change_number,if_change,if_found_change,found_diff,if_found_up
70121,4,0,1,0,,0
70342,2,0,1,0,,0
70539,4,2,1,1,194.0,1
70790,3,0,1,0,,0
71306,3,1,1,1,10000.0,1
71728,2,0,1,0,,0
71779,1,0,1,0,,0
72080,8,0,1,0,,0
72082,1,1,1,1,1000.0,1
72293,1,0,1,0,,0
72323,4,0,1,0,,0
72568,6,0,1,0,,0
72677,8,0,1,0,,0
72740,3,0,1,0,,0
72989,7,0,1,0,,0
73033,4,1,1,1,90.0,1
73038,3,1,1,1,100.0,1
73045,5,2,1,1,1925.0,1
73310,2,1,1,1,2020.0,1
73579,1,0,1,0,,0
73760,1,0,1,0,,0
73998,2,0,1,0,,0
74352,2,0,1,0,,0
74483,1,0,1,0,,0
74765,2,0,1,0,,0
74866,1,0,1,0,,0
75179,2,0,1,0,,0
75285,3,0,1,0,,0
75554,3,0,1,0,,0
75568,2,1,1,1,180.0,1
75888,1,0,1,0,,0
76270,3,0,1,0,,0
76315,2,0,1,0,,0
76754,1,0,1,0,,0
76998,4,0,1,0,,0
77009,6,3,1,1,1060.0,1
77057,1,1,1,1,80.0,1
77197,1,1,1,1,150.0,1
77622,1,0,1,0,,0
77918,13,2,1,1,950.0,1
78564,1,0,1,0,,0
78581,3,1,1,1,-61.799999999999955,-1
78807,1,1,1,1,40.0,1
78892,4,0,1,0,,0
78937,3,1,1,1,-80.0,-1
79247,9,4,1,1,9012.699999999999,1
79401,10,2,1,1,80.0,1
79511,2,0,1,0,,0
80078,1,0,1,0,,0
80098,6,0,1,0,,0
80123,1,0,1,0,,0
80250,2,2,1,1,250.0,1
80297,3,0,1,0,,0
80365,7,2,1,1,880.0,1
80578,2,0,1,0,,0
80879,2,2,1,1,1800.0,1
80980,2,0,1,0,,0
81029,4,0,1,0,,0
81048,1,0,1,0,,0
81272,1,0,1,0,,0
81425,5,0,1,0,,0
81520,1,0,1,0,,0
81864,1,1,1,1,90.0,1
82232,28,0,1,0,,0
82338,18,0,1,0,,0
83361,1,0,1,0,,0
83432,1,0,1,0,,0
83556,3,0,1,0,,0
83674,7,1,1,1,50.0,1
83770,1,0,1,0,,0
83839,1,0,1,0,,0
83928,1,0,1,0,,0
84165,5,0,1,0,,0
84411,1,1,1,1,800.0,1
84429,1,1,1,1,990.0,1
84465,1,0,1,0,,0
85070,5,0,1,0,,0
85210,1,0,1,0,,0
85259,1,0,1,0,,0
85390,2,0,1,0,,0
85511,2,1,1,1,50.0,1
85803,2,0,1,0,,0
86052,1,0,1,0,,0
86217,1,0,1,0,,0
86272,3,0,1,0,,0
86361,2,0,1,0,,0
86431,2,0,1,0,,0
87377,4,0,1,0,,0
87405,2,0,1,0,,0
87881,1,0,1,0,,0
87921,1,0,1,0,,0
88001,1,0,1,0,,0
88260,2,0,1,0,,0
88594,5,1,1,1,20.0,1
88633,1,0,1,0,,0
88808,1,0,1,0,,0
89077,2,0,1,0,,0
89364,1,0,1,0,,0
89448,4,0,1,0,,0
89558,1,0,1,0,,0
89755,2,1,1,1,1900.0,1
90098,2,0,1,0,,0
90100,1,0,1,0,,0
90139,1,0,1,0,,0
90257,1,0,1,0,,0
90422,1,0,1,0,,0
90485,1,1,1,1,1950.0,1
91007,3,0,1,0,,0
91192,16,2,1,1,2970.0,1
91459,2,0,1,0,,0
91463,1,0,1,0,,0
91991,9,1,1,1,97.0,1
92327,1,0,1,0,,0
92358,6,0,1,0,,0
92412,10,2,1,1,1980.0,1
92573,3,0,1,0,,0
92575,1,0,1,0,,0
92597,3,0,1,0,,0
92748,2,1,1,1,90.0,1
93002,2,1,1,1,400.0,1
93386,1,0,1,0,,0
93928,1,0,1,0,,0
94273,1,0,1,0,,0
94325,6,0,1,0,,0
94510,3,1,1,1,100.0,1
94737,1,1,1,1,2000.0,1
94773,2,1,1,1,700.0,1
94814,1,0,1,0,,0
94948,3,1,1,1,900.0,1
95224,1,0,1,0,,0
95254,7,1,1,1,40.0,1
95292,2,0,1,0,,0
95511,4,0,1,0,,0
95665,2,1,1,1,150.0,1
95774,2,1,1,1,270.0,1
95889,1,0,1,0,,0
95936,1,0,1,0,,0
96055,5,1,1,1,530.0,1
96300,5,0,1,0,,0
96586,1,0,1,0,,0
97011,1,0,1,0,,0
97134,1,0,1,0,,0
97160,1,0,1,0,,0
97304,9,1,1,1,469.00104999999894,1
97318,2,2,1,1,1200.0,1
97329,1,0,1,0,,0
97463,2,0,1,0,,0
97519,1,0,1,0,,0
97737,2,0,1,0,,0
97857,7,1,1,1,-640.0,-1
97870,1,0,1,0,,0
97975,6,0,1,0,,0
98288,1,0,1,0,,0
98588,3,1,1,1,90.0,1
98680,1,0,1,0,,0
98830,2,0,1,0,,0
99087,3,0,1,0,,0
99135,2,0,1,0,,0
99319,1,0,1,0,,0
99406,5,0,1,0,,0
99528,2,1,1,1,450.0,1
99563,2,0,1,0,,0
99664,1,0,1,0,,0
99715,3,0,1,0,,0
99813,1,0,1,0,,0
99981,7,1,1,1,80.0,1
100234,1,0,1,0,,0
100341,3,0,1,0,,0
100517,7,1,1,1,50.0,1
101087,1,1,1,1,990.0,1
101209,8,2,1,1,80.0,1
101475,1,0,1,0,,0
102093,1,0,1,0,,0
102301,8,0,1,0,,0
102361,1,0,1,0,,0
102710,1,0,1,0,,0
102742,2,0,1,0,,0
102859,2,0,1,0,,0
102929,5,0,1,0,,0
103217,4,0,1,0,,0
103758,5,0,1,0,,0
103847,6,1,1,1,1000.0,1
103952,1,0,1,0,,0
103989,1,0,1,0,,0
104036,1,0,1,0,,0
104139,2,0,1,0,,0
104202,7,1,1,1,90.0,1
104340,1,0,1,0,,0
104767,1,0,1,0,,0
105062,2,1,1,1,300.0,1
105795,3,0,1,0,,0
106149,4,0,1,0,,0
106312,1,0,1,0,,0
106558,13,1,1,1,250.0,1
106850,12,8,1,1,640.0,1
106892,5,1,1,1,200.0,1
107132,1,0,1,0,,0
107527,2,1,1,1,2680.0,1
107572,5,0,1,0,,0
107964,1,1,1,1,497.0,1
107975,1,0,1,0,,0
108150,5,2,1,1,710.0,1
108339,2,0,1,0,,0
108606,1,0,1,0,,0
108815,1,0,1,0,,0
109285,3,1,1,1,-9800.0,-1
109501,1,0,1,0,,0
109640,1,0,1,0,,0
109702,1,0,1,0,,0
109890,2,0,1,0,,0
110036,2,0,1,0,,0
110151,1,0,1,0,,0
110279,1,0,1,0,,0
110356,1,0,1,0,,0
110500,1,0,1,0,,0
110503,1,0,1,0,,0
110739,1,0,1,0,,0
110835,2,1,1,1,390.0,1
111096,1,0,1,0,,0
111288,1,0,1,0,,0
111293,3,0,1,0,,0
111425,6,1,1,1,175.0864,1
111452,1,0,1,0,,0
111461,4,0,1,0,,0
111582,3,0,1,0,,0
112036,2,1,1,1,90.0,1
112058,2,1,1,1,40.0,1
112070,1,0,1,0,,0
112188,1,0,1,0,,0
112219,1,0,1,0,,0
112547,1,0,1,0,,0
112678,2,0,1,0,,0
112717,1,0,1,0,,0
112993,1,0,1,0,,0
113047,3,0,1,0,,0
113530,1,1,1,1,2500.0,1
114177,2,0,1,0,,0
114507,2,0,1,0,,0
114572,2,0,1,0,,0
114806,2,1,1,1,-8000.0,-1
114898,1,0,1,0,,0
115185,1,0,1,0,,0
115387,2,0,1,0,,0
115547,3,1,1,1,138.31411800000004,1
115976,3,1,1,1,90.0,1
116227,5,0,1,0,,0
116266,1,0,1,0,,0
116275,1,0,1,0,,0
116926,5,2,1,1,1653.7399999999998,1
117064,4,1,1,1,900.0,1
117121,4,0,1,0,,0
117176,3,2,1,1,1980.0,1
117523,9,2,1,1,180.0,1
117528,5,2,1,1,94.0,1
117601,1,0,1,0,,0
117603,1,0,1,0,,0
117790,1,0,1,0,,0
117960,3,0,1,0,,0
117966,10,1,1,1,191.0,1
118004,4,0,1,0,,0
118808,1,0,1,0,,0
118834,1,0,1,0,,0
119191,1,0,1,0,,0
119336,2,0,1,0,,0
119350,2,0,1,0,,0
119492,1,0,1,0,,0
119577,2,0,1,0,,0
119791,1,0,1,0,,0
120323,6,1,1,1,90.0,1
120442,4,0,1,0,,0
120607,4,1,1,1,1500.0,1
120668,4,1,1,1,47.0,1
120870,2,1,1,1,150.0,1
120895,9,0,1,0,,0
121046,5,2,1,1,40.0,1
121090,2,0,1,0,,0
121367,1,0,1,0,,0
121394,7,1,1,1,90.0,1
121398,7,0,1,0,,0
121587,1,0,1,0,,0
121730,1,0,1,0,,0
121881,1,0,1,0,,0
122210,1,0,1,0,,0
122806,2,1,1,1,997.0,1
123028,3,1,1,1,300.0,1
123424,3,0,1,0,,0
123447,2,1,1,1,500.0,1
123488,8,0,1,0,,0
123495,4,0,1,0,,0
123794,2,1,1,1,450.0,1
123811,1,0,1,0,,0
124438,4,0,1,0,,0
124534,4,1,1,1,900.0,1
124847,3,1,1,1,450.0,1
125031,2,0,1,0,,0
125291,28,0,1,0,,0
125382,1,0,1,0,,0
125556,2,0,1,0,,0
125993,1,0,1,0,,0
126002,1,0,1,0,,0
126146,1,0,1,0,,0
126261,1,0,1,0,,0
126357,1,0,1,0,,0
126372,7,0,1,0,,0
126753,4,1,1,1,8.5,1
127003,5,0,1,0,,0
127259,1,0,1,0,,0
127354,1,0,1,0,,0
127533,8,0,1,0,,0
127583,3,1,1,1,4140.0,1
127625,6,0,1,0,,0
127907,1,0,1,0,,0
128016,1,0,1,0,,0
128081,2,0,1,0,,0
128395,2,0,1,0,,0
128583,6,1,1,1,295.0,1
128598,42,18,1,1,8914.799999999996,1
128752,3,1,1,1,400.0,1
128945,1,0,1,0,,0
129081,2,0,1,0,,0
129367,6,0,1,0,,0
129622,3,1,1,1,70.0,1
129960,3,0,1,0,,0
130061,1,0,1,0,,0
130128,1,0,1,0,,0
130419,1,0,1,0,,0
130421,1,0,1,0,,0
130470,2,0,1,0,,0
130584,1,0,1,0,,0
131012,12,1,1,1,150.0,1
131038,1,0,1,0,,0
131209,4,1,1,1,800.0,1
131395,1,0,1,0,,0
132385,2,1,1,1,50.0,1
132422,2,0,1,0,,0
132508,1,0,1,0,,0
132669,1,0,1,0,,0
132978,1,1,1,1,740.0,1
133221,1,0,1,0,,0
133268,4,1,1,1,40.0,1
133317,3,0,1,0,,0
133328,2,0,1,0,,0
133723,7,0,1,0,,0
134091,7,1,1,1,80.0,1
134507,2,0,1,0,,0
134567,3,1,1,1,800.0,1
134654,5,0,1,0,,0
134808,1,0,1,0,,0
135014,4,1,1,1,290.0,1
135704,3,1,1,1,25.0,1
135790,7,3,1,1,400.0,1
135877,1,0,1,0,,0
135900,1,0,1,0,,0
136248,10,0,1,0,,0
136379,6,2,1,1,1340.0,1
136426,5,0,1,0,,0
136583,4,0,1,0,,0
136619,1,0,1,0,,0
136878,1,0,1,0,,0
136880,1,0,1,0,,0
136999,4,2,1,1,900.0,1
137167,1,0,1,0,,0
137216,3,0,1,0,,0
138287,6,0,1,0,,0
138326,2,0,1,0,,0
138327,1,0,1,0,,0
138427,1,0,1,0,,0
138539,1,0,1,0,,0
138580,1,0,1,0,,0
138680,1,0,1,0,,0
138763,3,1,1,1,1000.0,1
138826,1,0,1,0,,0
139079,2,1,1,1,650.0,1
139119,1,0,1,0,,0
139375,2,0,1,0,,0
139607,1,0,1,0,,0
139625,2,1,1,1,12155.0,1
140024,2,0,1,0,,0
140110,1,0,1,0,,0
140234,2,1,1,1,1000.0,1
140381,2,0,1,0,,0
140801,1,1,1,1,900.0,1
140892,1,0,1,0,,0
141445,1,0,1,0,,0
141519,1,0,1,0,,0
141794,6,0,1,0,,0
142053,2,0,1,0,,0
143021,2,1,1,1,990.0,1
143311,4,0,1,0,,0
143380,1,0,1,0,,0
143668,4,1,1,1,450.0,1
143727,2,0,1,0,,0
143742,2,0,1,0,,0
143789,1,0,1,0,,0
143896,1,0,1,0,,0
143937,18,4,1,1,19800.0,1
143979,2,0,1,0,,0
144166,2,1,1,1,210.0,1
144177,1,0,1,0,,0
144237,6,1,1,1,-820.0,-1
144254,2,0,1,0,,0
144261,4,0,1,0,,0
144309,2,0,1,0,,0
144608,3,0,1,0,,0
144768,2,0,1,0,,0
145008,1,0,1,0,,0
145206,1,0,1,0,,0
145218,8,0,1,0,,0
145342,1,1,1,1,400.0,1
145375,1,1,1,1,450.0,1
145878,1,0,1,0,,0
145964,6,0,1,0,,0
146259,4,2,1,1,714.28,1
146444,14,2,1,1,194.0,1
146552,1,1,1,1,100.0,1
146897,5,1,1,1,2700.0,1
146912,2,1,1,1,1900.0,1
147159,1,0,1,0,,0
147279,4,0,1,0,,0
147602,1,0,1,0,,0
148017,1,1,1,1,487.0,1
148137,3,0,1,0,,0
148169,7,0,1,0,,0
148383,1,0,1,0,,0
148384,1,0,1,0,,0
148489,1,0,1,0,,0
148521,1,0,1,0,,0
148669,4,0,1,0,,0
148917,6,2,1,1,190.0,1
148931,1,0,1,0,,0
149045,1,0,1,0,,0
149332,3,1,1,1,1000.0,1
149574,2,1,1,1,1030.0,1
149580,6,0,1,0,,0
149734,2,1,1,1,100.0,1
149853,15,1,1,1,250.0,1
149906,1,0,1,0,,0
150368,6,0,1,0,,0
150943,4,0,1,0,,0
151080,8,0,1,0,,0
151104,1,0,1,0,,0
151336,3,0,1,0,,0
151564,10,0,1,0,,0
151685,1,0,1,0,,0
151851,3,2,1,1,3980.0,1
151870,2,0,1,0,,0
151991,3,2,1,1,1980.0,1
152035,1,0,1,0,,0
152060,1,0,1,0,,0
152148,2,0,1,0,,0
152290,1,0,1,0,,0
152399,4,4,1,1,3400.0,1
152692,8,0,1,0,,0
153550,1,0,1,0,,0
153639,1,0,1,0,,0
153982,1,0,1,0,,0
154003,3,1,1,1,50.0,1
154054,1,0,1,0,,0
154205,9,0,1,0,,0
154359,1,0,1,0,,0
154496,4,0,1,0,,0
154545,6,1,1,1,48.0,1
154604,1,0,1,0,,0
154629,2,1,1,1,950.0,1
154778,4,0,1,0,,0
154867,3,0,1,0,,0
155056,1,0,1,0,,0
155076,1,0,1,0,,0
155240,2,0,1,0,,0
155281,4,0,1,0,,0
155390,4,1,1,1,10.0,1
156123,1,0,1,0,,0
156336,1,0,1,0,,0
156374,26,4,1,1,360.0,1
156643,2,0,1,0,,0
156826,1,0,1,0,,0
157165,1,0,1,0,,0
157206,2,0,1,0,,0
157757,1,0,1,0,,0
157839,1,0,1,0,,0
157854,5,0,1,0,,0
158031,4,1,1,1,80.0,1
158278,2,1,1,1,49.0,1
158323,2,1,1,1,90.0,1
158377,14,0,1,0,,0
158427,10,1,1,1,40.0,1
158520,2,0,1,0,,0
158754,3,0,1,0,,0
159328,2,0,1,0,,0
159414,3,0,1,0,,0
159586,2,0,1,0,,0
159636,7,0,1,0,,0
159669,2,0,1,0,,0
159869,2,1,1,1,490.0,1
160200,2,0,1,0,,0
160349,1,0,1,0,,0
160432,8,0,1,0,,0
160673,2,0,1,0,,0
160749,1,0,1,0,,0
160986,2,0,1,0,,0
