EID,RIGHT_COUNT,RIGHT_11_COUNT,RIGHT_12_COUNT,RIGHT_20_COUNT,RIGHT_30_COUNT,RIGHT_40_COUNT,RIGHT_50_COUNT,RIGHT_60_COUNT,FUYU_RIGHT,WFUYU_RIGHT,IS_EXIST_WFU
543,8,0,0,0,0,0,7,1,8,0,0
548,3,0,0,0,0,3,0,0,3,0,0
556,17,0,0,0,0,9,0,8,17,0,0
559,1,0,0,0,0,0,0,1,1,0,0
565,2,0,0,1,0,1,0,0,2,0,0
572,1,0,0,0,0,0,1,0,1,0,0
581,13,0,0,0,0,13,0,0,13,0,0
584,4,0,0,0,0,4,0,0,2,2,1
598,3,0,0,0,0,2,0,1,3,0,0
605,1,0,0,0,0,0,0,1,1,0,0
608,1,0,0,0,0,1,0,0,1,0,0
613,2,0,0,0,0,2,0,0,2,0,0
622,1,0,0,0,0,0,0,1,1,0,0
632,2,0,0,0,0,0,0,2,2,0,0
655,2,0,0,0,0,0,0,2,2,0,0
660,2,0,0,0,0,2,0,0,2,0,0
670,3,0,0,0,0,3,0,0,2,1,1
671,1,0,0,0,0,0,0,1,1,0,0
683,2,0,0,0,0,0,0,2,2,0,0
687,1,0,0,0,0,0,0,1,1,0,0
689,2,0,0,0,0,0,0,2,2,0,0
693,5,0,0,0,0,5,0,0,4,1,1
695,2,0,0,0,0,2,0,0,0,2,1
703,7,0,0,0,0,6,0,1,7,0,0
707,2,0,0,0,0,0,0,2,2,0,0
711,3,0,0,0,0,3,0,0,3,0,0
722,2,0,0,0,0,2,0,0,0,2,1
728,2,0,0,0,0,0,0,2,2,0,0
731,12,0,0,0,0,12,0,0,6,6,1
755,1,0,0,0,0,0,0,1,1,0,0
768,1,0,0,0,0,0,0,1,1,0,0
772,5,0,0,0,0,1,0,4,4,1,1
783,1,0,0,0,0,1,0,0,1,0,0
809,2,0,0,0,0,2,0,0,0,2,1
810,2,0,0,0,0,1,0,1,2,0,0
814,1,0,0,0,0,1,0,0,1,0,0
821,1,0,0,0,0,1,0,0,1,0,0
822,1,0,0,0,0,1,0,0,1,0,0
826,5,0,0,0,0,3,0,2,4,1,1
834,2,0,0,0,0,1,0,1,2,0,0
851,1,0,0,0,0,0,0,1,1,0,0
864,2,0,0,0,0,1,0,1,2,0,0
866,1,0,0,0,0,0,0,1,1,0,0
870,1,0,0,0,0,0,0,1,1,0,0
882,8,0,0,0,0,2,1,5,8,0,0
883,2,0,0,0,0,1,0,1,1,1,1
887,2,0,0,0,0,0,0,2,2,0,0
896,1,0,0,0,0,0,0,1,1,0,0
903,1,0,0,0,0,0,0,1,1,0,0
906,2,0,0,0,0,2,0,0,2,0,0
925,1,0,0,0,0,0,0,1,1,0,0
928,4,0,0,0,0,4,0,0,2,2,1
958,1,0,0,0,0,1,0,0,1,0,0
960,3,0,0,0,0,3,0,0,3,0,0
965,1,0,0,0,0,1,0,0,1,0,0
974,1,0,0,0,0,1,0,0,1,0,0
983,3,0,0,0,0,0,0,3,3,0,0
984,1,0,0,0,0,1,0,0,1,0,0
994,1,0,0,0,0,0,0,1,1,0,0
997,1,0,0,0,0,1,0,0,1,0,0
1000,3,0,0,0,0,2,0,1,3,0,0
1020,4,0,0,0,0,4,0,0,4,0,0
1026,9,0,0,0,0,8,0,1,7,2,1
1031,1,0,0,0,0,0,0,1,1,0,0
1032,1,0,0,0,0,0,0,1,1,0,0
1035,1,0,0,0,0,0,0,1,1,0,0
1043,1,0,0,0,0,0,0,1,1,0,0
1052,4,1,0,0,0,2,0,1,3,1,1
1066,8,0,0,0,0,6,0,2,4,4,1
1069,2,0,0,0,0,0,0,2,2,0,0
1071,1,0,0,0,0,1,0,0,1,0,0
1080,7,0,0,0,0,7,0,0,7,0,0
1094,24,4,0,1,0,4,12,3,20,4,1
1119,3,0,0,0,0,2,0,1,2,1,1
1125,2,0,0,0,0,2,0,0,2,0,0
1127,1,0,0,0,0,0,0,1,1,0,0
1131,2,0,0,0,0,2,0,0,0,2,1
1138,8,0,0,0,0,1,0,7,7,1,1
1145,1,0,0,0,0,0,0,1,1,0,0
1153,1,0,0,0,0,0,0,1,1,0,0
1155,3,0,0,0,0,3,0,0,3,0,0
1163,1,0,0,0,0,0,1,0,0,1,1
1171,2,0,0,0,0,1,0,1,2,0,0
1186,3,0,0,0,0,1,0,2,3,0,0
1192,12,0,0,0,0,10,0,2,11,1,1
1199,2,0,0,0,0,2,0,0,2,0,0
1207,9,0,0,0,0,0,0,9,9,0,0
1212,2,0,0,0,0,1,0,1,2,0,0
1224,1,0,0,0,0,0,0,1,1,0,0
1234,1,0,0,0,0,0,0,1,1,0,0
1238,5,0,0,0,0,0,0,5,5,0,0
1239,46,0,0,0,0,45,0,1,43,3,1
1242,303,151,0,8,7,83,53,1,126,177,1
1250,2,0,0,0,0,0,0,2,2,0,0
1254,1,0,0,0,0,0,0,1,1,0,0
1270,1,0,0,0,0,1,0,0,1,0,0
1274,20,0,0,0,0,19,0,1,16,4,1
1275,10,0,0,0,0,0,0,10,10,0,0
1277,1,0,0,0,0,1,0,0,0,1,1
1278,1,0,0,0,0,0,0,1,1,0,0
1283,1,0,0,0,0,1,0,0,1,0,0
1284,1,0,0,0,0,0,0,1,1,0,0
1294,1,0,0,0,0,0,0,1,1,0,0
1304,1,0,0,0,0,0,0,1,1,0,0
1320,1,0,0,0,0,0,0,1,1,0,0
1329,1,0,0,0,0,1,0,0,1,0,0
1332,2,0,0,0,0,0,0,2,2,0,0
1341,1,0,0,0,0,1,0,0,1,0,0
1357,1,0,0,0,0,0,0,1,1,0,0
1358,4,0,0,0,0,4,0,0,4,0,0
1362,4,0,0,0,0,4,0,0,3,1,1
1364,1,0,0,0,0,0,0,1,1,0,0
1366,3,0,0,0,0,1,0,2,3,0,0
1369,12,0,0,0,0,10,0,2,11,1,1
1373,17,2,0,2,0,5,6,2,11,6,1
1398,7,0,0,0,0,6,0,1,4,3,1
1399,1,0,0,0,0,0,0,1,1,0,0
1402,1,0,0,0,0,1,0,0,1,0,0
1407,1,0,0,0,0,0,0,1,1,0,0
1424,1,0,0,0,0,0,0,1,1,0,0
1426,7,2,0,4,0,0,0,1,5,2,1
1430,1,0,0,0,0,1,0,0,1,0,0
1457,1,0,0,0,0,1,0,0,1,0,0
1458,1,0,0,0,0,0,0,1,1,0,0
1464,1,0,0,0,0,0,0,1,1,0,0
1465,11,0,0,0,4,4,1,2,11,0,0
1478,9,0,0,0,0,3,6,0,9,0,0
1480,1,0,0,0,0,0,1,0,1,0,0
1489,1,0,0,0,0,0,0,1,1,0,0
1510,1,0,0,0,0,0,0,1,1,0,0
1513,1,0,0,0,0,0,0,1,1,0,0
1530,13,0,0,2,0,10,0,1,13,0,0
1536,1,0,0,0,0,0,0,1,1,0,0
1539,1,0,0,0,0,0,0,1,1,0,0
1543,3,1,0,0,0,1,0,1,2,1,1
1552,13,0,0,0,0,12,0,1,13,0,0
1571,4,0,0,0,0,4,0,0,4,0,0
1572,9,0,0,2,3,3,0,1,8,1,1
1577,2,0,0,0,0,2,0,0,2,0,0
1579,3,0,0,0,0,3,0,0,3,0,0
1587,1,0,0,0,0,0,0,1,1,0,0
1591,14,0,0,0,0,6,0,8,13,1,1
1592,4,0,0,0,0,3,0,1,4,0,0
1594,6,0,0,0,0,0,6,0,6,0,0
1600,7,5,2,0,0,0,0,0,2,5,1
1611,9,0,0,0,0,1,7,1,9,0,0
1612,4,0,0,0,0,2,0,2,4,0,0
1619,1,0,0,0,0,0,0,1,1,0,0
1624,1,0,0,0,0,0,0,1,1,0,0
1637,1,0,0,0,0,0,0,1,1,0,0
1640,1,0,0,0,0,0,0,1,1,0,0
1662,1,0,0,0,0,0,0,1,1,0,0
1675,1,0,0,0,0,0,0,1,1,0,0
1681,30,0,3,0,0,14,11,2,24,6,1
1683,1,0,0,0,0,1,0,0,1,0,0
1687,2,0,0,0,0,1,0,1,2,0,0
1692,4,0,0,0,0,2,0,2,3,1,1
1693,7,0,0,0,0,0,6,1,7,0,0
1699,2,0,0,0,0,2,0,0,2,0,0
1707,9,0,0,0,0,8,0,1,6,3,1
1710,2,0,0,0,0,0,0,2,2,0,0
1716,3,0,0,0,0,0,0,3,3,0,0
1719,2,0,0,0,0,2,0,0,0,2,1
1724,1,0,0,0,0,0,0,1,1,0,0
1748,1,0,0,0,0,1,0,0,1,0,0
1759,12,0,0,0,0,6,0,6,9,3,1
1760,1,0,0,0,0,0,0,1,1,0,0
1765,2,0,0,0,0,1,0,1,2,0,0
1776,4,0,0,0,0,3,0,1,3,1,1
1778,162,26,10,15,12,21,77,1,125,37,1
1785,1,0,0,0,0,1,0,0,1,0,0
1789,1,0,0,0,0,0,0,1,1,0,0
1799,1,0,0,0,0,0,0,1,1,0,0
1803,25,0,0,0,0,1,22,2,21,4,1
1809,1,0,0,0,0,1,0,0,0,1,1
1848,2,0,0,0,0,0,0,2,2,0,0
1865,2,0,0,0,0,1,0,1,2,0,0
1881,1,0,0,0,0,0,0,1,1,0,0
1883,1,0,0,0,0,0,0,1,1,0,0
1885,16,0,0,0,0,12,0,4,16,0,0
1887,3,0,0,0,0,2,1,0,3,0,0
1909,11,0,0,0,0,10,0,1,11,0,0
1914,5,4,0,0,0,0,1,0,1,4,1
1919,35,0,0,0,0,28,0,7,32,3,1
1922,1,0,0,0,0,0,0,1,1,0,0
1927,10,0,0,0,0,9,0,1,8,2,1
1933,1,0,0,0,0,0,0,1,1,0,0
1934,1,0,0,0,0,0,0,1,1,0,0
1942,6,0,0,0,0,3,0,3,5,1,1
1949,5,0,0,0,0,3,0,2,5,0,0
1952,1,1,0,0,0,0,0,0,0,1,1
1955,5,0,0,0,0,2,0,3,4,1,1
1960,1,0,0,1,0,0,0,0,1,0,0
1964,23,0,0,0,0,0,22,1,23,0,0
1966,1,0,0,0,0,0,0,1,1,0,0
1971,10,0,0,0,0,7,1,2,4,6,1
1972,1,0,0,0,0,1,0,0,1,0,0
1976,7,0,0,0,0,4,2,1,4,3,1
1977,5,0,0,0,3,1,0,1,5,0,0
1978,1,0,0,0,0,1,0,0,1,0,0
1988,1,0,0,0,0,0,0,1,1,0,0
1989,6,0,0,0,0,5,0,1,2,4,1
1998,4,0,0,0,0,3,0,1,4,0,0
2003,13,0,0,0,0,12,1,0,13,0,0
2011,2,0,0,0,0,1,0,1,2,0,0
2013,1,0,0,1,0,0,0,0,1,0,0
2025,2,0,0,0,0,0,0,2,2,0,0
2034,1,0,0,0,0,0,0,1,1,0,0
2040,3,0,0,0,0,0,0,3,3,0,0
2047,6,0,0,0,1,4,0,1,6,0,0
2060,2,0,0,0,0,2,0,0,0,2,1
2065,49,0,0,0,0,25,24,0,38,11,1
2072,1,0,0,0,0,0,0,1,1,0,0
2076,5,2,0,3,0,0,0,0,3,2,1
2081,2,0,0,0,0,2,0,0,2,0,0
2082,1,0,0,0,0,0,0,1,1,0,0
2084,2,0,0,0,0,1,0,1,1,1,1
2086,6,0,0,0,0,6,0,0,2,4,1
2097,5,3,2,0,0,0,0,0,2,3,1
2100,2,0,0,0,0,2,0,0,1,1,1
2102,16,0,0,0,0,2,14,0,16,0,0
2123,1,0,0,0,0,0,0,1,1,0,0
2124,1,0,0,0,0,0,0,1,1,0,0
2139,1,0,0,0,0,1,0,0,1,0,0
2157,1,0,0,0,0,0,0,1,1,0,0
2167,7,0,0,0,0,7,0,0,6,1,1
2169,15,0,0,0,0,0,8,7,15,0,0
2183,2,0,0,0,0,2,0,0,1,1,1
2187,1,0,0,0,0,0,0,1,1,0,0
2188,19,0,0,0,0,19,0,0,19,0,0
2196,1,0,0,0,0,1,0,0,0,1,1
2199,1,0,0,0,0,0,0,1,1,0,0
2202,1,0,0,0,0,1,0,0,1,0,0
2203,3,0,0,0,0,3,0,0,3,0,0
2205,22,0,0,2,0,8,11,1,19,3,1
2212,2,0,0,0,0,0,0,2,2,0,0
2218,2,0,0,0,0,0,0,2,2,0,0
2222,1,0,0,0,0,1,0,0,1,0,0
2235,2,0,0,0,0,1,0,1,1,1,1
2242,4,0,0,0,0,2,0,2,4,0,0
2261,4,0,0,0,0,3,0,1,3,1,1
2266,12,0,0,0,0,10,0,2,11,1,1
2269,1,0,0,0,0,0,0,1,1,0,0
2302,1,0,0,0,0,0,0,1,1,0,0
2311,1,0,0,0,0,1,0,0,0,1,1
2314,1,0,0,0,0,1,0,0,0,1,1
2315,2,0,0,0,0,1,0,1,2,0,0
2329,10,0,0,0,0,7,2,1,7,3,1
2332,21,0,0,0,0,20,0,1,16,5,1
2336,39,0,0,0,0,38,0,1,39,0,0
2366,1,0,0,0,0,0,0,1,1,0,0
2378,10,0,0,0,0,0,2,8,10,0,0
2380,23,0,0,0,0,11,0,12,23,0,0
2381,56,0,0,0,6,49,0,1,39,17,1
2390,2,0,0,0,0,0,0,2,2,0,0
2395,2,0,0,0,0,1,0,1,2,0,0
2403,1,0,0,0,0,0,0,1,1,0,0
2419,5,0,0,0,0,5,0,0,4,1,1
2420,1,0,0,0,0,0,0,1,1,0,0
2429,2,0,0,0,0,0,0,2,2,0,0
2430,1,0,0,0,0,1,0,0,1,0,0
2452,9,0,0,0,0,2,7,0,9,0,0
2453,1,0,0,0,0,1,0,0,1,0,0
2455,1,0,0,0,0,0,0,1,1,0,0
2468,10,0,0,0,0,4,4,2,10,0,0
2472,4,0,0,0,0,3,0,1,4,0,0
2477,30,0,0,0,0,5,24,1,30,0,0
2478,2,0,0,0,0,0,0,2,2,0,0
2489,1,0,0,0,0,0,0,1,1,0,0
2491,1,0,0,0,1,0,0,0,1,0,0
2493,4,0,0,0,0,2,0,2,4,0,0
2500,5,0,0,0,0,3,0,2,2,3,1
2506,2,0,0,0,0,2,0,0,1,1,1
2509,1,0,0,0,0,1,0,0,1,0,0
2511,17,0,0,0,0,0,17,0,17,0,0
2512,1,0,0,0,0,0,0,1,1,0,0
2521,4,0,0,0,0,2,1,1,4,0,0
2537,1,0,0,0,0,0,0,1,1,0,0
2539,1,0,0,0,0,0,0,1,1,0,0
2540,2,0,0,0,0,2,0,0,2,0,0
2542,1,0,0,0,0,1,0,0,1,0,0
2549,7,0,0,0,0,1,6,0,1,6,1
2552,6,0,0,3,0,2,0,1,6,0,0
2568,1,0,0,0,0,0,0,1,1,0,0
2569,33,0,0,3,20,9,0,1,32,1,1
2575,2,0,0,0,0,0,0,2,2,0,0
2581,2,0,0,0,0,0,2,0,2,0,0
2591,1,0,0,0,0,0,0,1,1,0,0
2595,1,0,0,0,0,0,0,1,1,0,0
2602,1,1,0,0,0,0,0,0,0,1,1
2614,3,0,0,0,0,2,0,1,3,0,0
2619,1,0,0,0,0,0,0,1,1,0,0
2621,5,0,0,0,0,3,0,2,5,0,0
2629,4,0,0,0,0,2,0,2,4,0,0
2630,2,0,0,0,0,0,0,2,2,0,0
2643,1,0,0,0,0,1,0,0,1,0,0
2648,1,0,0,0,0,0,0,1,1,0,0
2650,3,0,0,0,0,2,0,1,3,0,0
2655,1,0,0,0,0,0,0,1,1,0,0
2656,2,0,0,0,0,1,0,1,1,1,1
2665,4,0,0,0,0,4,0,0,0,4,1
2673,1,0,0,0,0,0,1,0,0,1,1
2677,3,0,0,0,0,3,0,0,2,1,1
2679,3,0,0,0,0,0,1,2,3,0,0
2682,1,0,0,0,0,0,0,1,1,0,0
2705,2,0,0,0,0,2,0,0,2,0,0
2708,6,0,0,0,0,4,0,2,6,0,0
2716,2,0,0,0,0,0,0,2,2,0,0
2720,13,0,0,0,0,10,0,3,13,0,0
2732,2,0,0,0,0,1,0,1,2,0,0
2733,1,0,0,0,0,0,0,1,1,0,0
2740,1,0,0,0,0,1,0,0,1,0,0
2746,9,0,0,0,0,9,0,0,9,0,0
2748,2,0,0,0,0,1,0,1,1,1,1
2750,1,0,0,0,0,0,0,1,1,0,0
2755,4,0,0,0,0,3,0,1,4,0,0
2756,1,0,0,0,0,0,0,1,1,0,0
2760,1,0,0,0,0,1,0,0,1,0,0
2782,2,0,0,0,0,2,0,0,0,2,1
2790,2,0,0,0,0,1,0,1,2,0,0
2793,2,0,0,0,0,0,0,2,2,0,0
2795,1,0,0,0,0,0,0,1,1,0,0
2796,1,0,0,0,0,1,0,0,1,0,0
2797,25,0,0,0,0,21,1,3,25,0,0
2798,5,0,0,0,0,4,0,1,5,0,0
2805,1,0,0,0,0,0,0,1,1,0,0
2809,1,0,0,0,0,1,0,0,1,0,0
2815,2,0,0,0,0,2,0,0,2,0,0
2819,1,0,0,0,0,0,0,1,1,0,0
2821,1,0,0,0,0,0,0,1,1,0,0
2825,1,0,0,0,0,1,0,0,0,1,1
2826,2,0,0,0,0,0,0,2,2,0,0
2835,3,0,0,0,0,3,0,0,3,0,0
2843,1,0,0,0,0,0,0,1,1,0,0
2857,4,0,0,0,1,2,0,1,4,0,0
2858,6,0,0,0,0,0,6,0,6,0,0
2864,2,0,0,0,0,2,0,0,2,0,0
2867,1,0,0,0,0,0,0,1,1,0,0
2874,3,0,0,0,0,2,0,1,3,0,0
2878,1,0,0,0,0,0,0,1,1,0,0
2879,1,0,0,0,0,0,0,1,1,0,0
2882,13,4,4,0,0,3,0,2,9,4,1
2886,1,0,0,0,0,0,0,1,1,0,0
2888,3,0,0,0,0,0,0,3,3,0,0
2889,3,0,0,0,0,3,0,0,3,0,0
2892,1,0,0,0,0,0,0,1,1,0,0
2904,1,0,0,0,0,0,0,1,1,0,0
2915,4,0,0,0,0,4,0,0,4,0,0
2926,10,0,0,0,0,0,9,1,10,0,0
2944,1,0,0,0,0,0,0,1,1,0,0
2951,24,0,0,0,0,24,0,0,23,1,1
2954,4,0,0,0,0,1,0,3,4,0,0
2956,1,0,0,0,0,0,0,1,1,0,0
2957,15,0,0,0,0,1,13,1,11,4,1
2967,3,0,0,0,0,3,0,0,1,2,1
2968,2,0,0,0,0,0,0,2,2,0,0
2978,2,0,0,0,0,2,0,0,2,0,0
2985,1,0,0,0,0,0,0,1,1,0,0
3010,1,0,0,0,0,1,0,0,1,0,0
3026,1,0,0,0,0,0,0,1,1,0,0
3027,16,0,0,0,0,4,7,5,13,3,1
3028,3,0,0,0,0,2,0,1,3,0,0
3032,1,0,0,0,0,0,0,1,1,0,0
3041,1,0,0,0,0,0,0,1,1,0,0
3047,1,0,0,0,0,0,0,1,1,0,0
3049,14,0,0,0,0,0,12,2,14,0,0
3055,2,0,0,0,0,1,0,1,2,0,0
3066,1,0,0,0,0,1,0,0,1,0,0
3068,1,0,0,0,0,1,0,0,1,0,0
3069,8,0,0,0,0,0,7,1,7,1,1
3079,1,0,0,0,0,1,0,0,1,0,0
3086,3,2,0,0,0,0,0,1,1,2,1
3102,14,0,0,2,0,0,10,2,14,0,0
3105,4,0,0,0,0,3,0,1,4,0,0
3113,4,0,0,0,0,0,4,0,4,0,0
3130,16,0,0,0,0,0,1,15,16,0,0
3139,1,0,0,0,0,0,0,1,1,0,0
3144,1,0,0,0,0,0,0,1,1,0,0
3154,6,0,0,0,0,0,0,6,6,0,0
3172,7,0,0,0,0,4,2,1,5,2,1
3194,11,0,0,0,0,11,0,0,6,5,1
3195,6,6,0,0,0,0,0,0,0,6,1
3201,1,0,0,0,0,0,0,1,1,0,0
3220,3,0,0,0,0,0,0,3,3,0,0
3226,5,0,0,0,0,0,0,5,5,0,0
3236,1,0,0,0,0,1,0,0,1,0,0
3239,2,0,0,0,0,2,0,0,2,0,0
3244,7,0,0,0,0,4,1,2,7,0,0
3250,2,0,0,0,0,2,0,0,2,0,0
3258,1,0,0,0,0,0,0,1,1,0,0
3260,1,0,0,0,0,1,0,0,1,0,0
3269,3,2,0,0,0,0,0,1,1,2,1
3273,8,0,0,0,0,0,0,8,8,0,0
3281,1,0,0,0,0,0,0,1,1,0,0
3300,6,0,0,0,0,4,0,2,6,0,0
3301,54,1,0,4,3,39,6,1,39,15,1
3304,1,0,0,0,0,0,0,1,1,0,0
3307,13,0,0,0,0,9,2,2,12,1,1
3310,1,0,0,0,0,0,0,1,1,0,0
3317,11,0,0,0,0,6,0,5,10,1,1
3320,2,0,0,0,0,0,1,1,2,0,0
3324,3,0,0,0,0,0,0,3,3,0,0
3326,1,0,0,0,0,0,0,1,1,0,0
3332,7,0,0,0,0,7,0,0,6,1,1
3335,2,0,0,0,0,0,0,2,2,0,0
3344,2,0,0,0,0,1,0,1,2,0,0
3355,1,0,0,0,0,0,0,1,1,0,0
3356,1,0,0,0,0,0,0,1,1,0,0
3358,21,0,0,0,0,18,0,3,15,6,1
3360,1,0,0,0,0,1,0,0,1,0,0
3367,1,0,0,0,0,0,0,1,1,0,0
3377,40,6,0,0,0,2,32,0,34,6,1
3383,11,0,0,0,0,8,0,3,10,1,1
3391,1,0,0,0,0,0,0,1,1,0,0
3393,1,0,0,0,0,0,0,1,1,0,0
3399,4,0,0,0,0,0,3,1,1,3,1
3415,1,0,0,0,0,1,0,0,1,0,0
3424,13,0,0,0,0,12,0,1,8,5,1
3427,3,0,0,0,0,2,0,1,3,0,0
3432,1,0,0,0,0,1,0,0,1,0,0
3438,2,0,0,0,0,2,0,0,2,0,0
3466,1,0,0,0,0,0,0,1,1,0,0
3472,6,0,0,0,0,4,0,2,5,1,1
3473,2,0,0,0,0,2,0,0,2,0,0
3475,1,0,0,0,0,0,0,1,1,0,0
3488,2,0,0,0,0,0,0,2,2,0,0
3494,14,0,0,0,0,0,13,1,1,13,1
3495,9,0,0,0,0,8,0,1,9,0,0
3497,1,0,0,0,0,0,0,1,1,0,0
3507,4,0,0,0,0,4,0,0,2,2,1
3524,7,0,0,0,0,0,0,7,7,0,0
3526,1,0,0,0,0,0,0,1,1,0,0
3527,1,0,0,0,0,1,0,0,1,0,0
3529,1,0,0,0,0,0,0,1,1,0,0
3531,2,0,0,0,0,0,0,2,2,0,0
3536,2,0,0,0,0,2,0,0,2,0,0
3549,1,0,0,0,0,0,0,1,1,0,0
3550,1,0,0,0,0,0,0,1,1,0,0
3553,2,0,0,0,0,0,0,2,2,0,0
3561,1,0,0,0,0,0,0,1,1,0,0
3563,1,0,0,0,0,0,0,1,1,0,0
3580,1,0,0,0,0,1,0,0,0,1,1
3588,4,0,0,0,0,0,0,4,4,0,0
3599,4,0,0,0,0,4,0,0,4,0,0
3615,3,1,0,1,0,1,0,0,2,1,1
3617,1,0,0,0,0,1,0,0,1,0,0
3619,1,0,0,0,0,1,0,0,1,0,0
3620,1,0,0,0,0,0,0,1,1,0,0
3624,8,0,0,0,0,1,0,7,7,1,1
3634,20,0,0,0,0,9,6,5,19,1,1
3642,2,0,0,0,0,0,0,2,2,0,0
3649,1,0,0,0,0,0,0,1,1,0,0
3652,6,0,0,0,0,4,1,1,4,2,1
3675,4,0,0,0,0,2,0,2,4,0,0
3688,1,0,0,0,0,0,0,1,1,0,0
3689,1,0,0,0,0,0,0,1,1,0,0
3690,3,0,0,0,0,1,0,2,3,0,0
3706,3,0,0,0,0,3,0,0,3,0,0
3711,4,1,1,1,0,1,0,0,3,1,1
3726,3,0,0,0,0,0,0,3,3,0,0
3728,321,197,98,15,0,4,5,2,120,201,1
3729,1,0,0,0,0,1,0,0,1,0,0
3744,1,0,0,0,0,0,0,1,1,0,0
3745,1,0,0,0,0,0,0,1,1,0,0
3749,2,0,0,0,0,0,0,2,2,0,0
3753,7,0,0,0,0,5,0,2,6,1,1
3759,1,0,0,0,0,0,0,1,1,0,0
3760,1,0,0,0,0,0,0,1,1,0,0
3761,1,0,0,0,0,0,0,1,1,0,0
3764,1,0,0,0,0,1,0,0,1,0,0
3768,1,0,0,0,0,0,0,1,1,0,0
3772,2,0,0,0,0,0,0,2,2,0,0
3780,4,0,0,0,0,3,0,1,3,1,1
