EID,WSBR,WSENDBR,BSBR,BSENDBR,COUNTBR,ENDBR
10587,,,1,,1,
10609,,,2,1,2,1
10644,,,1,,1,
10645,,,5,5,5,5
10647,1,1,,,1,1
10657,,,1,,1,
10660,2,,,,2,
10677,6,6,1,1,7,7
10695,1,1,,,1,1
10714,,,1,,1,
10735,,,2,,2,
10752,2,1,,,2,1
10828,,,12,,12,
10859,,,2,2,2,2
10887,2,,3,,5,
10899,1,,,,1,
10935,,,2,1,2,1
10971,,,2,,2,
10996,,,1,,1,
11014,,,1,,1,
11029,25,10,3,,28,10
11055,,,1,,1,
11125,1,,1,,2,
11164,1,1,,,1,1
11268,,,1,,1,
11285,2,,,,2,
11294,1,,,,1,
11296,,,90,26,90,26
11300,1,1,,,1,1
11340,,,2,2,2,2
11396,,,1,1,1,1
11398,1,,,,1,
11399,,,1,,1,
11460,1,1,,,1,1
11462,1,1,,,1,1
11508,,,1,1,1,1
11521,2,2,1,1,3,3
11553,,,1,,1,
11571,1,,,,1,
11580,1,1,,,1,1
11606,1,,,,1,
11627,2,,,,2,
11693,1,1,2,,3,1
11699,19,18,1,1,20,19
11701,1,1,,,1,1
11708,,,2,,2,
11717,,,1,1,1,1
11735,,,1,1,1,1
11778,1,,,,1,
11815,2,,,,2,
11829,1,,,,1,
11852,,,1,1,1,1
11858,,,2,1,2,1
11860,1,,,,1,
11876,1,,,,1,
11899,,,1,1,1,1
12040,,,1,,1,
12046,,,1,,1,
12073,1,,,,1,
12089,6,2,1,,7,2
12098,,,1,,1,
12101,1,1,,,1,1
12108,2,1,,,2,1
12113,,,1,1,1,1
12153,4,4,1,,5,4
12160,1,1,,,1,1
12168,3,,,,3,
12218,,,1,,1,
12220,,,1,,1,
12221,1,,,,1,
12235,1,,,,1,
12253,,,1,,1,
12276,,,1,,1,
12278,,,1,1,1,1
12288,1,1,,,1,1
12317,,,1,1,1,1
12322,,,2,,2,
12335,1,,,,1,
12340,,,1,,1,
12346,,,1,1,1,1
12355,1,,,,1,
12376,1,,,,1,
12408,,,11,2,11,2
12433,,,2,,2,
12434,,,1,1,1,1
12449,1,1,,,1,1
12458,6,5,,,6,5
12461,,,1,1,1,1
12482,1,,,,1,
12508,,,2,,2,
12532,,,8,,8,
12558,1,,,,1,
12563,,,1,,1,
12577,,,1,,1,
12660,2,,,,2,
12671,1,,,,1,
12692,,,1,1,1,1
12792,,,2,,2,
12798,,,1,1,1,1
12817,,,1,1,1,1
12845,1,1,,,1,1
12857,2,1,,,2,1
12864,,,1,,1,
12910,,,5,5,5,5
12933,,,1,1,1,1
12941,,,1,,1,
12985,,,1,1,1,1
13012,1,,1,,2,
13029,,,1,,1,
13031,,,1,1,1,1
13072,1,,,,1,
13085,2,2,,,2,2
13120,,,1,,1,
13141,,,1,,1,
13148,,,1,,1,
13175,,,2,1,2,1
13190,,,1,1,1,1
13196,3,,,,3,
13211,,,2,2,2,2
13221,,,1,,1,
13235,,,1,,1,
13249,1,1,,,1,1
13280,,,1,1,1,1
13299,,,1,,1,
13308,,,2,,2,
13349,12,11,,,12,11
13376,,,1,1,1,1
13461,,,1,,1,
13464,1,1,1,1,2,2
13470,3,2,,,3,2
13559,,,4,4,4,4
13564,1,1,,,1,1
13572,,,1,,1,
13583,,,1,,1,
13585,,,1,,1,
13622,,,2,1,2,1
13624,,,5,,5,
13625,,,1,,1,
13637,2,1,,,2,1
13675,1,1,1,,2,1
13684,,,1,,1,
13724,1,1,,,1,1
13750,,,2,,2,
13799,,,1,1,1,1
13804,1,,,,1,
13830,,,2,2,2,2
13833,1,1,1,1,2,2
13853,,,1,,1,
13859,,,1,,1,
13905,,,2,,2,
13943,,,1,,1,
13957,1,1,,,1,1
13984,,,1,1,1,1
13991,1,,,,1,
14032,,,1,1,1,1
14033,1,,,,1,
14055,1,1,,,1,1
14086,,,2,2,2,2
14164,,,2,1,2,1
14170,,,1,,1,
14175,,,1,1,1,1
14201,,,2,2,2,2
14274,1,1,,,1,1
14288,1,,,,1,
14309,,,1,,1,
14369,1,1,,,1,1
14383,1,,,,1,
14398,2,2,,,2,2
14401,1,,3,,4,
14460,,,1,,1,
14482,1,1,,,1,1
14510,1,,,,1,
14521,2,2,,,2,2
14523,,,1,1,1,1
14526,5,3,,,5,3
14582,1,1,,,1,1
14588,1,1,,,1,1
14590,,,1,,1,
14599,9,5,,,9,5
14645,,,1,,1,
14677,,,1,1,1,1
14683,,,1,1,1,1
14758,1,,,,1,
14780,1,,,,1,
14810,2,1,,,2,1
14819,,,1,1,1,1
14839,2,2,,,2,2
14864,,,1,,1,
14908,,,1,1,1,1
14976,1,,,,1,
14977,,,1,1,1,1
14988,,,6,6,6,6
15041,,,1,,1,
15049,,,4,3,4,3
15070,1,,,,1,
15084,5,5,1,,6,5
15092,1,,,,1,
15101,,,1,,1,
15132,,,1,,1,
15160,,,3,2,3,2
15164,,,1,,1,
15171,,,1,1,1,1
15243,1,1,1,1,2,2
15263,1,,1,,2,
15322,1,,,,1,
15367,,,13,,13,
15398,,,2,1,2,1
15423,1,,,,1,
15426,2,2,1,1,3,3
15446,1,,,,1,
15478,,,1,,1,
15489,,,1,1,1,1
15526,1,1,,,1,1
15560,,,1,,1,
15653,,,2,2,2,2
15685,1,1,,,1,1
15771,,,1,1,1,1
15808,1,1,,,1,1
15888,,,1,,1,
15915,,,1,,1,
15923,,,1,,1,
15994,2,1,,,2,1
16000,1,,,,1,
16009,1,,1,,2,
16041,1,1,,,1,1
16078,,,1,1,1,1
16131,1,,1,,2,
16162,1,1,,,1,1
16167,,,1,,1,
16185,7,2,,,7,2
16201,,,1,1,1,1
16206,2,,,,2,
16220,,,1,,1,
16229,2,1,,,2,1
16314,36,22,2,1,38,23
16332,,,1,,1,
16386,,,1,1,1,1
16409,,,2,2,2,2
16416,,,1,1,1,1
16438,,,1,1,1,1
16457,,,1,,1,
16534,,,2,1,2,1
16554,,,1,,1,
16567,5,5,,,5,5
16593,7,7,,,7,7
16595,,,1,1,1,1
16625,,,2,2,2,2
16738,,,1,,1,
16740,,,2,1,2,1
16741,13,5,,,13,5
16800,,,1,,1,
16820,,,2,,2,
16847,,,1,,1,
16862,,,1,1,1,1
16876,1,,,,1,
16900,,,1,,1,
16918,1,,,,1,
16944,,,1,,1,
16954,,,1,,1,
16963,,,2,2,2,2
16998,,,7,3,7,3
17006,,,1,,1,
17016,,,1,,1,
17034,1,,1,,2,
17085,2,1,,,2,1
17086,,,4,4,4,4
17188,1,,,,1,
17197,6,3,,,6,3
17200,1,1,,,1,1
17229,,,1,1,1,1
17230,1,1,,,1,1
17232,1,,,,1,
17297,,,9,5,9,5
17326,1,1,,,1,1
17337,,,1,,1,
17339,,,3,,3,
17348,,,1,,1,
17352,,,1,,1,
17355,2,2,4,4,6,6
17403,,,1,,1,
17420,,,44,24,44,24
17426,,,1,,1,
17433,,,1,,1,
17512,,,1,1,1,1
17583,,,1,1,1,1
17598,,,1,1,1,1
17694,1,,,,1,
17711,1,1,,,1,1
17795,,,2,2,2,2
17836,,,1,,1,
17844,2,2,1,,3,2
17846,1,,,,1,
17866,1,1,,,1,1
17877,1,,,,1,
17902,,,1,,1,
18021,,,1,,1,
18032,1,,,,1,
18043,,,1,1,1,1
18063,1,,,,1,
18066,,,1,,1,
18072,,,1,1,1,1
18075,,,1,1,1,1
18078,5,4,1,,6,4
18079,,,2,1,2,1
18125,,,1,,1,
18151,1,1,,,1,1
18176,,,3,3,3,3
18223,,,1,,1,
18265,,,1,,1,
18284,,,1,1,1,1
18325,,,2,,2,
18377,1,,,,1,
18379,28,1,3,,31,1
18462,,,2,2,2,2
18480,3,,,,3,
18516,1,1,,,1,1
18539,,,1,1,1,1
18578,,,7,7,7,7
18594,,,1,,1,
18599,1,1,,,1,1
18618,,,5,5,5,5
18620,,,4,3,4,3
18670,1,1,1,,2,1
18738,2,,,,2,
18788,1,,,,1,
18816,1,,,,1,
18875,1,1,,,1,1
18937,5,5,1,1,6,6
19104,,,1,,1,
19112,1,,,,1,
19217,,,4,2,4,2
19252,1,1,,,1,1
19268,,,1,1,1,1
19336,1,,,,1,
19347,,,2,,2,
19349,,,4,,4,
19362,,,2,1,2,1
19401,1,,,,1,
19427,1,1,,,1,1
19467,1,,,,1,
19468,1,,,,1,
19531,,,2,1,2,1
19544,,,9,7,9,7
19614,,,3,3,3,3
19656,,,1,,1,
19661,,,1,1,1,1
19712,,,1,,1,
19714,1,,,,1,
19715,,,1,,1,
19746,,,7,7,7,7
19747,,,1,1,1,1
19828,,,3,2,3,2
19829,,,4,1,4,1
19836,,,1,1,1,1
19837,23,23,,,23,23
19874,,,2,,2,
19957,,,1,1,1,1
19978,1,,2,,3,
19982,,,2,,2,
19992,,,2,,2,
20060,1,1,,,1,1
20067,,,1,,1,
20098,10,4,,,10,4
20146,,,1,,1,
20148,,,1,1,1,1
20204,,,1,1,1,1
20218,5,5,,,5,5
20245,,,6,6,6,6
20258,,,1,1,1,1
20259,1,,,,1,
20287,,,2,,2,
20364,,,2,2,2,2
20384,,,1,,1,
20386,,,1,,1,
20392,1,1,,,1,1
20400,13,,,,13,
20406,,,1,1,1,1
20417,1,,,,1,
20423,,,2,,2,
20457,1,,,,1,
20467,,,1,1,1,1
20489,,,15,14,15,14
20520,,,1,1,1,1
20546,2,1,,,2,1
20599,,,1,,1,
20610,2,2,,,2,2
20623,,,1,1,1,1
20635,,,1,1,1,1
20676,,,1,,1,
20709,,,1,1,1,1
20722,,,1,,1,
20752,1,,,,1,
20755,1,,1,,2,
20758,1,1,,,1,1
20761,,,1,1,1,1
20765,2,,,,2,
20771,1,1,,,1,1
20777,,,1,1,1,1
20807,13,2,1,1,14,3
20815,1,,,,1,
20818,2,,1,,3,
20834,,,1,1,1,1
20859,,,1,1,1,1
20861,1,1,1,,2,1
20867,,,1,1,1,1
20895,,,1,,1,
20965,1,,1,,2,
21010,,,1,1,1,1
21109,1,1,,,1,1
21162,2,1,,,2,1
21190,,,1,1,1,1
21267,2,,,,2,
21271,,,8,,8,
21278,5,2,4,1,9,3
21280,,,1,1,1,1
21326,,,1,,1,
21336,3,2,,,3,2
21357,,,2,2,2,2
21380,1,,,,1,
21386,,,8,,8,
21394,1,,,,1,
21527,,,1,1,1,1
21593,,,1,,1,
21622,1,,,,1,
21635,5,1,2,1,7,2
21667,1,,,,1,
21672,1,1,,,1,1
21734,,,1,1,1,1
21810,,,1,,1,
21814,1,,,,1,
21829,2,1,,,2,1
21832,,,1,1,1,1
21833,,,1,1,1,1
21839,,,1,,1,
21840,,,1,1,1,1
21847,,,1,,1,
21897,,,1,,1,
21905,,,1,1,1,1
21961,,,2,,2,
21967,,,1,,1,
21970,,,7,1,7,1
21994,1,1,,,1,1
22011,1,,,,1,
22014,1,1,,,1,1
22020,,,4,2,4,2
22049,1,,1,1,2,1
22055,1,1,,,1,1
22088,1,1,,,1,1
22103,2,,,,2,
22115,,,1,,1,
22134,,,1,,1,
22136,1,1,,,1,1
22137,,,2,1,2,1
22158,,,1,,1,
22182,,,2,,2,
22223,,,3,,3,
22258,,,1,,1,
22308,,,1,1,1,1
22318,,,1,,1,
22321,1,,,,1,
22362,1,1,,,1,1
22381,1,1,,,1,1
22385,,,1,,1,
22436,,,1,,1,
22442,1,1,,,1,1
22498,1,,,,1,
22504,1,1,,,1,1
22541,,,4,4,4,4
22549,,,1,1,1,1
22560,,,1,1,1,1
22564,,,1,1,1,1
22572,,,5,,5,
22573,1,1,,,1,1
22603,,,1,,1,
22641,2,,1,,3,
22827,,,1,,1,
22865,3,2,,,3,2
22867,,,1,1,1,1
22868,1,,,,1,
22898,1,,1,1,2,1
22899,1,1,,,1,1
22912,2,,,,2,
22924,2,1,1,1,3,2
22931,5,2,,,5,2
22940,,,6,2,6,2
22946,9,8,,,9,8
22959,,,6,6,6,6
22960,,,2,,2,
22995,10,4,1,1,11,5
23030,,,1,1,1,1
23050,1,,,,1,
23065,,,1,,1,
23092,1,,2,,3,
23135,2,,,,2,
23167,,,5,5,5,5
23180,1,,,,1,
23264,1,,2,1,3,1
23299,,,1,1,1,1
23315,,,1,,1,
23412,,,1,1,1,1
23419,1,1,,,1,1
23470,1,,,,1,
23474,,,1,1,1,1
23486,,,1,1,1,1
23555,9,5,1,1,10,6
23577,,,1,1,1,1
23582,2,2,7,3,9,5
23589,25,24,20,9,45,33
23671,,,1,1,1,1
23689,1,1,,,1,1
23742,1,,,,1,
23761,1,1,,,1,1
23763,3,,1,,4,
23818,,,2,2,2,2
23834,1,1,,,1,1
23911,,,1,,1,
23918,,,3,,3,
23919,30,8,,,30,8
23928,,,3,,3,
23944,,,5,3,5,3
23986,,,1,1,1,1
24019,1,1,,,1,1
24054,1,1,,,1,1
24081,,,1,1,1,1
24098,,,1,1,1,1
24104,,,1,1,1,1
24159,1,,,,1,
24173,,,1,1,1,1
24233,,,4,1,4,1
24252,1,1,,,1,1
24274,3,,,,3,
24298,1,,,,1,
24299,,,1,,1,
24309,1,1,,,1,1
24311,1,,,,1,
24321,16,7,1,,17,7
24322,,,1,,1,
24330,,,1,,1,
24342,2,2,10,10,12,12
24353,1,1,,,1,1
24389,3,,,,3,
24398,1,,,,1,
24402,1,,,,1,
24408,,,1,1,1,1
24431,,,2,1,2,1
24460,,,2,2,2,2
24589,1,,,,1,
24622,,,2,2,2,2
24630,2,2,,,2,2
24691,3,,2,,5,
24695,,,1,,1,
24711,3,,2,,5,
24754,16,13,21,12,37,25
24780,,,1,1,1,1
24795,,,1,,1,
24812,,,1,,1,
24823,4,2,,,4,2
24863,,,2,,2,
24877,,,1,,1,
24913,1,,,,1,
24935,,,1,1,1,1
24941,,,1,,1,
24954,1,1,,,1,1
24978,4,1,2,1,6,2
25002,,,1,,1,
25070,1,1,,,1,1
25084,2,,,,2,
25090,3,,,,3,
25113,,,1,1,1,1
25141,,,1,,1,
25143,1,,,,1,
25144,,,1,,1,
25157,,,1,,1,
25252,,,1,1,1,1
25262,1,1,1,,2,1
25317,,,4,2,4,2
25332,1,,,,1,
25358,,,3,2,3,2
25362,,,1,,1,
25372,1,,,,1,
25384,,,1,,1,
25464,,,1,,1,
25480,,,2,1,2,1
25483,,,1,1,1,1
25507,,,1,1,1,1
25510,,,1,,1,
25515,,,3,,3,
25597,1,1,,,1,1
25608,,,1,,1,
25611,26,,,,26,
25648,2,2,,,2,2
25693,2,1,,,2,1
25840,,,1,,1,
25906,2,1,,,2,1
25940,1,1,,,1,1
25952,,,2,1,2,1
25990,1,,,,1,
26007,1,,,,1,
26023,1,1,,,1,1
26029,,,1,,1,
26031,,,1,,1,
26039,2,2,,,2,2
26053,,,1,,1,
26087,2,,,,2,
26096,,,1,,1,
26140,1,1,,,1,1
26189,2,2,1,,3,2
26194,,,1,,1,
26219,9,4,,,9,4
26230,1,,,,1,
26268,14,3,1,,15,3
26272,,,1,1,1,1
26304,,,11,6,11,6
26326,3,,2,1,5,1
26343,,,1,1,1,1
26348,3,2,,,3,2
26364,1,,,,1,
26376,,,2,2,2,2
26384,1,1,,,1,1
26389,1,1,,,1,1
26414,,,1,,1,
26439,,,1,1,1,1
26451,,,2,2,2,2
26458,,,1,,1,
26501,,,1,1,1,1
26514,1,,,,1,
26528,,,1,1,1,1
26531,,,1,1,1,1
26532,,,1,,1,
26646,1,,,,1,
26686,,,1,,1,
26688,,,7,5,7,5
26720,1,,1,,2,
26735,,,1,,1,
26754,,,1,,1,
26776,,,2,2,2,2
26796,2,,,,2,
26800,,,1,1,1,1
26828,,,1,,1,
26876,5,,,,5,
26957,,,1,,1,
26960,,,8,7,8,7
26974,,,1,1,1,1
27006,,,2,2,2,2
27023,1,1,,,1,1
27039,1,,,,1,
27102,1,,,,1,
27108,1,,,,1,
27119,,,1,,1,
27163,3,2,,,3,2
27186,,,1,1,1,1
27193,3,1,,,3,1
27207,,,2,1,2,1
27232,,,5,,5,
27259,,,1,,1,
27326,,,1,,1,
27372,,,1,,1,
27388,,,1,,1,
27401,2,2,,,2,2
27403,1,,,,1,
27424,,,1,,1,
27440,1,,,,1,
27451,,,1,,1,
27464,1,,2,1,3,1
27484,,,1,,1,
27490,,,1,,1,
27493,,,2,1,2,1
27497,,,1,,1,
27519,,,2,2,2,2
27576,2,2,1,,3,2
27703,3,2,,,3,2
27707,1,1,1,1,2,2
27714,,,2,,2,
27719,,,1,1,1,1
27787,1,,,,1,
27855,,,1,,1,
27869,5,,,,5,
27905,,,1,1,1,1
27926,,,1,,1,
27945,1,,1,1,2,1
27965,1,,,,1,
28007,,,1,1,1,1
28010,,,1,,1,
28034,1,,,,1,
28055,,,1,1,1,1
28072,,,3,2,3,2
28117,1,,,,1,
28123,1,,,,1,
28138,1,1,,,1,1
28146,1,1,3,,4,1
28159,,,3,3,3,3
28205,4,1,1,,5,1
28318,,,1,,1,
28333,,,2,,2,
28348,3,1,,,3,1
28368,17,3,3,,20,3
28447,,,3,,3,
28465,1,,,,1,
28469,1,,,,1,
28536,,,1,1,1,1
28538,,,3,1,3,1
28593,,,1,1,1,1
28600,,,1,1,1,1
28618,1,,1,,2,
28657,1,,,,1,
28719,1,,1,,2,
28724,1,,1,,2,
28736,,,3,3,3,3
28744,,,1,,1,
28788,,,2,,2,
28814,,,1,1,1,1
28849,,,1,,1,
28892,,,2,2,2,2
28893,1,,,,1,
28929,,,3,2,3,2
28958,,,5,5,5,5
28974,,,1,1,1,1
29008,2,,,,2,
29020,,,14,1,14,1
29032,1,,,,1,
29041,,,1,,1,
29052,,,1,,1,
29060,,,1,,1,
29079,,,1,1,1,1
29106,,,2,,2,
29108,,,1,1,1,1
29119,,,1,1,1,1
29151,2,1,1,1,3,2
29177,14,11,1,1,15,12
29241,,,1,,1,
29268,,,1,,1,
29272,,,4,,4,
29275,1,1,,,1,1
29328,1,,,,1,
29342,,,1,1,1,1
29361,4,,,,4,
29387,,,1,1,1,1
29399,17,3,9,2,26,5
29400,,,6,2,6,2
29404,,,3,2,3,2
29416,,,1,1,1,1
29470,,,7,,7,
29507,,,1,,1,
29529,,,1,1,1,1
29645,1,,1,,2,
29661,,,1,1,1,1
29676,,,1,1,1,1
29700,3,1,1,,4,1
29703,,,1,,1,
29727,,,1,1,1,1
29758,,,1,,1,
29771,,,2,1,2,1
