EID,BR_COUNT,NORMAL_BR,END_BR,WS_BR,BS_BR,BS_NORMAL_BR,BS_END_BR,WS_NORMAL_BR,WS_END_BR,BRLIVE,BS_END_BR_LIVE,WS_END_BR_LIVE,BRLIVE_AVG,BS_END_BR_LIVE_AVG,WS_END_BR_LIVE_AVG
2322,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
2326,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
2329,1,1,0,1,0,0,0,1,0,,,,,,
2333,1,1,0,0,1,1,0,0,0,,,,,,
2368,2,2,0,0,2,2,0,0,0,,,,,,
2381,3,1,2,0,3,1,2,0,0,13.0,13.0,0.0,6.5,6.5,
2418,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
2429,1,1,0,1,0,0,0,1,0,,,,,,
2430,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
2455,1,1,0,0,1,1,0,0,0,,,,,,
2468,2,2,0,0,2,2,0,0,0,,,,,,
2521,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
2533,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
2569,2,0,2,2,0,0,0,0,2,6.0,0.0,6.0,3.0,,3.0
2581,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
2604,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
2610,2,1,1,0,2,1,1,0,0,21.0,21.0,0.0,21.0,21.0,
2614,1,1,0,1,0,0,0,1,0,,,,,,
2618,4,2,2,1,3,2,1,0,1,11.0,8.0,3.0,5.5,8.0,3.0
2656,1,1,0,0,1,1,0,0,0,,,,,,
2670,1,1,0,1,0,0,0,1,0,,,,,,
2677,1,1,0,1,0,0,0,1,0,,,,,,
2696,1,1,0,0,1,1,0,0,0,,,,,,
2705,1,1,0,1,0,0,0,1,0,,,,,,
2707,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
2755,9,1,8,8,1,0,1,1,7,40.0,5.0,35.0,5.0,5.0,5.0
2790,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
2799,2,2,0,0,2,2,0,0,0,,,,,,
2825,1,1,0,0,1,1,0,0,0,,,,,,
2878,2,0,2,2,0,0,0,0,2,1.0,0.0,1.0,0.5,,0.5
2882,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
2928,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
2944,2,0,2,0,2,0,2,0,0,6.0,6.0,0.0,3.0,3.0,
2970,1,1,0,0,1,1,0,0,0,,,,,,
2971,6,1,5,0,6,1,5,0,0,9.0,9.0,0.0,1.8,1.8,
2978,1,1,0,1,0,0,0,1,0,,,,,,
2985,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
2994,1,1,0,0,1,1,0,0,0,,,,,,
2999,1,1,0,0,1,1,0,0,0,,,,,,
3010,3,3,0,0,3,3,0,0,0,,,,,,
3037,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
3049,1,1,0,1,0,0,0,1,0,,,,,,
3069,1,1,0,1,0,0,0,1,0,,,,,,
3105,2,2,0,1,1,1,0,1,0,,,,,,
3121,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
3134,2,1,1,1,1,0,1,1,0,5.0,5.0,0.0,5.0,5.0,
3163,3,1,2,3,0,0,0,1,2,2.0,0.0,2.0,1.0,,1.0
3226,1,1,0,1,0,0,0,1,0,,,,,,
3269,1,1,0,0,1,1,0,0,0,,,,,,
3317,9,7,2,0,9,7,2,0,0,3.0,3.0,0.0,1.5,1.5,
3321,2,2,0,0,2,2,0,0,0,,,,,,
3367,2,0,2,0,2,0,2,0,0,25.0,25.0,0.0,12.5,12.5,
3419,1,1,0,0,1,1,0,0,0,,,,,,
3424,2,1,1,0,2,1,1,0,0,3.0,3.0,0.0,3.0,3.0,
3524,1,1,0,1,0,0,0,1,0,,,,,,
3544,6,0,6,0,6,0,6,0,0,65.0,65.0,0.0,10.833333333333334,10.833333333333334,
3609,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
3624,5,5,0,5,0,0,0,5,0,,,,,,
3634,1,1,0,1,0,0,0,1,0,,,,,,
3649,4,4,0,4,0,0,0,4,0,,,,,,
3745,1,1,0,1,0,0,0,1,0,,,,,,
3751,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
3780,2,2,0,0,2,2,0,0,0,,,,,,
3783,1,1,0,0,1,1,0,0,0,,,,,,
3804,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
3888,5,5,0,5,0,0,0,5,0,,,,,,
3889,2,1,1,1,1,1,0,0,1,2.0,0.0,2.0,2.0,,2.0
3894,9,4,5,0,9,4,5,0,0,27.0,27.0,0.0,5.4,5.4,
3899,1,0,1,1,0,0,0,0,1,9.0,0.0,9.0,9.0,,9.0
3959,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
3975,1,1,0,0,1,1,0,0,0,,,,,,
4015,3,3,0,0,3,3,0,0,0,,,,,,
4031,2,2,0,2,0,0,0,2,0,,,,,,
4046,1,1,0,1,0,0,0,1,0,,,,,,
4091,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
4102,1,1,0,0,1,1,0,0,0,,,,,,
4150,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
4160,1,1,0,0,1,1,0,0,0,,,,,,
4173,1,1,0,1,0,0,0,1,0,,,,,,
4263,2,0,2,2,0,0,0,0,2,5.0,0.0,5.0,2.5,,2.5
4344,1,1,0,0,1,1,0,0,0,,,,,,
4362,9,5,4,9,0,0,0,5,4,20.0,0.0,20.0,5.0,,5.0
4433,389,357,32,353,36,34,2,323,30,30.0,2.0,28.0,0.9375,1.0,0.9333333333333333
4438,1,1,0,0,1,1,0,0,0,,,,,,
4439,5,5,0,4,1,1,0,4,0,,,,,,
4442,1,1,0,0,1,1,0,0,0,,,,,,
4478,2,1,1,2,0,0,0,1,1,10.0,0.0,10.0,10.0,,10.0
4536,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
4569,3,3,0,3,0,0,0,3,0,,,,,,
4595,1,1,0,0,1,1,0,0,0,,,,,,
4626,1,1,0,0,1,1,0,0,0,,,,,,
4650,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
4674,1,1,0,0,1,1,0,0,0,,,,,,
4675,1,1,0,0,1,1,0,0,0,,,,,,
4685,1,1,0,0,1,1,0,0,0,,,,,,
4747,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
4794,1,1,0,0,1,1,0,0,0,,,,,,
4804,2,0,2,2,0,0,0,0,2,10.0,0.0,10.0,5.0,,5.0
4810,1,1,0,0,1,1,0,0,0,,,,,,
4828,1,1,0,1,0,0,0,1,0,,,,,,
4912,1,1,0,0,1,1,0,0,0,,,,,,
4923,1,1,0,0,1,1,0,0,0,,,,,,
4925,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
4960,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
5003,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
5044,1,1,0,1,0,0,0,1,0,,,,,,
5092,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
5135,1,1,0,0,1,1,0,0,0,,,,,,
5170,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
5183,1,1,0,0,1,1,0,0,0,,,,,,
5231,2,1,1,2,0,0,0,1,1,2.0,0.0,2.0,2.0,,2.0
5257,2,2,0,0,2,2,0,0,0,,,,,,
5298,4,1,3,4,0,0,0,1,3,6.0,0.0,6.0,2.0,,2.0
5305,1,1,0,0,1,1,0,0,0,,,,,,
5329,3,3,0,3,0,0,0,3,0,,,,,,
5336,2,0,2,0,2,0,2,0,0,5.0,5.0,0.0,2.5,2.5,
5349,1,1,0,1,0,0,0,1,0,,,,,,
5350,1,1,0,1,0,0,0,1,0,,,,,,
5363,1,1,0,0,1,1,0,0,0,,,,,,
5485,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
5495,1,0,1,1,0,0,0,0,1,13.0,0.0,13.0,13.0,,13.0
5522,2,2,0,0,2,2,0,0,0,,,,,,
5544,1,1,0,0,1,1,0,0,0,,,,,,
5545,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
5584,1,1,0,0,1,1,0,0,0,,,,,,
5592,2,2,0,0,2,2,0,0,0,,,,,,
5619,3,2,1,1,2,1,1,1,0,7.0,7.0,0.0,7.0,7.0,
5621,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
5632,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
5658,2,0,2,2,0,0,0,0,2,9.0,0.0,9.0,4.5,,4.5
5687,4,4,0,4,0,0,0,4,0,,,,,,
5697,2,2,0,1,1,1,0,1,0,,,,,,
5723,8,5,3,0,8,5,3,0,0,11.0,11.0,0.0,3.6666666666666665,3.6666666666666665,
5727,1,1,0,1,0,0,0,1,0,,,,,,
5779,8,0,8,0,8,0,8,0,0,107.0,107.0,0.0,13.375,13.375,
5795,4,1,3,2,2,1,1,0,2,5.0,1.0,4.0,1.6666666666666667,1.0,2.0
5797,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
5823,1,1,0,0,1,1,0,0,0,,,,,,
5835,3,3,0,0,3,3,0,0,0,,,,,,
5865,1,1,0,1,0,0,0,1,0,,,,,,
5891,1,1,0,0,1,1,0,0,0,,,,,,
5901,1,1,0,0,1,1,0,0,0,,,,,,
5907,1,0,1,1,0,0,0,0,1,6.0,0.0,6.0,6.0,,6.0
5939,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
5986,9,7,2,5,4,3,1,4,1,5.0,4.0,1.0,2.5,4.0,1.0
5993,1,1,0,1,0,0,0,1,0,,,,,,
6076,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
6090,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
6095,1,1,0,0,1,1,0,0,0,,,,,,
6102,5,5,0,5,0,0,0,5,0,,,,,,
6104,6,3,3,0,6,3,3,0,0,32.0,32.0,0.0,10.666666666666666,10.666666666666666,
6246,3,1,2,0,3,1,2,0,0,46.0,46.0,0.0,23.0,23.0,
6254,1,1,0,1,0,0,0,1,0,,,,,,
6262,1,1,0,1,0,0,0,1,0,,,,,,
6272,1,1,0,0,1,1,0,0,0,,,,,,
6286,1,0,1,0,1,0,1,0,0,9.0,9.0,0.0,9.0,9.0,
6303,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
6325,1,1,0,0,1,1,0,0,0,,,,,,
6326,2,1,1,0,2,1,1,0,0,9.0,9.0,0.0,9.0,9.0,
6333,1,0,1,1,0,0,0,0,1,4.0,0.0,4.0,4.0,,4.0
6473,3,1,2,1,2,1,1,0,1,19.0,12.0,7.0,9.5,12.0,7.0
6480,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
6491,1,1,0,1,0,0,0,1,0,,,,,,
6502,1,1,0,0,1,1,0,0,0,,,,,,
6507,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
6525,17,14,3,0,17,14,3,0,0,14.0,14.0,0.0,4.666666666666667,4.666666666666667,
6533,4,1,3,0,4,1,3,0,0,15.0,15.0,0.0,5.0,5.0,
6568,1,1,0,1,0,0,0,1,0,,,,,,
6580,2,1,1,0,2,1,1,0,0,5.0,5.0,0.0,5.0,5.0,
6584,3,0,3,0,3,0,3,0,0,14.0,14.0,0.0,4.666666666666667,4.666666666666667,
6587,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
6668,1,1,0,1,0,0,0,1,0,,,,,,
6686,5,5,0,0,5,5,0,0,0,,,,,,
6691,21,21,0,7,14,14,0,7,0,,,,,,
6692,4,3,1,4,0,0,0,3,1,2.0,0.0,2.0,2.0,,2.0
6701,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
6714,1,0,1,1,0,0,0,0,1,6.0,0.0,6.0,6.0,,6.0
6715,1,0,1,1,0,0,0,0,1,7.0,0.0,7.0,7.0,,7.0
6743,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
6747,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
6758,69,25,44,69,0,0,0,25,44,232.0,0.0,232.0,5.2727272727272725,,5.2727272727272725
6823,1,0,1,0,1,0,1,0,0,3.0,3.0,0.0,3.0,3.0,
6827,6,0,6,6,0,0,0,0,6,15.0,0.0,15.0,2.5,,2.5
6828,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
6849,3,1,2,0,3,1,2,0,0,8.0,8.0,0.0,4.0,4.0,
6868,4,1,3,0,4,1,3,0,0,19.0,19.0,0.0,6.333333333333333,6.333333333333333,
6872,1,0,1,1,0,0,0,0,1,7.0,0.0,7.0,7.0,,7.0
6989,1,1,0,1,0,0,0,1,0,,,,,,
6998,2,1,1,2,0,0,0,1,1,3.0,0.0,3.0,3.0,,3.0
7002,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
7027,1,1,0,0,1,1,0,0,0,,,,,,
7053,1,1,0,1,0,0,0,1,0,,,,,,
7067,4,4,0,0,4,4,0,0,0,,,,,,
7118,1,1,0,1,0,0,0,1,0,,,,,,
7142,1,1,0,1,0,0,0,1,0,,,,,,
7248,3,2,1,1,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,
7252,6,3,3,2,4,3,1,0,2,23.0,8.0,15.0,7.666666666666667,8.0,7.5
7268,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
7319,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
7334,1,1,0,1,0,0,0,1,0,,,,,,
7339,4,4,0,0,4,4,0,0,0,,,,,,
7371,1,1,0,1,0,0,0,1,0,,,,,,
7408,1,1,0,0,1,1,0,0,0,,,,,,
7491,1,0,1,0,1,0,1,0,0,9.0,9.0,0.0,9.0,9.0,
7503,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
7511,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
7533,3,3,0,0,3,3,0,0,0,,,,,,
7536,1,0,1,0,1,0,1,0,0,9.0,9.0,0.0,9.0,9.0,
7576,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
7603,1,1,0,0,1,1,0,0,0,,,,,,
7617,6,5,1,1,5,5,0,0,1,0.0,0.0,0.0,0.0,,0.0
7637,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
7675,2,1,1,0,2,1,1,0,0,3.0,3.0,0.0,3.0,3.0,
7685,1,1,0,0,1,1,0,0,0,,,,,,
7697,1,1,0,0,1,1,0,0,0,,,,,,
7701,3,0,3,1,2,0,2,0,1,13.0,7.0,6.0,4.333333333333333,3.5,6.0
7725,2,0,2,2,0,0,0,0,2,10.0,0.0,10.0,5.0,,5.0
7755,1,1,0,0,1,1,0,0,0,,,,,,
7875,1,1,0,1,0,0,0,1,0,,,,,,
7877,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
7896,4,0,4,2,2,0,2,0,2,7.0,2.0,5.0,1.75,1.0,2.5
7911,4,1,3,4,0,0,0,1,3,15.0,0.0,15.0,5.0,,5.0
7934,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
7950,1,0,1,0,1,0,1,0,0,6.0,6.0,0.0,6.0,6.0,
7974,1,1,0,0,1,1,0,0,0,,,,,,
7983,1,1,0,0,1,1,0,0,0,,,,,,
8074,1,1,0,0,1,1,0,0,0,,,,,,
8124,1,1,0,0,1,1,0,0,0,,,,,,
8139,1,1,0,0,1,1,0,0,0,,,,,,
8147,1,1,0,1,0,0,0,1,0,,,,,,
8252,1,1,0,1,0,0,0,1,0,,,,,,
8262,1,1,0,0,1,1,0,0,0,,,,,,
8291,1,1,0,0,1,1,0,0,0,,,,,,
8372,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
8386,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
8410,1,0,1,1,0,0,0,0,1,7.0,0.0,7.0,7.0,,7.0
8418,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
8430,1,1,0,1,0,0,0,1,0,,,,,,
8454,1,0,1,0,1,0,1,0,0,9.0,9.0,0.0,9.0,9.0,
8465,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
8477,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
8520,1,1,0,1,0,0,0,1,0,,,,,,
8562,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
8583,1,1,0,1,0,0,0,1,0,,,,,,
8623,1,1,0,0,1,1,0,0,0,,,,,,
8646,1,0,1,1,0,0,0,0,1,5.0,0.0,5.0,5.0,,5.0
8651,1,1,0,0,1,1,0,0,0,,,,,,
8676,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
8693,8,8,0,0,8,8,0,0,0,,,,,,
8717,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
8736,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
8748,1,0,1,1,0,0,0,0,1,5.0,0.0,5.0,5.0,,5.0
8755,6,1,5,6,0,0,0,1,5,34.0,0.0,34.0,6.8,,6.8
8763,1,0,1,0,1,0,1,0,0,11.0,11.0,0.0,11.0,11.0,
8768,19,18,1,15,4,4,0,14,1,2.0,0.0,2.0,2.0,,2.0
8848,1,1,0,1,0,0,0,1,0,,,,,,
8866,4,3,1,0,4,3,1,0,0,8.0,8.0,0.0,8.0,8.0,
8867,1,0,1,0,1,0,1,0,0,5.0,5.0,0.0,5.0,5.0,
8907,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
8909,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
9017,3,3,0,0,3,3,0,0,0,,,,,,
9058,1,1,0,1,0,0,0,1,0,,,,,,
9176,1,1,0,0,1,1,0,0,0,,,,,,
9179,1,0,1,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,
9197,1,1,0,1,0,0,0,1,0,,,,,,
9207,2,1,1,0,2,1,1,0,0,6.0,6.0,0.0,6.0,6.0,
9231,1,1,0,0,1,1,0,0,0,,,,,,
9237,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
9266,1,0,1,0,1,0,1,0,0,4.0,4.0,0.0,4.0,4.0,
9272,2,0,2,0,2,0,2,0,0,8.0,8.0,0.0,4.0,4.0,
9277,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
9324,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
9328,1,1,0,1,0,0,0,1,0,,,,,,
9353,1,1,0,1,0,0,0,1,0,,,,,,
9366,2,0,2,0,2,0,2,0,0,4.0,4.0,0.0,2.0,2.0,
9378,1,1,0,0,1,1,0,0,0,,,,,,
9379,1,0,1,1,0,0,0,0,1,1.0,0.0,1.0,1.0,,1.0
9380,1,1,0,0,1,1,0,0,0,,,,,,
9404,1,1,0,0,1,1,0,0,0,,,,,,
9429,7,4,3,0,7,4,3,0,0,5.0,5.0,0.0,1.6666666666666667,1.6666666666666667,
9550,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
9674,5,5,0,0,5,5,0,0,0,,,,,,
9725,1,0,1,0,1,0,1,0,0,11.0,11.0,0.0,11.0,11.0,
9734,1,0,1,1,0,0,0,0,1,2.0,0.0,2.0,2.0,,2.0
9752,1,1,0,0,1,1,0,0,0,,,,,,
9794,14,7,7,14,0,0,0,7,7,31.0,0.0,31.0,4.428571428571429,,4.428571428571429
9830,1,0,1,1,0,0,0,0,1,3.0,0.0,3.0,3.0,,3.0
9876,1,1,0,1,0,0,0,1,0,,,,,,
9881,1,1,0,1,0,0,0,1,0,,,,,,
9900,2,2,0,1,1,1,0,1,0,,,,,,
9906,1,1,0,1,0,0,0,1,0,,,,,,
9915,14,14,0,0,14,14,0,0,0,,,,,,
9920,10,9,1,0,10,9,1,0,0,1.0,1.0,0.0,1.0,1.0,
9941,1,1,0,0,1,1,0,0,0,,,,,,
9958,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
9973,3,1,2,2,1,1,0,0,2,6.0,0.0,6.0,3.0,,3.0
9988,44,38,6,44,0,0,0,38,6,13.0,0.0,13.0,2.1666666666666665,,2.1666666666666665
9994,1,0,1,0,1,0,1,0,0,2.0,2.0,0.0,2.0,2.0,
10072,2,1,1,1,1,1,0,0,1,5.0,0.0,5.0,5.0,,5.0
10113,4,0,4,1,3,0,3,0,1,24.0,23.0,1.0,6.0,7.666666666666667,1.0
10126,2,2,0,2,0,0,0,2,0,,,,,,
10155,1,1,0,1,0,0,0,1,0,,,,,,
10179,2,2,0,0,2,2,0,0,0,,,,,,
10192,1,1,0,0,1,1,0,0,0,,,,,,
10222,1,1,0,0,1,1,0,0,0,,,,,,
10248,1,0,1,0,1,0,1,0,0,8.0,8.0,0.0,8.0,8.0,
10253,1,1,0,0,1,1,0,0,0,,,,,,
10275,8,8,0,8,0,0,0,8,0,,,,,,
10296,1,1,0,0,1,1,0,0,0,,,,,,
10303,10,1,9,1,9,1,8,0,1,33.0,31.0,2.0,3.6666666666666665,3.875,2.0
10342,1,1,0,1,0,0,0,1,0,,,,,,
10352,4,1,3,0,4,1,3,0,0,23.0,23.0,0.0,7.666666666666667,7.666666666666667,
10369,1,0,1,1,0,0,0,0,1,0.0,0.0,0.0,0.0,,0.0
10371,1,1,0,0,1,1,0,0,0,,,,,,
10393,1,0,1,0,1,0,1,0,0,1.0,1.0,0.0,1.0,1.0,
