EID,BTBL,BTCOUNT,BS_BTCOUNT,WS_BTCOUNT,BT_END_COUNT,BT_NORMAL_COUNT,BS_BT_END,WS_BT_END,BT_LIVE,BS_BT_LIVE,WS_BT_LIVE,BS_BT_BL,WS_BT_BL,BS_BT_LIVE_AVG,WS_BT_LIVE_AVG,BT_LIVE_AVG,BT_BL_AVG,BS_BT_BL_AVG,WS_BT_BL_AVG,IS_EXIST_BT,IS_EXIST_NORMAL_BT
2656,0.775,1,1,0,0,1,0,0,,,,0.775,0.0,,,,0.775,0.775,,1,1
2720,1.2,2,2,0,0,2,0,0,,,,1.2,0.0,,,,0.6,0.6,,1,1
2790,0.32,6,6,0,2,4,2,0,9.0,9.0,0.0,0.32,0.0,1.5,,1.5,0.05333333333333334,0.05333333333333334,,1,1
2797,1.55,2,2,0,0,2,0,0,,,,1.55,0.0,,,,0.775,0.775,,1,1
2806,1.871,4,3,1,0,4,0,0,,,,1.371,0.5,,,,0.46775,0.457,0.5,1,1
2863,0.429,1,0,1,0,1,0,0,,,,0.0,0.429,,,,0.429,,0.429,1,1
2882,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
2929,0.15,1,0,1,0,1,0,0,,,,0.0,0.15,,,,0.15,,0.15,1,1
2957,1.19,2,1,1,0,2,0,0,,,,1.0,0.19,,,,0.595,1.0,0.19,1,1
2978,0.8,1,0,1,0,1,0,0,,,,0.0,0.8,,,,0.8,,0.8,1,1
2994,1.604,3,3,0,2,1,2,0,17.0,17.0,0.0,1.604,0.0,5.666666666666667,,5.666666666666667,0.5346666666666667,0.5346666666666667,,1,1
3049,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
3086,0.3,1,0,1,1,0,0,1,4.0,0.0,4.0,0.0,0.3,,4.0,4.0,0.3,,0.3,1,0
3137,0.475,2,0,2,0,2,0,0,,,,0.0,0.475,,,,0.2375,,0.2375,1,1
3154,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
3160,0.8,1,1,0,1,0,1,0,2.0,2.0,0.0,0.8,0.0,2.0,,2.0,0.8,0.8,,1,0
3163,0.833,2,1,1,0,2,0,0,,,,0.33299999999999996,0.5,,,,0.4165,0.33299999999999996,0.5,1,1
3192,0.833,1,0,1,0,1,0,0,,,,0.0,0.833,,,,0.833,,0.833,1,1
3194,1.085,2,0,2,0,2,0,0,,,,0.0,1.085,,,,0.5425,,0.5425,1,1
3196,0.55,1,1,0,0,1,0,0,,,,0.55,0.0,,,,0.55,0.55,,1,1
3250,0.121,1,1,0,0,1,0,0,,,,0.121,0.0,,,,0.121,0.121,,1,1
3265,0.51,1,0,1,0,1,0,0,,,,0.0,0.51,,,,0.51,,0.51,1,1
3304,1.9329999999999998,3,3,0,0,3,0,0,,,,1.9329999999999998,0.0,,,,0.6443333333333333,0.6443333333333333,,1,1
3332,1.5,2,2,0,0,2,0,0,,,,1.5,0.0,,,,0.75,0.75,,1,1
3419,19.759999999999998,21,21,0,2,19,2,0,17.0,17.0,0.0,19.759999999999998,0.0,0.8095238095238095,,0.8095238095238095,0.9409523809523809,0.9409523809523809,,1,1
3443,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
3449,0.49,1,1,0,0,1,0,0,,,,0.49,0.0,,,,0.49,0.49,,1,1
3459,0.75,1,1,0,0,1,0,0,,,,0.75,0.0,,,,0.75,0.75,,1,1
3524,0.4,1,1,0,1,0,1,0,2.0,2.0,0.0,0.4,0.0,2.0,,2.0,0.4,0.4,,1,0
3551,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
3558,3.0,3,0,3,0,3,0,0,,,,0.0,3.0,,,,1.0,,1.0,1,1
3578,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
3617,0.49,1,0,1,0,1,0,0,,,,0.0,0.49,,,,0.49,,0.49,1,1
3628,0.9,1,0,1,0,1,0,0,,,,0.0,0.9,,,,0.9,,0.9,1,1
3672,1.5,4,4,0,1,3,1,0,8.0,8.0,0.0,1.5,0.0,2.0,,2.0,0.375,0.375,,1,1
3688,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
3705,0.33299999999999996,1,1,0,0,1,0,0,,,,0.33299999999999996,0.0,,,,0.33299999999999996,0.33299999999999996,,1,1
3711,0.748,1,1,0,0,1,0,0,,,,0.748,0.0,,,,0.748,0.748,,1,1
3728,0.25,1,0,1,0,1,0,0,,,,0.0,0.25,,,,0.25,,0.25,1,1
3738,0.18,1,1,0,0,1,0,0,,,,0.18,0.0,,,,0.18,0.18,,1,1
3795,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
3804,3.0,3,1,2,0,3,0,0,,,,1.0,2.0,,,,1.0,1.0,1.0,1,1
3815,0.9,1,0,1,0,1,0,0,,,,0.0,0.9,,,,0.9,,0.9,1,1
3837,9.0,9,9,0,1,8,1,0,19.0,19.0,0.0,9.0,0.0,2.111111111111111,,2.111111111111111,1.0,1.0,,1,1
3888,0.81,2,2,0,0,2,0,0,,,,0.81,0.0,,,,0.405,0.405,,1,1
3889,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
3926,5.17,6,5,1,0,6,0,0,,,,4.17,1.0,,,,0.8616666666666667,0.834,1.0,1,1
3959,0.983,2,0,2,1,1,0,1,3.0,0.0,3.0,0.0,0.983,,1.5,1.5,0.4915,,0.4915,1,1
3962,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
3981,1.0,1,0,1,1,0,0,1,5.0,0.0,5.0,0.0,1.0,,5.0,5.0,1.0,,1.0,1,0
4026,1.198,2,2,0,0,2,0,0,,,,1.198,0.0,,,,0.599,0.599,,1,1
4028,0.765,1,1,0,0,1,0,0,,,,0.765,0.0,,,,0.765,0.765,,1,1
4041,8.974,10,8,2,3,7,3,0,23.0,23.0,0.0,6.974,2.0,2.875,0.0,2.3,0.8974,0.87175,1.0,1,1
4057,3.5,4,1,3,0,4,0,0,,,,1.0,2.5,,,,0.875,1.0,0.8333333333333334,1,1
4071,0.9,2,2,0,0,2,0,0,,,,0.9,0.0,,,,0.45,0.45,,1,1
4101,0.021,1,1,0,0,1,0,0,,,,0.021,0.0,,,,0.021,0.021,,1,1
4160,0.34299999999999997,2,2,0,0,2,0,0,,,,0.34299999999999997,0.0,,,,0.17149999999999999,0.17149999999999999,,1,1
4170,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
4201,1.0,2,0,2,0,2,0,0,,,,0.0,1.0,,,,0.5,,0.5,1,1
4228,4.29,5,1,4,0,5,0,0,,,,0.95,3.34,,,,0.858,0.95,0.835,1,1
4245,0.32,2,2,0,0,2,0,0,,,,0.32,0.0,,,,0.16,0.16,,1,1
4253,1.6,2,1,1,0,2,0,0,,,,0.8,0.8,,,,0.8,0.8,0.8,1,1
4280,0.5,1,0,1,0,1,0,0,,,,0.0,0.5,,,,0.5,,0.5,1,1
4313,1.063,2,2,0,0,2,0,0,,,,1.063,0.0,,,,0.5315,0.5315,,1,1
4347,0.71,1,1,0,0,1,0,0,,,,0.71,0.0,,,,0.71,0.71,,1,1
4403,0.65,1,1,0,1,0,1,0,4.0,4.0,0.0,0.65,0.0,4.0,,4.0,0.65,0.65,,1,0
4427,0.13799999999999998,4,3,1,0,4,0,0,,,,0.119,0.019,,,,0.034499999999999996,0.03966666666666666,0.019,1,1
4428,1.51,2,0,2,1,1,0,1,3.0,0.0,3.0,0.0,1.51,,1.5,1.5,0.755,,0.755,1,1
4433,6.3,7,1,6,0,7,0,0,,,,1.0,5.3,,,,0.9,1.0,0.8833333333333333,1,1
4467,1.4,2,2,0,0,2,0,0,,,,1.4,0.0,,,,0.7,0.7,,1,1
4478,1.641,3,0,3,0,3,0,0,,,,0.0,1.641,,,,0.547,,0.547,1,1
4486,0.02,1,1,0,0,1,0,0,,,,0.02,0.0,,,,0.02,0.02,,1,1
4490,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
4535,0.8530000000000001,2,0,2,0,2,0,0,,,,0.0,0.8530000000000001,,,,0.42650000000000005,,0.42650000000000005,1,1
4583,3.51,4,2,2,1,3,0,1,1.0,0.0,1.0,1.51,2.0,0.0,0.5,0.25,0.8775,0.755,1.0,1,1
4614,0.51,1,1,0,0,1,0,0,,,,0.51,0.0,,,,0.51,0.51,,1,1
4625,0.995,1,1,0,0,1,0,0,,,,0.995,0.0,,,,0.995,0.995,,1,1
4637,13.819999999999997,22,0,22,0,22,0,0,,,,0.0,13.819999999999997,,,,0.6281818181818181,,0.6281818181818181,1,1
4641,2.91,5,4,1,2,3,1,1,11.0,2.0,9.0,2.41,0.5,0.5,9.0,2.2,0.5820000000000001,0.6025,0.5,1,1
4735,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
4765,2.0,2,1,1,0,2,0,0,,,,1.0,1.0,,,,1.0,1.0,1.0,1,1
4827,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
4863,0.4,1,0,1,0,1,0,0,,,,0.0,0.4,,,,0.4,,0.4,1,1
4926,0.49,1,1,0,0,1,0,0,,,,0.49,0.0,,,,0.49,0.49,,1,1
4950,0.2,1,0,1,0,1,0,0,,,,0.0,0.2,,,,0.2,,0.2,1,1
4988,0.005,1,1,0,0,1,0,0,,,,0.005,0.0,,,,0.005,0.005,,1,1
4996,0.8,1,0,1,0,1,0,0,,,,0.0,0.8,,,,0.8,,0.8,1,1
5050,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
5103,1.0,2,2,0,0,2,0,0,,,,1.0,0.0,,,,0.5,0.5,,1,1
5107,0.5800000000000001,2,2,0,0,2,0,0,,,,0.5800000000000001,0.0,,,,0.29000000000000004,0.29000000000000004,,1,1
5131,0.95,1,0,1,0,1,0,0,,,,0.0,0.95,,,,0.95,,0.95,1,1
5167,0.5,1,0,1,0,1,0,0,,,,0.0,0.5,,,,0.5,,0.5,1,1
5231,0.35700000000000004,1,0,1,1,0,0,1,10.0,0.0,10.0,0.0,0.35700000000000004,,10.0,10.0,0.35700000000000004,,0.35700000000000004,1,0
5282,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
5283,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
5298,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
5316,0.49,1,0,1,0,1,0,0,,,,0.0,0.49,,,,0.49,,0.49,1,1
5342,0.01,1,0,1,0,1,0,0,,,,0.0,0.01,,,,0.01,,0.01,1,1
5395,0.1,1,0,1,0,1,0,0,,,,0.0,0.1,,,,0.1,,0.1,1,1
5477,0.25,1,0,1,1,0,0,1,7.0,0.0,7.0,0.0,0.25,,7.0,7.0,0.25,,0.25,1,0
5495,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
5533,0.1,1,0,1,0,1,0,0,,,,0.0,0.1,,,,0.1,,0.1,1,1
5599,0.45,1,1,0,0,1,0,0,,,,0.45,0.0,,,,0.45,0.45,,1,1
5625,2.71,4,0,4,0,4,0,0,,,,0.0,2.71,,,,0.6775,,0.6775,1,1
5723,0.503,1,0,1,0,1,0,0,,,,0.0,0.503,,,,0.503,,0.503,1,1
5736,0.04,4,0,4,0,4,0,0,,,,0.0,0.04,,,,0.01,,0.01,1,1
5744,0.05,1,1,0,0,1,0,0,,,,0.05,0.0,,,,0.05,0.05,,1,1
5768,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
5788,0.009000000000000001,1,1,0,0,1,0,0,,,,0.009000000000000001,0.0,,,,0.009000000000000001,0.009000000000000001,,1,1
5794,0.04,1,1,0,0,1,0,0,,,,0.04,0.0,,,,0.04,0.04,,1,1
5795,0.9670000000000001,1,1,0,0,1,0,0,,,,0.9670000000000001,0.0,,,,0.9670000000000001,0.9670000000000001,,1,1
5807,1.4029999999999998,3,2,1,1,2,1,0,0.0,0.0,0.0,1.064,0.33899999999999997,0.0,0.0,0.0,0.4676666666666666,0.532,0.33899999999999997,1,1
5820,0.625,1,0,1,0,1,0,0,,,,0.0,0.625,,,,0.625,,0.625,1,1
5824,5.0,5,3,2,2,3,0,2,3.0,0.0,3.0,3.0,2.0,0.0,1.5,0.6,1.0,1.0,1.0,1,1
5832,0.23299999999999998,2,1,1,0,2,0,0,,,,0.053,0.18,,,,0.11649999999999999,0.053,0.18,1,1
5856,2.05,3,2,1,0,3,0,0,,,,1.35,0.7,,,,0.6833333333333332,0.675,0.7,1,1
5877,0.095,1,1,0,0,1,0,0,,,,0.095,0.0,,,,0.095,0.095,,1,1
5894,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
5940,0.05,1,1,0,0,1,0,0,,,,0.05,0.0,,,,0.05,0.05,,1,1
5986,0.39,1,0,1,0,1,0,0,,,,0.0,0.39,,,,0.39,,0.39,1,1
5995,0.14300000000000002,1,1,0,0,1,0,0,,,,0.14300000000000002,0.0,,,,0.14300000000000002,0.14300000000000002,,1,1
6012,0.4,1,1,0,0,1,0,0,,,,0.4,0.0,,,,0.4,0.4,,1,1
6076,0.9840000000000001,1,1,0,0,1,0,0,,,,0.9840000000000001,0.0,,,,0.9840000000000001,0.9840000000000001,,1,1
6085,0.018000000000000002,1,1,0,0,1,0,0,,,,0.018000000000000002,0.0,,,,0.018000000000000002,0.018000000000000002,,1,1
6092,0.884,2,2,0,1,1,1,0,8.0,8.0,0.0,0.884,0.0,4.0,,4.0,0.442,0.442,,1,1
6102,1.0,1,1,0,0,1,0,0,,,,1.0,0.0,,,,1.0,1.0,,1,1
6162,0.7,1,1,0,0,1,0,0,,,,0.7,0.0,,,,0.7,0.7,,1,1
6252,12.0,12,0,12,11,1,0,11,19.0,0.0,19.0,0.0,12.0,,1.5833333333333333,1.5833333333333333,1.0,,1.0,1,1
6325,0.5,1,1,0,0,1,0,0,,,,0.5,0.0,,,,0.5,0.5,,1,1
6386,0.6,1,1,0,0,1,0,0,,,,0.6,0.0,,,,0.6,0.6,,1,1
6409,2.333,3,0,3,0,3,0,0,,,,0.0,2.333,,,,0.7776666666666667,,0.7776666666666667,1,1
6434,0.26,1,0,1,1,0,0,1,0.0,0.0,0.0,0.0,0.26,,0.0,0.0,0.26,,0.26,1,0
6452,3.33,6,1,5,0,6,0,0,,,,0.5,2.83,,,,0.555,0.5,0.5660000000000001,1,1
6460,0.7,2,2,0,2,0,2,0,14.0,14.0,0.0,0.7,0.0,7.0,,7.0,0.35,0.35,,1,0
6508,0.546,2,1,1,0,2,0,0,,,,0.49,0.055999999999999994,,,,0.273,0.49,0.055999999999999994,1,1
6512,0.1,1,1,0,0,1,0,0,,,,0.1,0.0,,,,0.1,0.1,,1,1
6587,1.0,1,0,1,0,1,0,0,,,,0.0,1.0,,,,1.0,,1.0,1,1
6591,1.51,2,1,1,0,2,0,0,,,,1.0,0.51,,,,0.755,1.0,0.51,1,1
6609,0.0,1,1,0,0,1,0,0,,,,0.0,0.0,,,,0.0,0.0,,1,1
6613,0.65,1,0,1,0,1,0,0,,,,0.0,0.65,,,,0.65,,0.65,1,1
6618,1.5590000000000002,3,1,2,0,3,0,0,,,,0.25,1.3090000000000002,,,,0.5196666666666667,0.25,0.6545000000000001,1,1
6655,0.51,1,0,1,0,1,0,0,,,,0.0,0.51,,,,0.51,,0.51,1,1
6692,0.3,1,1,0,0,1,0,0,,,,0.3,0.0,,,,0.3,0.3,,1,1
6715,2.992,6,1,5,5,1,0,5,28.0,0.0,28.0,0.5,2.492,0.0,5.6,4.666666666666667,0.49866666666666665,0.5,0.4984,1,1
6809,0.8400000000000001,2,1,1,1,1,0,1,6.0,0.0,6.0,0.5,0.34,0.0,6.0,3.0,0.42000000000000004,0.5,0.34,1,1
