EID,WSPROCOUNT,BSPROCOUNT,PROCOUNT
34414,1,,1
34664,1,,1
34749,,2,2
34855,2,,2
34857,,1,1
34895,,9,9
35098,1,,1
35186,,3,3
35235,,3,3
35990,6,15,21
36539,4,,4
36546,2,,2
36814,6,6,12
36972,7,1,8
36997,,1,1
37033,,1,1
37246,,1,1
37295,8,14,22
37298,,1,1
37687,2,,2
37803,1,2,3
37804,,11,11
37843,1,,1
37963,,1,1
37971,,1,1
38037,,1,1
38043,,1,1
38063,1,,1
38087,3,6,9
38160,,1,1
38273,2,25,27
38341,,1,1
38447,18,6,24
38611,,9,9
38724,2,,2
39001,,1,1
39061,,2,2
39228,18,21,39
39238,1,,1
39308,28,102,130
39372,,1,1
39458,,2,2
39489,,1,1
39520,,75,75
39598,,1,1
39623,1,,1
39771,2,,2
39863,,1,1
39870,2,,2
39896,1,,1
39928,1,,1
39992,3,,3
40121,,1,1
40324,,1,1
40381,,1,1
40433,4,,4
40477,3,,3
40496,2,,2
40524,,1,1
40560,,1,1
40682,,1,1
41021,2,,2
41209,2,,2
41220,,5,5
41328,5,,5
41415,,1,1
41451,,3,3
41580,,1,1
41820,1,,1
41869,,1,1
41893,62,,62
42045,,1,1
42089,1,,1
42336,1,2,3
42369,1,,1
42577,,81,81
42634,,1,1
43114,,1,1
43139,1,,1
43162,1,,1
43217,,1,1
43517,1,2,3
43623,1,,1
43632,,2,2
43659,,3,3
43666,,1,1
44016,1,2,3
44259,,1,1
44397,,5,5
44425,,1,1
44435,,1,1
44472,1,2,3
44595,4,,4
44836,,1,1
45016,2,,2
45148,,1,1
45211,1,,1
45257,,1,1
45351,6,13,19
45407,,1,1
45426,2,,2
45594,1,,1
45901,,7,7
45964,2,,2
45992,,1,1
46071,20,5,25
46097,1,2,3
46257,,2,2
46262,13,3,16
46288,,2,2
46303,2,,2
46304,4,,4
46317,2,1,3
46430,,1,1
46592,,7,7
46674,,3,3
46709,,4,4
46775,,3,3
46901,1,,1
47115,1,,1
47175,,2,2
47226,,1,1
47246,,7,7
47471,1,12,13
47505,1,,1
47575,,2,2
47603,1,,1
47714,,3,3
47769,,1,1
47981,,1,1
48010,,1,1
48037,,1,1
48039,2,,2
48333,1,2,3
48421,,2,2
48475,,1,1
48587,,1,1
48624,,1,1
48744,2,,2
48782,,1,1
49118,,1,1
49223,,1,1
49540,,1,1
49551,1,1,2
49715,,1,1
49887,,1,1
49924,,2,2
49976,27,82,109
49995,,2,2
50070,,4,4
50257,,1,1
50267,,3,3
50334,,1,1
50362,1,1,2
50820,,1,1
50879,,1,1
50896,,1,1
50920,2,1,3
50945,,10,10
51008,,3,3
51130,,1,1
51181,,1,1
51194,,5,5
51399,,1,1
51415,2,,2
51445,,1,1
51467,,3,3
51521,,3,3
51588,9,12,21
51605,13,,13
51888,1,,1
51943,,1,1
52038,,3,3
52059,1,,1
52146,2,,2
52190,1,5,6
52339,,1,1
52447,,2,2
52473,1,2,3
52536,4,,4
52580,1,1,2
52613,1,2,3
52665,6,1,7
52703,,1,1
52717,1,,1
52833,,1,1
52938,,1,1
52943,,1,1
53033,,1,1
53036,,2,2
53370,,4,4
53464,,3,3
53820,,2,2
53850,,6,6
54012,,1,1
54063,1,1,2
54136,1,,1
54170,1,,1
54258,,29,29
54260,,1,1
54363,1,,1
54404,,2,2
54465,5,3,8
54669,1,,1
54731,33,26,59
54957,,1,1
55161,,2,2
55162,,2,2
55189,,2,2
55190,,1,1
55345,,2,2
55418,1,8,9
55428,4,,4
55488,,2,2
55553,,1,1
55705,1,,1
55839,,5,5
55934,1,,1
56017,,1,1
56202,3,5,8
56232,1,,1
56642,,3,3
56656,,1,1
56744,,1,1
56863,5,2,7
56877,,1,1
56951,1,19,20
57125,,1,1
57218,,2,2
57258,,1,1
57292,,1,1
57305,1,1,2
57366,,2,2
57660,1,,1
57669,1,,1
57771,,4,4
57930,1,,1
57942,3,1,4
57968,1,1,2
58020,,1,1
58195,,1,1
58299,,1,1
58324,,1,1
58352,,2,2
58367,1,1,2
58382,1,,1
58465,,1,1
58869,,6,6
58892,1,,1
58994,4,,4
58998,,1,1
59047,,1,1
59130,2,,2
59466,,3,3
59504,,1,1
59536,,1,1
60070,1,6,7
60126,,4,4
60302,1,21,22
60324,,1,1
60466,1,,1
60588,,1,1
60599,,1,1
60623,,1,1
60646,,1,1
60662,,24,24
60831,1,15,16
60930,,1,1
61024,1,,1
61090,,1,1
61225,,1,1
61268,3,,3
61368,,1,1
61408,2,,2
61417,,1,1
61420,,1,1
61463,4,1,5
61595,6,,6
61746,1,1,2
61747,,3,3
61807,,1,1
61820,1,,1
61990,,2,2
62010,1,,1
62047,,1,1
62109,1,,1
62192,2,2,4
62418,2,,2
62431,,1,1
62452,2,,2
62508,,2,2
62708,1,,1
62805,1,,1
62836,,2,2
62847,,2,2
62889,11,1,12
62999,1,,1
63172,1,,1
63197,1,,1
63270,5,6,11
63465,,1,1
63540,2,,2
63849,1,,1
63874,2,,2
63889,,4,4
63961,112,2,114
64001,,1,1
64031,1,,1
64061,,1,1
64191,60,8,68
64262,1,1,2
64305,1,,1
64370,1,,1
64452,,13,13
64466,,1,1
64525,,2,2
64609,,1,1
64866,,1,1
64981,,1,1
65035,,1,1
65070,1,,1
65104,,4,4
65279,5,16,21
65354,,1,1
65510,,1,1
65610,1,8,9
65679,1,,1
65707,19,13,32
65743,,2,2
65753,,13,13
65770,9,,9
65803,,1,1
66055,1,,1
66325,,1,1
66439,,1,1
66742,,1,1
66856,1,,1
66982,1,1,2
67145,1,,1
67182,,1,1
67186,,1,1
67273,2,,2
67388,,4,4
67434,7,5,12
67517,1,1,2
67738,1,,1
67824,,1,1
67825,,1,1
67855,,11,11
67931,2,3,5
68066,,1,1
68095,1,2,3
68124,1,,1
68128,1,,1
68148,2,3,5
68240,,6,6
68423,,3,3
68678,,1,1
68937,,1,1
68958,,1,1
69088,,4,4
69101,3,,3
69253,,1,1
69279,,1,1
69287,,1,1
69498,,23,23
69681,,1,1
69722,,6,6
69739,,37,37
69896,,2,2
69994,,2,2
69996,,1,1
70074,,5,5
70081,3,4,7
70100,6,3,9
70200,5,,5
70238,,1,1
70592,1,1,2
70601,,1,1
70683,1,,1
71140,,9,9
71253,,3,3
71306,,25,25
71374,32,15,47
71418,,1,1
71428,47,2,49
71450,,1,1
71561,1,2,3
71595,,2,2
71708,1,,1
71904,2,,2
71928,2,,2
72035,,1,1
72057,1,,1
72122,5,5,10
72162,11,3,14
72247,,5,5
72373,1,,1
72416,1,,1
72517,,3,3
72575,1,,1
72678,1,,1
72724,,1,1
72773,,2,2
72811,,2,2
72878,,6,6
72941,19,2,21
73054,,1,1
73202,1,,1
73260,3,1,4
73492,2,,2
73529,4,1,5
73651,,3,3
73692,,5,5
73808,1,1,2
73946,,1,1
73947,1,,1
73963,3,,3
74275,,6,6
74420,10,,10
74525,2,,2
74547,3,,3
74582,1,,1
74686,1,,1
74910,,2,2
74990,,1,1
75011,1,,1
75185,,6,6
75271,,6,6
75474,1,,1
75718,2,,2
75787,23,10,33
75798,,1,1
75801,1,1,2
75843,,1,1
75870,,3,3
76022,,1,1
76192,5,,5
76224,,5,5
76227,20,26,46
76241,3,,3
76342,,2,2
76361,,2,2
76510,2,,2
76570,2,,2
76684,,3,3
76706,1,74,75
76840,1,1,2
76865,,1,1
77224,10,6,16
77285,1,,1
77364,4,,4
77512,3,,3
77678,,1,1
77836,,3,3
77845,5,2,7
77987,,2,2
78069,,1,1
78081,1,,1
78128,1,,1
78180,1,,1
78347,,9,9
78515,,6,6
78537,,2,2
78996,,2,2
79181,,1,1
79247,2,4,6
79493,,3,3
79697,2,1,3
79734,14,2,16
79761,11,3,14
79786,2,6,8
79947,,1,1
80020,3,,3
80031,2,1,3
80053,2,1,3
80107,,2,2
80117,,1,1
80230,,2,2
80373,,7,7
80622,,1,1
80692,1,,1
80758,,1,1
80896,1,,1
80951,2,2,4
81458,1,,1
81513,,1,1
81570,1,,1
81590,,1,1
81705,2,7,9
81721,3,,3
81786,,1,1
81793,,2,2
82270,,7,7
82338,6,2,8
82428,1,4,5
82586,5,2,7
82745,,1,1
82799,,1,1
82815,,1,1
82859,37,4,41
83020,,26,26
83133,1,,1
83227,,6,6
83384,4,1,5
83692,,36,36
84216,,3,3
84253,,1,1
84506,1,,1
84532,,1,1
84560,,14,14
84620,,1,1
84665,,1,1
84683,,1,1
84725,1,,1
84815,1,,1
85105,12,6,18
85259,,2,2
85383,,1,1
85394,,1,1
85439,,3,3
85688,,17,17
86065,1,,1
86161,5,1,6
86239,,1,1
86261,,1,1
86362,1,,1
86473,,1,1
86482,,8,8
86488,,1,1
86585,1,,1
86625,,3,3
87009,1,18,19
87033,,2,2
87162,2,,2
87169,,1,1
87283,,2,2
87627,,5,5
87743,,1,1
87957,,1,1
87974,2,,2
88082,1,,1
88188,1,,1
88217,,1,1
88441,,1,1
88452,,70,70
88481,2,,2
88487,,2,2
88574,2,,2
88881,,1,1
89055,1,,1
89065,,1,1
89067,,1,1
89087,,1,1
89236,1,,1
89641,,1,1
89820,,4,4
89848,5,37,42
89956,1,8,9
89967,,4,4
90105,,1,1
90155,,1,1
90221,,2,2
90266,,1,1
90395,1,,1
90518,,1,1
90668,,4,4
90699,1,2,3
90762,3,3,6
90817,,3,3
90913,,2,2
90979,,1,1
91349,1,,1
91479,1,,1
91640,10,1,11
91641,,2,2
91732,,9,9
91806,3,5,8
91858,,2,2
91915,,1,1
92208,5,2,7
92306,,1,1
92527,,1,1
92579,,1,1
92865,,1,1
92896,,1,1
92988,1,2,3
93138,,1,1
93150,,1,1
93232,1,4,5
93314,3,5,8
93594,,2,2
93685,,1,1
93761,,3,3
93854,,1,1
93921,2,1,3
93954,,1,1
94213,,1,1
94262,,3,3
94463,1,,1
94512,3,1,4
94693,,1,1
94753,,1,1
94758,1,1,2
94899,1,,1
94966,,1,1
95101,1,444,445
95184,,4,4
95373,,5,5
95446,,1,1
95493,,1,1
95587,1,6,7
95652,,1,1
96004,1,,1
96247,,1,1
96327,,1,1
96714,,5,5
96775,,1,1
96812,,1,1
96864,1,,1
97028,2,,2
97117,4,2,6
97480,,4,4
97546,4,19,23
97586,,1,1
97660,,42,42
97664,3,,3
97780,1,,1
97788,,7,7
97851,,3,3
97857,,1,1
98034,1,,1
98359,9,,9
98372,,2,2
98506,,1,1
98508,1,,1
98597,1,,1
98847,,1,1
98950,,2,2
99075,,2,2
99271,,1,1
99295,,1,1
99436,,1,1
99461,,1,1
99624,7,27,34
99875,6,,6
99945,1,,1
99957,1,,1
100114,8,8,16
100215,,2,2
100226,1,,1
100616,,15,15
100660,1,,1
100891,,3,3
101224,2,,2
101279,,1,1
101411,,1,1
101458,,10,10
101464,,1,1
101516,1,,1
101605,,3,3
101811,,1,1
102076,,17,17
102353,12,2,14
102532,2,,2
102623,,1,1
102629,,1,1
102770,,1,1
102881,1,,1
102922,,1,1
103060,1,,1
103071,,2,2
103700,,2,2
103920,2,,2
104112,33,3,36
104135,,1,1
104211,,3,3
104267,,1,1
104301,2,,2
104538,,1,1
104701,12,,12
104830,1,,1
104935,,5,5
105072,,6,6
105252,1,,1
105383,36,31,67
105757,,2,2
105779,2,,2
105829,,1,1
105866,,1,1
105893,,25,25
105998,2,,2
106237,2,,2
106374,,1,1
106436,,3,3
106440,7,6,13
106545,1,,1
106878,3,1,4
107193,,3,3
107486,,5,5
107580,2,,2
107604,,1,1
107978,,4,4
108172,,1,1
108214,3,,3
108335,3,5,8
108525,3,,3
108544,,1,1
108720,,11,11
108756,,1,1
109137,,1,1
109164,3,,3
109256,1,,1
109291,14,14,28
109350,,1,1
109610,,1,1
109716,3,,3
109834,1,,1
109862,4,2,6
109924,2,,2
110059,,1,1
110308,2,,2
110425,1,,1
110544,20,,20
110601,,8,8
110638,,1,1
110696,,3,3
110772,54,29,83
110835,,1,1
110863,,1,1
111064,2,31,33
111303,1,,1
111344,,1,1
111374,6,23,29
111625,1,31,32
111758,1,,1
111848,,1,1
111885,,3,3
112039,2,,2
112042,,2,2
112136,1,,1
112182,2,,2
112204,,2,2
112292,,1,1
112430,2,2,4
112439,1,3,4
112562,1,,1
112615,,5,5
112632,,1,1
112679,,1,1
112948,,3,3
112986,,2,2
112992,5,4,9
113017,2,,2
113088,,2,2
113188,,1,1
113301,,1,1
113482,1,,1
113526,4,,4
113542,,11,11
113569,,1,1
113592,,1,1
113635,7,,7
113888,,3,3
113917,,1,1
113952,,1,1
114133,,1,1
114213,4,18,22
114382,,1,1
114462,,1,1
114500,,1,1
114580,,1,1
114593,2,,2
114662,3,1,4
114779,,1,1
114797,15,1,16
114802,,7,7
114911,,1,1
114972,,1,1
115004,,2,2
115495,1,,1
115646,2,,2
115662,,2,2
115989,,1,1
116552,1,,1
116784,1,,1
116797,8,,8
116819,,1,1
116926,2,,2
116965,,1,1
117059,1,4,5
117062,,1,1
117250,3,,3
117374,1,2,3
117505,,1,1
117631,,1,1
117675,,1,1
117737,1,,1
117898,7,,7
117903,1,,1
117929,,1,1
117966,,1,1
117978,1,,1
117999,1,,1
118001,,1,1
118136,1,,1
118262,,1,1
118315,1,,1
118781,2,1,3
118830,,1,1
118854,2,,2
118863,4,1,5
118959,1,42,43
118999,,6,6
119033,,1,1
119131,,1,1
119172,3,66,69
119285,,2,2
119367,,4,4
119704,,2,2
119739,,1,1
119869,6,8,14
119891,,2,2
120025,,1,1
120075,,1,1
120195,,1,1
120268,,1,1
120344,,1,1
120449,,1,1
120486,1,,1
120764,,2,2
120848,,4,4
121004,,1,1
121100,1,,1
121301,,3,3
121309,,2,2
121387,2,,2
121706,,2,2
121815,,1,1
121831,7,16,23
121846,10,,10
121866,12,3,15
121957,,1,1
122031,1,,1
122075,,2,2
122387,100,15,115
122399,,6,6
122481,,1,1
122532,2,,2
122698,,16,16
122731,1,18,19
122876,31,7,38
122976,,2,2
122983,,2,2
123075,3,324,327
123440,,1,1
123490,1,,1
123501,,1,1
123699,2,1,3
123724,,1,1
123786,,13,13
123794,,4,4
123811,30,4,34
124069,,63,63
124111,1,,1
124130,,1,1
124135,,1,1
124239,1,7,8
124351,5,,5
124466,1,,1
124670,,16,16
124800,,1,1
125027,,1,1
125059,,3,3
125102,1,,1
125129,1,,1
125158,,1,1
125170,,1,1
125224,1,,1
125243,,3,3
125285,16,2,18
125511,,31,31
125528,1,,1
125829,1,1,2
126034,,73,73
126120,,1,1
126236,,5,5
126308,3,,3
126328,1,,1
126357,,1,1
126427,,1,1
126619,1,,1
126707,,1,1
126847,,5,5
127001,,2,2
127085,,8,8
127106,,1,1
127157,,1,1
127235,1,,1
127308,,11,11
127380,,10,10
127523,4,,4
127695,,1,1
127739,11,10,21
127959,2,1,3
128314,23,5,28
128363,7,,7
128383,,1,1
128488,8,3,11
128556,1,,1
128704,,3,3
128712,,1,1
128869,2,,2
128953,,1,1
129042,3,,3
129199,1,,1
129308,,1,1
129311,2,1,3
129356,3,,3
129369,,1,1
129393,4,2,6
129673,,1,1
129688,1,,1
129778,,1,1
129812,3,,3
129961,,5,5
129979,,1,1
130130,2,,2
130160,5,,5
130260,,1,1
130356,1,,1
130488,1,7,8
130616,2,1,3
130653,,1,1
130889,,2,2
130896,1,,1
130906,,2,2
130989,1,,1
131168,48,14,62
131286,,2,2
131372,1,44,45
131421,3,,3
131449,2,,2
131465,1,,1
131576,,5,5
131588,,1,1
131669,3,,3
131779,,1,1
132012,,1,1
132126,,1,1
132145,1,,1
132157,1,4,5
132252,1,,1
132411,,1,1
132658,269,91,360
133014,,1,1
133059,,1,1
133152,2,7,9
133155,1,1,2
133176,,1,1
133195,,1,1
133333,6,,6
133382,,1,1
133483,,1,1
133662,1,,1
133709,,17,17
133906,,1,1
134085,1,9,10
134102,4,,4
134199,,1,1
134298,,1,1
134442,2,,2
134659,,1,1
134737,,1,1
134766,10,,10
134853,2,,2
134857,8,,8
134947,,5,5
135008,1,,1
135105,2,,2
135125,,3,3
135170,,1,1
135338,27,64,91
135365,,1,1
135378,,1,1
135490,,3,3
135869,1,2,3
135879,,1,1
136117,,1,1
136186,,2,2
136188,,1,1
136236,1,,1
136248,2,,2
136259,2,,2
136319,,1,1
136670,,1,1
136798,3,,3
136813,,2,2
136954,1,,1
137150,,3,3
137194,,8,8
137250,,2,2
137359,3,2,5
137395,,1,1
137546,,3,3
137603,48,109,157
137701,,1,1
137728,,1,1
137805,1,1,2
137960,2,,2
138061,1,,1
138368,,3,3
138389,,2,2
138509,,5,5
138598,1,,1
138638,3,2,5
138844,,8,8
138901,,1,1
139008,2,,2
139031,1,38,39
139275,4,1,5
139326,,4,4
139382,,1,1
139458,3,1,4
139500,,2,2
139596,5,1,6
139678,,4,4
139735,,2,2
140086,,3,3
140190,,2,2
140245,,8,8
140515,,1,1
140516,,1,1
140940,,1,1
140980,,2,2
141215,,2,2
141220,,8,8
141357,,1,1
141473,,1,1
141522,5,3,8
141589,,15,15
141779,6,,6
141889,,1,1
142209,,13,13
142287,,1,1
142348,,1,1
142895,1,,1
142910,3,,3
142947,,2,2
143019,1,,1
143077,,1,1
143161,,3,3
143322,,2,2
143345,,2,2
143375,1,,1
143386,,1,1
143572,,3,3
143668,,4,4
143695,,1,1
143727,1,,1
143899,,2,2
143994,,5,5
144262,3,,3
144365,1,,1
144439,,11,11
144493,4,,4
144608,,1,1
144775,,1,1
144877,2,2,4
144958,,2,2
145271,1,,1
145355,1,2,3
145433,,2,2
145485,1,,1
145490,,1,1
145650,,1,1
145738,,1,1
145826,,5,5
145881,,1,1
145994,1,,1
146195,,1,1
146268,1,,1
146420,1,,1
146453,16,8,24
146454,1,1,2
146460,1,,1
146465,1,,1
146568,,3,3
146678,3,,3
146725,1,,1
146833,,1,1
146993,1,,1
147078,,4,4
147193,1,2,3
147274,1,,1
147516,7,5,12
147564,2,4,6
147867,,1,1
147886,,3,3
147910,,1,1
148098,1,10,11
148099,1,,1
148244,1,,1
148454,1,,1
148461,,1,1
148772,20,3,23
148831,2,,2
148846,,1,1
148857,,1,1
148911,,1,1
148923,1,,1
149025,,1,1
149103,,1,1
149249,,2,2
149324,,1,1
149346,,1,1
149361,,1,1
149369,1,,1
149751,,1,1
149766,,8,8
149867,,1,1
149883,,1,1
149943,1,,1
150007,1,,1
150046,11,8,19
150065,,1,1
150126,,1,1
150290,1,,1
150565,,1,1
150616,6,1,7
150659,,1,1
150702,36,5,41
150718,,1,1
150719,5,,5
150808,1,,1
150834,,1,1
150857,,2,2
150863,,4,4
150890,,2,2
150903,5,,5
151027,,2,2
151101,4,1,5
151343,1,1,2
151399,,1,1
151495,,1,1
151660,1,,1
151680,1,,1
151728,,10,10
151774,4,,4
151860,,1,1
151870,,1,1
151880,3,96,99
152088,,2,2
152114,1,1,2
152145,5,6,11
152226,,1,1
152240,,1,1
153123,2,,2
153617,,7,7
153938,6,2,8
153989,4,5,9
154017,6,4,10
154053,9,,9
154224,,2,2
154243,,1,1
154335,,1,1
154448,,1,1
154483,17,11,28
154561,1,,1
154760,10,1,11
154793,,2,2
154809,,1,1
154810,,1,1
154860,,2,2
154894,,1,1
155060,,1,1
155068,10,3,13
155069,,1,1
155139,,8,8
155172,,4,4
155175,,1,1
155281,1,,1
155288,2,,2
155340,,1,1
155435,,1,1
155528,,4,4
155561,1,,1
155634,1,,1
155835,,5,5
155851,1,,1
155966,,1,1
156077,4,,4
156221,1,5,6
156261,,1,1
156280,,1,1
156285,3,1,4
156320,,1,1
156397,,4,4
156456,3,,3
156595,1,3,4
156659,,1,1
156695,,1,1
156707,,1,1
156806,,2,2
156822,,6,6
156997,,1,1
157185,1,,1
157345,,5,5
157680,,1,1
157684,,6,6
157788,109,6,115
157858,,5,5
157865,2,,2
157920,2,3,5
157962,1,,1
158028,7,6,13
158050,1,,1
158186,,1,1
158214,,2,2
158360,,1,1
158365,,2,2
158393,,3,3
158564,1,,1
158717,,3,3
158761,,4,4
159275,,3,3
159296,2,1,3
159376,,7,7
159392,2,3,5
159411,1,,1
159445,21,9,30
159475,,3,3
159758,,4,4
160009,1,,1
160038,2,,2
160056,,53,53
160347,1,,1
160642,,1,1
160655,,1,1
160725,,2,2
160749,14,2,16
160914,1,,1
161125,,2,2
161266,2,,2
161319,1,,1
161386,,1,1
161442,,1,1
161773,1,1,2
162111,,2,2
162175,1,,1
162272,1,,1
162300,4,1,5
162380,,3,3
162435,,3,3
162501,,1,1
162693,4,1,5
162736,,1,1
162856,1,,1
162891,13,,13
162912,,1,1
162914,1,1,2
162975,,2,2
163091,,2,2
163108,1,,1
163120,2,1,3
163123,1,,1
163148,1,,1
163172,6,3,9
163173,2,,2
163381,,1,1
163434,,1,1
163475,1,5,6
163640,1,3,4
163674,3,1,4
163681,,2,2
163794,,5,5
164237,2,2,4
164416,,1,1
164480,1,,1
164678,,21,21
164747,,1,1
164767,2,,2
164894,1,,1
164896,,1,1
164942,,18,18
165024,,1,1
165049,,2,2
165083,13,,13
165145,,1,1
165215,4,2,6
165249,,3,3
165369,1,6,7
165373,,1,1
165400,,3,3
165485,2,,2
165591,,5,5
165975,2,,2
166007,2,,2
166250,,1,1
166381,1,3,4
166519,3,,3
166668,,1,1
166770,,1,1
167014,,10,10
167121,1,,1
167292,1,3,4
167300,1,1,2
167324,11,,11
167327,,4,4
167511,1,4,5
167524,,1,1
167663,,2,2
167861,1,2,3
167962,2,,2
167977,,2,2
168193,1,4,5
168238,,1,1
168282,1,,1
168525,1,,1
168557,2,,2
168660,7,,7
168843,,4,4
169015,,5,5
169104,,1,1
169380,1,,1
169500,4,,4
169735,11,12,23
169741,1,,1
169880,1,,1
169988,,1,1
170083,5,1,6
170093,,1,1
170811,1,,1
171008,,2,2
171068,,6,6
171083,,1,1
171364,5,1,6
171460,3,,3
171611,,1,1
171685,22,6,28
171700,5,,5
171772,1,,1
171974,,1,1
172154,1,3,4
172239,3,,3
172278,,1,1
172355,2,,2
172420,,7,7
