EID,RECRNUM,IS_WZ1,IS_WZ2,IS_WZ3,WZ1_RECRNUM,WZ2_RECRNUM,WZ3_RECRNUM,WZ_COUNT,IS_RECR
1242,72.0,1,1,1,1.0,50.0,21.0,3,1
1270,,1,0,0,,,,1,0
1283,,0,0,1,,,,1,0
1304,,1,0,0,,,,1,0
1332,,1,0,1,,,,2,0
1362,,0,0,1,,,,1,0
1373,13.0,1,1,1,0.0,6.0,7.0,3,1
1377,22.0,1,0,1,0.0,0.0,22.0,2,1
1382,8.0,0,1,0,0.0,8.0,0.0,1,1
1424,34.0,0,1,0,0.0,34.0,0.0,1,1
1465,47.0,0,1,1,0.0,16.0,31.0,2,1
1475,3.0,0,1,0,0.0,3.0,0.0,1,1
1479,,0,0,1,,,,1,0
1489,1.0,0,1,1,0.0,1.0,0.0,2,1
1513,18.0,0,1,0,0.0,18.0,0.0,1,1
1536,1.0,0,1,0,0.0,1.0,0.0,1,1
1594,9.0,1,1,0,4.0,5.0,0.0,2,1
1611,,1,1,0,,,,2,0
1618,5.0,0,1,0,0.0,5.0,0.0,1,1
1681,82.0,1,1,0,25.0,57.0,0.0,2,1
1683,,1,0,0,,,,1,0
1693,,0,0,1,,,,1,0
1700,17.0,1,0,1,0.0,0.0,17.0,2,1
1707,14.0,0,1,0,0.0,14.0,0.0,1,1
1759,14.0,0,1,0,0.0,14.0,0.0,1,1
1778,23.0,0,1,1,0.0,0.0,23.0,2,1
1799,6.0,1,1,1,0.0,6.0,0.0,3,1
1803,51.0,1,1,0,0.0,51.0,0.0,2,1
1834,1.0,0,1,0,0.0,1.0,0.0,1,1
1885,,1,0,0,,,,1,0
1887,,1,0,0,,,,1,0
1904,5.0,0,1,1,0.0,1.0,4.0,2,1
1909,28.0,0,1,1,0.0,19.0,9.0,2,1
1919,84.0,0,1,1,0.0,41.0,43.0,2,1
1949,17.0,0,1,0,0.0,17.0,0.0,1,1
1960,2.0,0,1,0,0.0,2.0,0.0,1,1
1964,11.0,0,1,0,0.0,11.0,0.0,1,1
1976,8.0,1,1,0,8.0,0.0,0.0,2,1
1989,29.0,0,0,1,0.0,0.0,29.0,1,1
2046,2.0,0,0,1,0.0,0.0,2.0,1,1
2076,11.0,0,1,0,0.0,11.0,0.0,1,1
2084,1.0,0,1,0,0.0,1.0,0.0,1,1
2102,4.0,0,0,1,0.0,0.0,4.0,1,1
2123,81.0,1,1,0,47.0,34.0,0.0,2,1
2169,32.0,0,0,1,0.0,0.0,32.0,1,1
2188,,1,0,0,,,,1,0
2266,2.0,0,0,1,0.0,0.0,2.0,1,1
2323,1.0,0,1,0,0.0,1.0,0.0,1,1
2332,203.0,1,1,1,88.0,85.0,30.0,3,1
2338,6.0,1,0,0,6.0,0.0,0.0,1,1
2347,16.0,0,1,1,0.0,11.0,5.0,2,1
2381,23.0,0,0,1,0.0,0.0,23.0,1,1
2452,18.0,0,1,0,0.0,18.0,0.0,1,1
2468,9.0,1,0,1,0.0,0.0,9.0,2,1
2472,8.0,0,0,1,0.0,0.0,8.0,1,1
2477,18.0,0,1,0,0.0,18.0,0.0,1,1
2480,2124.0,0,1,0,0.0,2124.0,0.0,1,1
2500,41.0,0,1,1,0.0,40.0,1.0,2,1
2509,31.0,0,1,0,0.0,31.0,0.0,1,1
2511,24.0,0,1,1,0.0,19.0,5.0,2,1
2568,7.0,0,1,0,0.0,7.0,0.0,1,1
2575,3.0,0,0,1,0.0,0.0,3.0,1,1
2618,8.0,0,1,0,0.0,8.0,0.0,1,1
2621,8.0,0,1,0,0.0,8.0,0.0,1,1
2629,20.0,0,0,1,0.0,0.0,20.0,1,1
2655,,0,0,1,,,,1,0
2656,35.0,0,1,0,0.0,35.0,0.0,1,1
2677,,0,0,1,,,,1,0
2679,8.0,0,0,1,0.0,0.0,8.0,1,1
2733,2.0,0,0,1,0.0,0.0,2.0,1,1
2783,12.0,0,1,1,0.0,5.0,7.0,2,1
2793,11.0,0,1,0,0.0,11.0,0.0,1,1
2816,4.0,0,1,0,0.0,4.0,0.0,1,1
2821,4.0,0,0,1,0.0,0.0,4.0,1,1
2843,3.0,0,1,0,0.0,3.0,0.0,1,1
2858,7.0,0,0,1,0.0,0.0,7.0,1,1
2954,4.0,0,1,0,0.0,4.0,0.0,1,1
2956,2.0,0,1,0,0.0,2.0,0.0,1,1
2957,7.0,1,0,1,6.0,0.0,1.0,2,1
2990,1.0,0,1,0,0.0,1.0,0.0,1,1
3010,6.0,0,0,1,0.0,0.0,6.0,1,1
3027,119.0,1,1,1,18.0,49.0,52.0,3,1
3028,,0,1,1,,,,2,0
3049,3.0,0,0,1,0.0,0.0,3.0,1,1
3055,33.0,1,0,1,0.0,0.0,33.0,2,1
3069,,0,0,1,,,,1,0
3137,,1,1,1,,,,3,0
3144,1.0,1,0,1,0.0,0.0,1.0,2,1
3154,,0,1,0,,,,1,0
3159,45.0,0,1,1,0.0,39.0,6.0,2,1
3220,8.0,0,1,1,0.0,8.0,0.0,2,1
3244,17.0,0,1,0,0.0,17.0,0.0,1,1
3258,3.0,0,0,1,0.0,0.0,3.0,1,1
3269,14.0,0,1,1,0.0,14.0,0.0,2,1
3274,,1,0,0,,,,1,0
3300,24.0,0,1,1,0.0,6.0,18.0,2,1
3301,3.0,0,0,1,0.0,0.0,3.0,1,1
3324,25.0,1,1,1,0.0,15.0,10.0,3,1
3342,70.0,0,1,0,0.0,70.0,0.0,1,1
3377,7.0,0,0,1,0.0,0.0,7.0,1,1
3424,2.0,1,0,0,2.0,0.0,0.0,1,1
3426,,0,1,0,,,,1,0
3440,1.0,0,0,1,0.0,0.0,1.0,1,1
3472,53.0,1,1,1,0.0,21.0,32.0,3,1
3494,4.0,0,1,1,0.0,0.0,4.0,2,1
3495,3.0,0,1,1,0.0,3.0,0.0,2,1
3497,15.0,0,0,1,0.0,0.0,15.0,1,1
3524,,0,1,0,,,,1,0
3529,23.0,0,0,1,0.0,0.0,23.0,1,1
3531,11.0,0,0,1,0.0,0.0,11.0,1,1
3553,2.0,0,1,0,0.0,2.0,0.0,1,1
3557,5.0,0,1,0,0.0,5.0,0.0,1,1
3588,,0,0,1,,,,1,0
3624,108.0,1,1,0,0.0,108.0,0.0,2,1
3634,14.0,1,1,1,3.0,10.0,1.0,3,1
3649,,1,0,1,,,,2,0
3690,,1,0,0,,,,1,0
3702,6.0,0,1,1,0.0,0.0,6.0,2,1
3728,22.0,0,1,1,0.0,21.0,1.0,2,1
3744,1.0,0,1,1,0.0,0.0,1.0,2,1
3749,11.0,0,1,1,0.0,4.0,7.0,2,1
3753,,1,1,0,,,,2,0
3754,4.0,0,0,1,0.0,0.0,4.0,1,1
3768,,1,0,0,,,,1,0
3783,23.0,0,1,1,0.0,0.0,23.0,2,1
3804,85.0,1,1,1,0.0,48.0,37.0,3,1
3876,29.0,1,1,1,0.0,11.0,18.0,3,1
3913,27.0,1,0,1,17.0,0.0,10.0,2,1
4011,95.0,1,1,1,16.0,50.0,29.0,3,1
4031,64.0,0,1,1,0.0,38.0,26.0,2,1
4041,7.0,0,1,1,0.0,2.0,5.0,2,1
4046,7.0,0,0,1,0.0,0.0,7.0,1,1
4081,5.0,0,1,0,0.0,5.0,0.0,1,1
4135,6.0,0,0,1,0.0,0.0,6.0,1,1
4140,2.0,0,1,0,0.0,2.0,0.0,1,1
4154,2.0,0,0,1,0.0,0.0,2.0,1,1
4170,,0,1,0,,,,1,0
4253,9.0,1,1,1,1.0,0.0,8.0,3,1
4261,5.0,0,1,0,0.0,5.0,0.0,1,1
4308,2.0,0,0,1,0.0,0.0,2.0,1,1
4320,6.0,0,1,0,0.0,6.0,0.0,1,1
4326,216.0,0,1,1,0.0,207.0,9.0,2,1
4417,36.0,0,1,1,0.0,19.0,17.0,2,1
4433,1213.0,1,1,1,106.0,475.0,632.0,3,1
4439,12.0,0,1,1,0.0,5.0,7.0,2,1
4478,10.0,0,1,1,0.0,8.0,2.0,2,1
4486,55.0,0,1,1,0.0,27.0,28.0,2,1
4503,4.0,0,1,1,0.0,2.0,2.0,2,1
4569,,0,0,1,,,,1,0
4583,195.0,1,1,1,0.0,117.0,78.0,3,1
4595,8.0,0,1,0,0.0,8.0,0.0,1,1
4601,11.0,0,1,0,0.0,11.0,0.0,1,1
4644,12.0,1,0,1,1.0,0.0,11.0,2,1
4647,6.0,0,0,1,0.0,0.0,6.0,1,1
4650,5.0,0,0,1,0.0,0.0,5.0,1,1
4741,28.0,1,1,0,5.0,23.0,0.0,2,1
4788,12.0,0,0,1,0.0,0.0,12.0,1,1
4794,140.0,1,1,1,1.0,87.0,52.0,3,1
4796,,1,0,0,,,,1,0
4802,1.0,0,1,0,0.0,1.0,0.0,1,1
4811,32.0,1,1,1,8.0,24.0,0.0,3,1
4828,35.0,1,0,1,31.0,0.0,4.0,2,1
4843,22.0,0,0,1,0.0,0.0,22.0,1,1
4850,12.0,0,1,0,0.0,12.0,0.0,1,1
4863,12.0,1,0,1,0.0,0.0,12.0,2,1
4868,27.0,1,0,1,21.0,0.0,6.0,2,1
4877,10.0,0,1,1,0.0,10.0,0.0,2,1
4939,,0,0,1,,,,1,0
4950,1.0,0,1,0,0.0,1.0,0.0,1,1
4986,12.0,0,1,1,0.0,6.0,6.0,2,1
5010,11.0,0,1,0,0.0,11.0,0.0,1,1
5017,3.0,0,1,0,0.0,3.0,0.0,1,1
5077,6.0,0,1,0,0.0,6.0,0.0,1,1
5092,12.0,1,0,1,0.0,0.0,12.0,2,1
5167,36.0,1,1,1,1.0,28.0,7.0,3,1
5183,2.0,0,0,1,0.0,0.0,2.0,1,1
5263,3.0,0,0,1,0.0,0.0,3.0,1,1
5264,19.0,0,1,1,0.0,15.0,4.0,2,1
5272,14.0,0,1,1,0.0,13.0,1.0,2,1
5289,,0,0,1,,,,1,0
5292,2.0,0,0,1,0.0,0.0,2.0,1,1
5310,,1,0,0,,,,1,0
5323,3.0,0,1,0,0.0,3.0,0.0,1,1
5342,3.0,1,0,0,3.0,0.0,0.0,1,1
5356,11.0,0,1,1,0.0,8.0,3.0,2,1
5521,28.0,1,1,1,0.0,19.0,9.0,3,1
5552,,1,0,0,,,,1,0
5585,5.0,0,1,0,0.0,5.0,0.0,1,1
5619,8.0,0,0,1,0.0,0.0,8.0,1,1
5625,13.0,0,1,1,0.0,9.0,4.0,2,1
5631,,0,1,0,,,,1,0
5687,60.0,0,1,0,0.0,60.0,0.0,1,1
5697,22.0,0,1,0,0.0,22.0,0.0,1,1
5719,,0,1,0,,,,1,0
5723,17.0,0,1,1,0.0,17.0,0.0,2,1
5725,12.0,0,0,1,0.0,0.0,12.0,1,1
5795,40.0,0,1,1,0.0,25.0,15.0,2,1
5797,1.0,0,1,0,0.0,1.0,0.0,1,1
5814,6.0,0,1,0,0.0,6.0,0.0,1,1
5835,3.0,0,1,0,0.0,3.0,0.0,1,1
5891,5.0,0,0,1,0.0,0.0,5.0,1,1
5931,11.0,0,0,1,0.0,0.0,11.0,1,1
5954,,0,0,1,,,,1,0
5977,15.0,0,1,1,0.0,3.0,12.0,2,1
5978,9.0,0,0,1,0.0,0.0,9.0,1,1
5986,116.0,0,1,0,0.0,116.0,0.0,1,1
6014,1.0,0,0,1,0.0,0.0,1.0,1,1
6023,12.0,0,1,1,0.0,0.0,12.0,2,1
6036,46.0,0,1,0,0.0,46.0,0.0,1,1
6058,17.0,0,0,1,0.0,0.0,17.0,1,1
6068,15.0,0,1,0,0.0,15.0,0.0,1,1
6070,,0,0,1,,,,1,0
6071,1.0,0,1,0,0.0,1.0,0.0,1,1
6076,33.0,1,1,0,1.0,32.0,0.0,2,1
6100,47.0,0,1,1,0.0,25.0,22.0,2,1
6102,5.0,0,1,1,0.0,0.0,5.0,2,1
6121,9.0,0,1,0,0.0,9.0,0.0,1,1
6122,12.0,0,1,1,0.0,11.0,1.0,2,1
6134,,0,1,0,,,,1,0
6141,2.0,0,1,0,0.0,2.0,0.0,1,1
6165,37.0,1,1,1,0.0,33.0,4.0,3,1
6170,16.0,0,1,1,0.0,8.0,8.0,2,1
6184,,0,1,0,,,,1,0
6190,,0,1,0,,,,1,0
6217,40.0,1,1,0,3.0,37.0,0.0,2,1
6247,7.0,0,1,0,0.0,7.0,0.0,1,1
6248,7.0,1,0,0,7.0,0.0,0.0,1,1
6273,21.0,0,1,1,0.0,15.0,6.0,2,1
6281,28.0,0,1,0,0.0,28.0,0.0,1,1
6303,,0,1,1,,,,2,0
6325,35.0,1,0,0,35.0,0.0,0.0,1,1
6357,2.0,0,1,0,0.0,2.0,0.0,1,1
6376,,0,0,1,,,,1,0
6402,,0,1,0,,,,1,0
6452,6.0,1,0,0,6.0,0.0,0.0,1,1
6454,6.0,0,1,0,0.0,6.0,0.0,1,1
6586,2.0,0,0,1,0.0,0.0,2.0,1,1
6587,8.0,0,0,1,0.0,0.0,8.0,1,1
6591,83.0,1,1,1,12.0,71.0,0.0,3,1
6609,24.0,1,1,1,2.0,0.0,22.0,3,1
6626,2.0,0,1,0,0.0,2.0,0.0,1,1
6691,27.0,1,0,1,13.0,0.0,14.0,2,1
6692,13.0,0,1,0,0.0,13.0,0.0,1,1
6747,38.0,0,1,0,0.0,38.0,0.0,1,1
6750,,1,0,1,,,,2,0
6769,1.0,0,1,0,0.0,1.0,0.0,1,1
6796,10.0,1,1,1,1.0,4.0,5.0,3,1
6809,,0,0,1,,,,1,0
6824,19.0,1,1,1,5.0,14.0,0.0,3,1
6828,26.0,0,1,0,0.0,26.0,0.0,1,1
6846,38.0,0,1,1,0.0,29.0,9.0,2,1
6870,42.0,1,1,1,11.0,19.0,12.0,3,1
6892,12.0,0,1,0,0.0,12.0,0.0,1,1
6918,12.0,0,1,0,0.0,12.0,0.0,1,1
6953,3.0,1,1,0,2.0,1.0,0.0,2,1
6964,6.0,0,0,1,0.0,0.0,6.0,1,1
6965,35.0,0,1,1,0.0,30.0,5.0,2,1
7004,16.0,0,1,1,0.0,13.0,3.0,2,1
7020,,0,1,0,,,,1,0
7021,9.0,0,0,1,0.0,0.0,9.0,1,1
7044,16.0,0,1,0,0.0,16.0,0.0,1,1
7053,14.0,0,1,0,0.0,14.0,0.0,1,1
7086,4.0,0,1,0,0.0,4.0,0.0,1,1
7093,8.0,0,1,0,0.0,8.0,0.0,1,1
7097,8.0,0,1,0,0.0,8.0,0.0,1,1
7216,,0,1,0,,,,1,0
7221,12.0,1,1,0,2.0,10.0,0.0,2,1
7273,,0,0,1,,,,1,0
7310,21.0,0,0,1,0.0,0.0,21.0,1,1
7340,71.0,0,1,1,0.0,64.0,7.0,2,1
7345,6.0,1,1,1,0.0,3.0,3.0,3,1
7350,751.0,1,1,0,0.0,751.0,0.0,2,1
7367,31.0,0,1,0,0.0,31.0,0.0,1,1
7381,118.0,1,1,1,1.0,100.0,17.0,3,1
7401,121.0,0,0,1,0.0,0.0,121.0,1,1
7416,20.0,1,1,0,0.0,20.0,0.0,2,1
7477,151.0,1,1,1,6.0,94.0,51.0,3,1
7479,5.0,1,0,1,0.0,0.0,5.0,2,1
7481,23.0,0,1,0,0.0,23.0,0.0,1,1
7543,2.0,0,0,1,0.0,0.0,2.0,1,1
7596,5.0,0,1,0,0.0,5.0,0.0,1,1
7599,11.0,0,1,1,0.0,7.0,4.0,2,1
7601,,0,0,1,,,,1,0
7602,18.0,0,1,1,0.0,11.0,7.0,2,1
7617,64.0,0,1,1,0.0,37.0,27.0,2,1
7648,8.0,1,1,0,0.0,8.0,0.0,2,1
7660,2.0,0,1,0,0.0,2.0,0.0,1,1
7664,3.0,0,1,1,0.0,3.0,0.0,2,1
7670,29.0,0,0,1,0.0,0.0,29.0,1,1
7708,8.0,0,1,0,0.0,8.0,0.0,1,1
7709,8.0,0,1,0,0.0,8.0,0.0,1,1
7742,7.0,0,0,1,0.0,0.0,7.0,1,1
7746,6.0,0,0,1,0.0,0.0,6.0,1,1
7748,550.0,0,1,1,0.0,278.0,272.0,2,1
7769,14.0,1,1,1,6.0,8.0,0.0,3,1
7798,2.0,0,1,0,0.0,2.0,0.0,1,1
7805,5.0,0,0,1,0.0,0.0,5.0,1,1
7814,16.0,0,1,1,0.0,10.0,6.0,2,1
7818,15.0,1,1,0,1.0,14.0,0.0,2,1
7867,2.0,0,1,0,0.0,2.0,0.0,1,1
7882,2.0,0,0,1,0.0,0.0,2.0,1,1
7918,,0,1,0,,,,1,0
7939,22.0,1,1,1,0.0,0.0,22.0,3,1
7965,2.0,0,0,1,0.0,0.0,2.0,1,1
7982,4.0,0,1,1,0.0,2.0,2.0,2,1
7991,1.0,0,1,0,0.0,1.0,0.0,1,1
8035,10.0,1,0,1,0.0,0.0,10.0,2,1
8042,,0,0,1,,,,1,0
8043,6.0,0,1,0,0.0,6.0,0.0,1,1
8074,1.0,0,1,0,0.0,1.0,0.0,1,1
8090,,0,0,1,,,,1,0
8099,15.0,0,1,1,0.0,15.0,0.0,2,1
8101,37.0,1,0,1,19.0,0.0,18.0,2,1
8102,89.0,0,1,1,0.0,33.0,56.0,2,1
8123,7.0,0,1,1,0.0,3.0,4.0,2,1
8148,16.0,0,1,1,0.0,16.0,0.0,2,1
8185,10.0,0,1,0,0.0,10.0,0.0,1,1
8203,6.0,0,1,0,0.0,6.0,0.0,1,1
8317,4.0,0,1,1,0.0,2.0,2.0,2,1
8323,31.0,0,1,1,0.0,27.0,4.0,2,1
8329,3.0,0,0,1,0.0,0.0,3.0,1,1
8413,32.0,0,0,1,0.0,0.0,32.0,1,1
8421,,0,1,1,,,,2,0
8427,10.0,0,1,0,0.0,10.0,0.0,1,1
8461,5.0,0,1,0,0.0,5.0,0.0,1,1
8475,4.0,0,1,0,0.0,4.0,0.0,1,1
8512,9.0,0,1,0,0.0,9.0,0.0,1,1
8545,12.0,0,0,1,0.0,0.0,12.0,1,1
8562,,1,0,0,,,,1,0
8685,3.0,1,0,1,0.0,0.0,3.0,2,1
8689,44.0,0,0,1,0.0,0.0,44.0,1,1
8695,4.0,0,1,0,0.0,4.0,0.0,1,1
8705,3.0,0,1,0,0.0,3.0,0.0,1,1
8717,1.0,0,1,1,0.0,1.0,0.0,2,1
8753,8.0,0,0,1,0.0,0.0,8.0,1,1
8768,13.0,0,1,0,0.0,13.0,0.0,1,1
8793,,0,0,1,,,,1,0
8799,2.0,0,1,0,0.0,2.0,0.0,1,1
8842,2.0,0,0,1,0.0,0.0,2.0,1,1
8866,9.0,0,0,1,0.0,0.0,9.0,1,1
8909,39.0,0,1,1,0.0,16.0,23.0,2,1
9007,1.0,0,0,1,0.0,0.0,1.0,1,1
9016,16.0,1,1,1,0.0,11.0,5.0,3,1
9043,5.0,0,0,1,0.0,0.0,5.0,1,1
9058,,0,1,0,,,,1,0
9112,8.0,1,1,0,0.0,8.0,0.0,2,1
9233,17.0,0,0,1,0.0,0.0,17.0,1,1
9244,3.0,0,1,0,0.0,3.0,0.0,1,1
9308,4.0,0,1,0,0.0,4.0,0.0,1,1
9325,2.0,0,1,0,0.0,2.0,0.0,1,1
9394,87.0,1,1,0,0.0,87.0,0.0,2,1
9427,9.0,0,0,1,0.0,0.0,9.0,1,1
9441,,1,0,0,,,,1,0
9464,,1,0,0,,,,1,0
9474,6.0,0,0,1,0.0,0.0,6.0,1,1
9477,13.0,0,0,1,0.0,0.0,13.0,1,1
9559,2.0,0,1,1,0.0,2.0,0.0,2,1
9587,23.0,0,1,1,0.0,19.0,4.0,2,1
9613,19.0,0,1,0,0.0,19.0,0.0,1,1
9620,30.0,1,1,0,2.0,28.0,0.0,2,1
9640,4.0,0,1,0,0.0,4.0,0.0,1,1
9650,3.0,1,0,0,3.0,0.0,0.0,1,1
9674,10.0,0,1,0,0.0,10.0,0.0,1,1
9680,32.0,0,1,1,0.0,16.0,16.0,2,1
9753,32.0,0,1,0,0.0,32.0,0.0,1,1
9794,16.0,0,1,1,0.0,14.0,2.0,2,1
9833,,1,0,0,,,,1,0
9871,1.0,1,0,0,1.0,0.0,0.0,1,1
9900,3.0,0,0,1,0.0,0.0,3.0,1,1
9903,2.0,0,0,1,0.0,0.0,2.0,1,1
9937,47.0,0,1,0,0.0,47.0,0.0,1,1
9954,13.0,0,1,0,0.0,13.0,0.0,1,1
9983,12.0,0,1,1,0.0,0.0,12.0,2,1
9988,2.0,0,1,0,0.0,2.0,0.0,1,1
9995,2.0,0,0,1,0.0,0.0,2.0,1,1
10001,1.0,0,1,0,0.0,1.0,0.0,1,1
10022,8.0,0,1,1,0.0,4.0,4.0,2,1
10034,14.0,1,1,1,0.0,14.0,0.0,3,1
10051,9.0,0,1,0,0.0,9.0,0.0,1,1
10076,20.0,0,0,1,0.0,0.0,20.0,1,1
10126,6.0,0,0,1,0.0,0.0,6.0,1,1
10164,9.0,1,0,1,1.0,0.0,8.0,2,1
10211,5.0,1,1,0,0.0,5.0,0.0,2,1
10217,9.0,0,1,1,0.0,9.0,0.0,2,1
10226,2.0,1,0,0,2.0,0.0,0.0,1,1
10229,1.0,0,1,0,0.0,1.0,0.0,1,1
10249,186.0,1,1,1,65.0,94.0,27.0,3,1
10297,14.0,0,1,1,0.0,6.0,8.0,2,1
10303,122.0,0,1,1,0.0,59.0,63.0,2,1
10367,10.0,0,1,0,0.0,10.0,0.0,1,1
10399,35.0,0,0,1,0.0,0.0,35.0,1,1
10401,5.0,0,1,1,0.0,4.0,1.0,2,1
10422,26.0,0,0,1,0.0,0.0,26.0,1,1
10427,13.0,0,1,0,0.0,13.0,0.0,1,1
10450,168.0,0,1,1,0.0,150.0,18.0,2,1
10486,2.0,0,0,1,0.0,0.0,2.0,1,1
10490,7.0,0,0,1,0.0,0.0,7.0,1,1
10498,66.0,0,1,1,0.0,32.0,34.0,2,1
10553,,0,1,0,,,,1,0
10566,59.0,0,1,1,0.0,29.0,30.0,2,1
10575,11.0,1,0,1,0.0,0.0,11.0,2,1
10580,1.0,1,0,0,1.0,0.0,0.0,1,1
10595,,1,0,0,,,,1,0
10601,8.0,0,1,0,0.0,8.0,0.0,1,1
10619,73.0,0,1,1,0.0,70.0,3.0,2,1
10650,24.0,0,1,1,0.0,18.0,6.0,2,1
10683,13.0,0,0,1,0.0,0.0,13.0,1,1
10690,1.0,0,1,0,0.0,1.0,0.0,1,1
10712,56.0,1,1,1,9.0,27.0,20.0,3,1
10747,23.0,0,1,1,0.0,15.0,8.0,2,1
10813,9.0,0,1,0,0.0,9.0,0.0,1,1
10815,32.0,0,1,1,0.0,14.0,18.0,2,1
10820,4.0,0,1,0,0.0,4.0,0.0,1,1
10860,74.0,0,1,1,0.0,45.0,29.0,2,1
10896,,0,1,0,,,,1,0
10899,6.0,0,0,1,0.0,0.0,6.0,1,1
10905,3.0,0,1,0,0.0,3.0,0.0,1,1
10947,9.0,0,1,1,0.0,7.0,2.0,2,1
10949,22.0,0,1,0,0.0,22.0,0.0,1,1
10967,29.0,1,1,1,0.0,9.0,20.0,3,1
10986,22.0,1,1,0,0.0,22.0,0.0,2,1
11002,1.0,0,1,0,0.0,1.0,0.0,1,1
11029,60.0,0,1,1,0.0,47.0,13.0,2,1
11054,8.0,0,1,0,0.0,8.0,0.0,1,1
11055,,1,0,0,,,,1,0
11086,4.0,1,0,0,4.0,0.0,0.0,1,1
11109,2.0,0,0,1,0.0,0.0,2.0,1,1
11144,14.0,0,1,0,0.0,14.0,0.0,1,1
11151,,0,1,0,,,,1,0
11168,10.0,1,0,1,4.0,0.0,6.0,2,1
11199,76.0,0,1,1,0.0,75.0,1.0,2,1
11218,4.0,0,1,1,0.0,1.0,3.0,2,1
11221,3.0,0,1,0,0.0,3.0,0.0,1,1
11260,36.0,0,1,1,0.0,20.0,16.0,2,1
11282,2.0,0,0,1,0.0,0.0,2.0,1,1
11285,22.0,0,1,0,0.0,22.0,0.0,1,1
11288,9.0,0,1,0,0.0,9.0,0.0,1,1
11291,3.0,0,0,1,0.0,0.0,3.0,1,1
11296,58.0,0,1,1,0.0,30.0,28.0,2,1
11370,10.0,0,0,1,0.0,0.0,10.0,1,1
11398,246.0,1,1,1,41.0,114.0,91.0,3,1
11399,31.0,1,1,1,3.0,21.0,7.0,3,1
11414,1.0,0,1,0,0.0,1.0,0.0,1,1
11461,,1,0,0,,,,1,0
11482,10.0,1,1,0,0.0,10.0,0.0,2,1
11516,1.0,1,1,0,0.0,1.0,0.0,2,1
11575,2.0,0,1,1,0.0,2.0,0.0,2,1
11606,26.0,0,1,0,0.0,26.0,0.0,1,1
11665,8.0,0,1,0,0.0,8.0,0.0,1,1
11684,19.0,0,1,1,0.0,19.0,0.0,2,1
11693,18.0,1,1,1,0.0,18.0,0.0,3,1
11727,,0,1,0,,,,1,0
11760,,0,0,1,,,,1,0
11796,,0,1,0,,,,1,0
11798,,0,1,0,,,,1,0
11815,395.0,1,1,0,191.0,204.0,0.0,2,1
