EID,TYPECODE项目ID,DJDATE中标日期,IFHOME项目地是否企业登记地
18078,5501197,Jul-15,1
18078,4836637,Dec-14,1
18078,4975022,Jan-15,1
18078,4020025,Feb-14,1
18078,4501739,Sep-14,0
18078,5017159,Feb-15,1
18078,4067374,Mar-14,0
18078,4020074,Feb-14,1
18078,5470276,Jun-15,0
18078,4876788,Dec-14,0
18078,5541102,Jul-15,0
18078,4028102,Feb-14,0
18078,5108573,Mar-15,1
18078,4186129,May-14,0
18078,5444820,Jun-15,1
18078,5614287,Jul-15,0
18078,4810369,Dec-14,1
18078,5361775,Jun-15,0
18078,4622490,Oct-14,1
18078,4739739,Nov-14,0
18078,4505862,Sep-14,1
18078,4755620,Nov-14,0
18078,4581107,Sep-14,0
18078,4607137,Oct-14,0
18078,4069487,Mar-14,1
18078,5098288,Mar-15,1
18078,4836636,Dec-14,1
18078,4111222,Apr-14,1
18078,4749853,Nov-14,0
18078,5401808,Jun-15,1
18078,4345170,Jul-14,1
18078,5562202,Jul-15,0
18078,5504958,Jul-15,1
18078,4518922,Sep-14,0
18078,5016272,Feb-15,1
18078,5197137,Apr-15,1
18078,5534414,Jul-15,0
18078,5044411,Mar-15,1
18078,4396219,Jul-14,1
18078,5280224,May-15,1
18078,4860747,Dec-14,1
18078,4741828,Nov-14,1
18078,5602704,Jul-15,0
18078,4896460,Dec-14,1
18078,5627928,Jul-15,1
18078,5098230,Mar-15,1
18078,5489629,Jun-15,0
18078,4169725,May-14,0
18078,4085448,Apr-14,1
18078,5597346,Jul-15,1
18078,4648942,Oct-14,1
18078,4336038,Jul-14,1
18078,4523974,Sep-14,0
18078,5360426,Jun-15,0
18078,5050904,Mar-15,1
18078,4659685,Oct-14,0
18078,4771064,Nov-14,0
18078,4481244,Aug-14,1
18078,4118885,Apr-14,0
18078,5401199,Jun-15,1
18078,4824183,Dec-14,1
18078,4111223,Apr-14,1
18078,5421556,Jun-15,1
18078,4267456,Jun-14,1
18078,5075194,Mar-15,1
18078,4181567,May-14,1
18078,4008033,Jan-14,1
18078,4707724,Nov-14,0
18078,4085393,Apr-14,1
18078,4870514,Dec-14,1
18078,4187349,May-14,0
18078,4750462,Nov-14,0
18078,4580670,Sep-14,0
18078,4701917,Nov-14,0
18078,5496234,Jul-15,0
18078,5300356,May-15,0
18078,4101311,Apr-14,1
18078,4402580,Jul-14,0
18078,4549454,Sep-14,0
18078,4290583,Jun-14,0
18078,4714844,Nov-14,0
18078,4899165,Jan-15,1
18078,4281379,Jun-14,1
18078,4519004,Sep-14,0
18078,5367890,Jun-15,1
18078,4648948,Oct-14,1
18078,5165773,Apr-15,1
18078,4033290,Feb-14,1
18078,4811649,Dec-14,0
18078,4985789,Feb-15,1
18078,4221225,Jun-14,1
18078,4623686,Oct-14,0
18078,5565421,Jul-15,0
18078,4237903,Jun-14,1
18078,4858903,Dec-14,0
18078,4154371,May-14,0
18078,3990275,Jan-14,1
18078,5239506,Apr-15,1
18078,5260346,May-15,0
18078,4427007,Aug-14,1
18078,4487591,Aug-14,1
18078,5484100,Jun-15,1
18078,4726026,Nov-14,1
18078,4005005,Jan-14,1
18078,4790037,Dec-14,1
18078,4376925,Jul-14,0
18078,4588718,Sep-14,1
18078,4007847,Jan-14,1
18078,5766402,Aug-15,0
18078,5685666,Aug-15,0
18078,4401185,Jul-14,1
18078,5620261,Jul-15,0
18078,4100767,Apr-14,1
18078,4781723,Nov-14,0
18078,4028186,Feb-14,1
18078,4267544,Jun-14,1
18078,5527330,Jul-15,0
18078,4974823,Jan-15,1
18078,5653529,Aug-15,0
18078,5377565,Jun-15,1
18078,5316981,May-15,0
18078,5013104,Feb-15,0
18078,4903611,Jan-15,0
18078,4754116,Nov-14,1
18078,5698265,Aug-15,1
18078,4383354,Jul-14,0
18078,4857838,Dec-14,1
18078,4731754,Nov-14,0
18078,4279552,Jun-14,1
18078,4124376,Apr-14,0
18078,4267308,Jun-14,0
18078,3170592,Dec-13,1
18078,4332186,Jul-14,0
18078,4007763,Jan-14,1
18078,5326714,May-15,1
18078,3183127,Dec-13,1
18078,4470810,Aug-14,1
18078,4985116,Feb-15,1
18078,5465078,Jun-15,0
18078,4853943,Dec-14,0
18078,4553822,Sep-14,1
18078,5331731,May-15,1
18078,4552804,Sep-14,0
18078,4806422,Dec-14,1
18078,4784358,Nov-14,0
18078,4531140,Sep-14,0
18078,4047379,Mar-14,1
18078,4322429,Jul-14,0
18078,4985251,Feb-15,1
18078,5703008,Aug-15,0
18078,5665399,Aug-15,0
18078,4165528,May-14,0
18078,5678653,Aug-15,0
19397,4125149,Apr-14,0
20807,4636200,Oct-14,0
20807,4947287,Jan-15,1
20807,4039769,Mar-14,1
20807,4222874,Jun-14,0
20818,4729114,Nov-14,0
23880,4917365,Jan-15,1
42369,4200625,May-14,0
43659,4148678,May-14,1
43659,5542410,Jul-15,1
43659,5547954,Jul-15,1
44016,3120673,Nov-13,1
44016,5603083,Jul-15,0
44016,4354956,Jul-14,1
48782,5521518,Jul-15,1
55161,3229842,Dec-13,1
55161,4895002,Dec-14,1
55705,4029948,Feb-14,0
60324,3992368,Jan-14,1
60646,4485785,Aug-14,1
61408,3236198,Dec-13,0
61408,4606742,Oct-14,0
68423,5499803,Jul-15,1
68423,4345933,Jul-14,1
68423,4254896,Jun-14,1
69287,4895002,Dec-14,1
69681,4392747,Jul-14,1
71306,4573071,Sep-14,1
71306,4289559,Jun-14,1
71306,4751220,Nov-14,1
71306,3977512,Jan-14,1
71306,3977513,Jan-14,1
71306,5781830,Aug-15,1
71306,4607548,Oct-14,1
71306,5732934,Aug-15,1
71306,4813024,Dec-14,1
71306,5619245,Jul-15,1
71306,5490623,Jun-15,1
71306,4806304,Dec-14,1
71306,5780642,Aug-15,1
71306,4553108,Sep-14,1
71306,5691762,Aug-15,1
71306,5691870,Aug-15,1
71306,4691298,Nov-14,1
71306,5691915,Aug-15,1
71306,4477890,Aug-14,1
71306,4936317,Jan-15,1
71306,5295845,May-15,1
71306,5238197,Apr-15,1
71306,4003508,Jan-14,1
71306,5576536,Jul-15,1
71306,5507659,Jul-15,1
78128,5337659,May-15,0
79247,4895002,Dec-14,1
79247,5748756,Aug-15,1
79247,4097721,Apr-14,1
79247,5659728,Aug-15,1
79247,4977477,Feb-15,0
79247,5674975,Aug-15,0
82338,5306567,May-15,0
82338,3139791,Nov-13,1
82338,4063342,Mar-14,0
82338,5696184,Aug-15,0
82338,4038947,Mar-14,0
82338,4550194,Sep-14,0
82338,4965188,Jan-15,0
82338,4422192,Aug-14,1
85259,5327427,May-15,1
85259,4502357,Sep-14,1
86261,4175122,May-14,1
97857,2978720,Sep-13,1
109834,2993063,Sep-13,0
110835,5032242,Feb-15,1
116926,3060726,Oct-13,0
116926,5745570,Aug-15,0
117966,4192469,May-14,1
123794,3016682,Sep-13,1
123794,4101311,Apr-14,1
123794,5781106,Aug-15,1
123794,4775856,Nov-14,1
123811,3139817,Nov-13,0
123811,5306568,May-15,0
123811,5136658,Mar-15,0
123811,3243400,Dec-13,0
123811,3080290,Oct-13,0
123811,4046650,Mar-14,0
123811,4945122,Jan-15,0
123811,3164598,Nov-13,0
123811,5307257,May-15,0
123811,4479097,Aug-14,0
123811,5092957,Mar-15,0
123811,5572868,Jul-15,1
123811,4757193,Nov-14,0
123811,4646613,Oct-14,0
123811,5429219,Jun-15,0
123811,5611250,Jul-15,0
123811,5508943,Jul-15,0
123811,4002986,Jan-14,0
123811,4495469,Aug-14,1
123811,4944770,Jan-15,0
123811,4001691,Jan-14,0
123811,5619301,Jul-15,0
123811,4596605,Sep-14,0
123811,5508967,Jul-15,0
123811,4472736,Aug-14,0
123811,5152998,Apr-15,0
123811,4422192,Aug-14,1
123811,3997518,Jan-14,0
123811,4646614,Oct-14,0
123811,4132988,Apr-14,0
123811,4793687,Dec-14,0
123811,5546430,Jul-15,0
123811,5657516,Aug-15,0
123811,5778042,Aug-15,1
126357,3993941,Jan-14,1
128383,4686185,Oct-14,1
136248,5449233,Jun-15,0
136248,5590286,Jul-15,0
143668,4691122,Nov-14,1
143668,4550123,Sep-14,1
143668,4605023,Oct-14,1
143668,4052183,Mar-14,1
143727,5144153,Mar-15,0
144608,3239152,Dec-13,1
151870,4766220,Nov-14,1
155281,4907034,Jan-15,0
157684,5375067,Jun-15,1
157684,5342948,May-15,1
157684,5096947,Mar-15,1
157684,4240622,Jun-14,1
157684,4351598,Jul-14,1
157684,4208873,Apr-14,1
158365,3001632,Sep-13,1
158365,3014665,Sep-13,1
160749,5575085,Jul-15,0
160749,4971113,Jan-15,0
160749,3011642,Sep-13,0
160749,3967281,Jan-14,0
160749,5661816,Aug-15,0
160749,3020420,Sep-13,0
160749,3233766,Dec-13,0
160749,5083163,Mar-15,0
160749,5184284,Apr-15,0
160749,4275583,Jun-14,0
160749,4623576,Oct-14,0
160749,4834862,Dec-14,0
160749,4543124,Sep-14,1
160749,3994278,Jan-14,1
160749,5429435,Jun-15,0
160749,5740909,Aug-15,0
164480,5484503,Jun-15,0
167861,4324694,Jul-14,0
167861,4400341,Jul-14,1
167861,5467515,Jun-15,1
168282,3181806,Dec-13,0
168843,4239872,Jun-14,1
168843,4260837,Jun-14,1
168843,4261880,Jun-14,1
168843,4213914,May-14,1
181339,4936528,Jan-15,1
181339,4374271,Jul-14,1
181339,4882390,Dec-14,1
182111,5539863,Jul-15,0
182111,5446287,Jun-15,0
186741,5729603,Aug-15,0
186741,5616091,Jul-15,0
189293,5439341,Jun-15,1
189293,5439338,Jun-15,1
189293,5193908,Apr-15,1
190946,4869903,Dec-14,1
195386,4784277,Nov-14,0
199721,4220219,Jun-14,0
204789,3011708,Sep-13,1
204789,3014119,Sep-13,1
204789,2972620,Sep-13,1
204789,5774657,Aug-15,1
204789,5539096,Jul-15,1
204789,5483666,Jun-15,1
204789,4350045,Jul-14,1
205932,3229842,Dec-13,1
205932,4895002,Dec-14,1
205932,5136203,Mar-15,1
210818,3082706,Oct-13,1
210818,4832914,Dec-14,1
210818,5564057,Jul-15,1
210818,4095024,Apr-14,1
210818,4627077,Oct-14,1
217226,2981277,Sep-13,0
225464,3182815,Dec-13,0
225464,4783820,Nov-14,0
225464,3205792,Dec-13,0
225464,4445665,Aug-14,0
225464,5191296,Apr-15,1
225464,4517434,Sep-14,1
225464,4134167,Apr-14,0
225464,5624499,Jul-15,0
225464,5281521,May-15,0
225464,5559495,Jul-15,0
225464,5732556,Aug-15,1
228105,3054784,Oct-13,1
228105,4274434,Jun-14,1
228105,4262825,Jun-14,1
228105,3060302,Oct-13,1
228105,4791423,Dec-14,1
229638,5574722,Jul-15,1
229638,5608799,Jul-15,1
231021,3984087,Jan-14,1
239541,3239152,Dec-13,1
240624,3157334,Nov-13,1
240624,3237889,Dec-13,1
240624,4413925,Aug-14,1
240624,4203696,May-14,1
240624,5573710,Jul-15,1
240624,4242969,Jun-14,1
240624,5522532,Jul-15,1
240624,4120321,Apr-14,1
240624,5762833,Aug-15,1
242199,3174536,Dec-13,0
243550,5371122,Jun-15,1
247773,5527955,Jul-15,1
248418,4981363,Feb-15,1
248490,4198784,May-14,1
258585,3037500,Oct-13,1
258585,3052960,Oct-13,1
258585,3056028,Oct-13,1
258585,4347053,Jul-14,1
258585,5393826,Jun-15,1
258585,4938240,Jan-15,1
258585,4210520,May-14,1
258585,4938236,Jan-15,1
258585,5367119,Jun-15,1
258585,4220402,Jun-14,1
258585,5367246,Jun-15,1
258585,5707583,Aug-15,1
258585,4233505,Jun-14,1
258585,4938170,Jan-15,1
258585,4247799,Jun-14,1
258585,4220397,Jun-14,1
258585,4220352,Jun-14,1
258585,4563474,Sep-14,1
272929,3143275,Nov-13,1
276671,3016682,Sep-13,1
276671,3067007,Oct-13,1
276671,3170592,Dec-13,1
276671,4010199,Feb-14,1
276671,3997201,Jan-14,1
276671,5000195,Feb-15,1
276671,5750674,Aug-15,1
276671,4749995,Nov-14,1
276671,4585944,Sep-14,1
276671,4150114,May-14,1
276671,4128603,Apr-14,1
286144,4278716,Jun-14,1
286144,4282247,Jun-14,1
286144,4268953,Jun-14,1
286144,5256035,May-15,1
286144,4591086,Sep-14,1
286144,5235613,Apr-15,1
286144,4262095,Jun-14,1
286144,5430659,Jun-15,1
288147,4315133,Jul-14,1
288387,3233895,Dec-13,1
288387,3222408,Dec-13,1
288387,3983117,Jan-14,1
289277,4223382,Jun-14,1
290607,5494676,Jul-15,1
292677,5260444,May-15,0
293529,4909864,Jan-15,1
293529,4962069,Jan-15,1
293529,4757204,Nov-14,1
299199,5037521,Mar-15,1
299199,5493070,Jul-15,0
299199,4218202,Jun-14,1
299199,4117100,Apr-14,1
299199,5550129,Jul-15,1
301197,3177331,Dec-13,0
301197,5241022,Apr-15,1
301197,5231034,Apr-15,1
303693,4686378,Oct-14,0
305477,3006790,Sep-13,1
305477,3172107,Nov-13,1
305477,3197370,Dec-13,1
305477,3182973,Dec-13,1
305477,2989631,Sep-13,1
305477,2988417,Sep-13,1
305477,3090103,Oct-13,1
305477,3065460,Oct-13,1
305477,3183177,Dec-13,1
305477,3026065,Sep-13,1
305477,3183747,Dec-13,1
305477,2980214,Sep-13,1
305477,3074989,Oct-13,1
305477,3173159,Dec-13,1
305477,2983602,Sep-13,1
305477,3168399,Nov-13,1
305477,3108613,Nov-13,1
305477,2997826,Sep-13,1
305477,3136649,Nov-13,1
305477,2987915,Sep-13,1
305477,3010741,Sep-13,1
305477,3102484,Nov-13,1
305477,3127476,Nov-13,1
305477,3069633,Oct-13,1
305477,3069393,Oct-13,1
305477,3168095,Nov-13,1
305477,3101390,Nov-13,1
305477,2988886,Sep-13,1
305477,3073795,Oct-13,1
305477,3085670,Oct-13,1
305477,3110045,Nov-13,1
305477,3136835,Nov-13,1
305477,3014636,Sep-13,1
305477,3075021,Oct-13,1
305477,3084426,Oct-13,1
305477,3091650,Oct-13,1
305477,3183549,Dec-13,1
305477,2972146,Sep-13,1
305477,3082119,Oct-13,1
305477,3171636,Nov-13,1
305477,4933745,Jan-15,1
305477,4842951,Dec-14,1
305477,3964974,Jan-14,1
305477,4198232,May-14,1
305477,3069372,Oct-13,1
305477,3136815,Nov-13,1
308022,5044579,Mar-15,1
315330,4525362,Sep-14,0
322480,4197999,May-14,1
324570,5263433,May-15,0
324570,4944499,Jan-15,1
324570,4944500,Jan-15,1
324570,4972666,Jan-15,1
326907,5233417,Apr-15,1
326907,5245794,Apr-15,1
326907,5502123,Jul-15,1
326907,5187955,Apr-15,1
326907,5284225,May-15,1
326907,5261880,May-15,1
326907,5319577,May-15,1
326907,5615999,Jul-15,1
326907,5307359,May-15,1
326907,5266554,May-15,1
332768,5179377,Apr-15,0
336040,5492855,Jul-15,1
337983,3231340,Dec-13,0
337983,3206961,Dec-13,0
360824,4588726,Sep-14,1
360824,5616837,Jul-15,1
365563,4443075,Aug-14,0
365563,4932206,Jan-15,0
365840,4834424,Dec-14,1
365840,5627505,Jul-15,0
372986,4269366,Jun-14,1
375724,4833877,Dec-14,1
375724,4652712,Oct-14,1
382926,5721557,Aug-15,0
386145,5665023,Aug-15,0
